run_id,runtime_decision_source_effective,movement_model_requested,movement_model_effective,movement_v3a_experiment_effective,centroid_probe_scale_effective,seed_profile_id,random_seed_effective,background_map_seed_effective,metatype_random_seed_effective,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,first_contact_tick,first_kill_tick,cut_tick,pocket_tick,precontact_end_tick,determinism_digest,A_precontact_ticks,A_v2_mean,A_v2_p10,A_v2_p90,A_fragmentation_mean,A_dispersion_mean,A_outlier_mass_mean,A_elongation_mean,A_dominant_v2_penalty,A_v3_mean,A_v3_p10,A_v3_p90,A_c_conn_mean,A_c_scale_mean,A_rho_mean,A_rho_lt_low_pct,A_rho_in_band_pct,A_rho_gt_high_pct,B_precontact_ticks,B_v2_mean,B_v2_p10,B_v2_p90,B_fragmentation_mean,B_dispersion_mean,B_outlier_mass_mean,B_elongation_mean,B_dominant_v2_penalty,B_v3_mean,B_v3_p10,B_v3_p90,B_c_conn_mean,B_c_scale_mean,B_rho_mean,B_rho_lt_low_pct,B_rho_in_band_pct,B_rho_gt_high_pct
FR5_MB2_PD5_reinhard_v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,5,2,5,reinhard,1,110,119,188,136,100,1c743bb7f79592d8085e6d76ae3f055d02983530019ca8bed69554e8b5432507,100,0.03562735893409132,0.013207154568561641,0.07101210601996186,0.7626000000000002,0.3811622777132102,0.0,0.690068440332841,fragmentation,0.23740000000000006,0.05,0.5730000000000003,0.23740000000000006,1.0,0.4535331250005646,0.0,100.0,0.0,100,0.031173512566218253,0.014504396763365235,0.058676110908875825,0.8372999999999994,0.36014294642151645,0.0,0.5886580119027865,fragmentation,0.16269999999999993,0.04000000000000001,0.4070000000000006,0.16269999999999993,1.0,0.4491194878565494,0.0,100.0,0.0
FR5_MB2_PD5_reinhard_v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,5,2,5,reinhard,1,109,117,201,136,100,033607171d74f4b221ced49db35a8b040d5ba359fb36c45c0ef8ec95f660b7c1,100,0.04354392712532554,0.01620399693954917,0.08406899411601791,0.7716999999999995,0.36390579468148354,0.0,0.5487495749662982,fragmentation,0.22829999999999992,0.04000000000000001,0.601,0.22829999999999992,1.0,0.44615069870720636,0.0,100.0,0.0,100,0.048709560215451864,0.0203625736351138,0.08266700861903815,0.7984999999999998,0.3373502359713845,0.0,0.42959330820562214,fragmentation,0.20149999999999996,0.04000000000000001,0.5010000000000001,0.20149999999999996,1.0,0.442643846993266,0.0,100.0,0.0
FR5_MB2_PD5_kircheis_v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,5,2,5,kircheis,2,110,118,155,136,100,b8bf08341b7fa40c3d2a076a620b886357f53143823279e71da34db95bd97403,100,0.035877595936690265,0.013371334179649976,0.07288445534955115,0.7628999999999999,0.38384502156342765,0.0,0.6874099637606146,fragmentation,0.23709999999999995,0.05,0.601,0.23709999999999995,1.0,0.4531851342667023,0.0,100.0,0.0,100,0.0462928165735169,0.02522843836715802,0.07123837126067642,0.8070000000000002,0.3408329599280407,0.0,0.4929502056898359,fragmentation,0.19299999999999984,0.05,0.42100000000000004,0.19299999999999984,1.0,0.44504852520442545,0.0,100.0,0.0
FR5_MB2_PD5_kircheis_v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,5,2,5,kircheis,2,108,116,127,135,100,b4fce1dce7b17c60133a08224877e41f4750534933f3e0dc20e02ec5dc9ba5e7,100,0.04446810000395552,0.01614199312652571,0.08012307497222557,0.7887,0.34920632388120554,0.0,0.500130842164081,fragmentation,0.21129999999999977,0.04000000000000001,0.5110000000000001,0.21129999999999977,1.0,0.44334903347625887,0.0,100.0,0.0,100,0.07463544167225869,0.03147382521615687,0.12193872885132194,0.7433000000000001,0.33543333052544144,0.0,0.429295993407346,fragmentation,0.25670000000000004,0.06,0.5410000000000001,0.25670000000000004,1.0,0.4384397430554959,0.0,100.0,0.0
FR5_MB2_PD5_reuenthal_v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,5,2,5,reuenthal,3,113,120,132,136,100,68f6eca82efd07276cda60d55c8b9609abcc0590da0a2240223737f99620cedc,100,0.03704746441737765,0.01634152476167594,0.06777145096653628,0.7552999999999999,0.3842668365586478,0.0,0.6995336926776621,fragmentation,0.24469999999999983,0.07,0.56,0.24469999999999983,1.0,0.4547165834320665,0.0,100.0,0.0,100,0.013850315229126114,0.007315640816352075,0.021520860855793262,0.8900000000000005,0.4171289371975388,0.0,0.7772819253307327,fragmentation,0.11000000000000008,0.05,0.18,0.11000000000000008,1.0,0.4709435508464548,0.0,100.0,0.0
FR5_MB2_PD5_reuenthal_v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,5,2,5,reuenthal,3,111,119,160,136,100,cac7727bf41b736476eb354130248c41c412af539e2b65cd576732ca033e1615,100,0.03909695653902259,0.01603080832817947,0.07480467294650771,0.7659000000000004,0.3783858930091549,0.0,0.6444816797907066,fragmentation,0.23409999999999984,0.05,0.5710000000000001,0.23409999999999984,1.0,0.45031637144501246,0.0,100.0,0.0,100,0.013150818952030194,0.005449512882930075,0.02545196925247465,0.9061999999999998,0.40540301095321424,0.0,0.7357478109182298,fragmentation,0.09379999999999981,0.03,0.2,0.09379999999999981,1.0,0.4633918335976165,0.0,100.0,0.0
FR5_MB5_PD2_reinhard_v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,5,5,2,reinhard,1,110,118,168,143,100,010b1d7f99c42b17b8e7820a1e942524b9b9c197f1f314ed1c7d048cfe48ca32,100,0.042307392023264286,0.018082916885373446,0.06843910224217976,0.7785000000000001,0.3636837533793997,0.0,0.5775030723945814,fragmentation,0.2214999999999998,0.049,0.49,0.2214999999999998,1.0,0.4485938206234399,0.0,100.0,0.0,100,0.03951892719174278,0.020547508695301107,0.06328580684989213,0.8103999999999998,0.3597653460557013,0.0,0.5780290286487341,fragmentation,0.18959999999999994,0.06,0.4230000000000002,0.18959999999999994,1.0,0.44951633526729345,0.0,100.0,0.0
FR5_MB5_PD2_reinhard_v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,5,5,2,reinhard,1,108,117,127,207,100,2e609f9c644b3dfc6c98a516ab55ce8ea1362b7a9a0a665ffc4a5be62ef2f9fa,100,0.07661185557261758,0.043566673140547886,0.1074386424408503,0.7088999999999999,0.3518563306121029,0.0,0.44953669595885415,fragmentation,0.29109999999999997,0.08000000000000002,0.5520000000000002,0.29109999999999997,1.0,0.4402618339280809,0.0,100.0,0.0,100,0.053506739341264,0.0255683619562607,0.08321963763429117,0.7876000000000001,0.3403650117149662,0.0,0.43828086683128087,fragmentation,0.21239999999999987,0.05,0.52,0.21239999999999987,1.0,0.441167450752099,0.0,100.0,0.0
FR5_MB5_PD2_kircheis_v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,5,5,2,kircheis,2,109,117,128,136,100,df08a922b9804f26a4ddbb9c800299c0c1eedae41a02a46ad7c68f77d55a1d3a,100,0.043134497990258064,0.02006863250790648,0.0724214266179988,0.7780000000000002,0.3632245059284479,0.0,0.5528684011390423,fragmentation,0.2219999999999999,0.05,0.5710000000000001,0.2219999999999999,1.0,0.44636030659286746,0.0,100.0,0.0,100,0.046289676017293786,0.023719274361453123,0.07537726992672059,0.8144000000000001,0.34594958047645996,0.0,0.4885979660533614,fragmentation,0.18559999999999996,0.06,0.38400000000000034,0.18559999999999996,1.0,0.4448390942382794,0.0,100.0,0.0
FR5_MB5_PD2_kircheis_v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,SP01,1981813971,897304369,3095987153,5,5,2,kircheis,2,107,116,126,136,100,3951c5be7c3480b6cbbcac1aec9107f1be8d245b646a10a4da533b96ee478ec6,100,0.09646044006200576,0.06095109439607767,0.13848730143145438,0.6657,0.33977771776877996,0.0,0.47401855954835725,fragmentation,0.33429999999999993,0.139,0.58,0.33429999999999993,1.0,0.43804209313176906,0.0,100.0,0.0,100,0.10786142603903512,0.05867607619188255,0.17033635503436628,0.6589999999999999,0.3418885860568745,0.0,0.461226687256855,fragmentation,0.341,0.16800000000000004,0.5510000000000002,0.341,1.0,0.4356713308037408,0.0,100.0,0.0
