tick,v2_A_cohesion_v2,v2_A_fragmentation,v2_A_dispersion,v2_A_outlier_mass,v2_A_elongation,v2_A_c_v3,v2_A_c_conn,v2_A_c_scale,v2_A_rho,v2_B_cohesion_v2,v2_B_fragmentation,v2_B_dispersion,v2_B_outlier_mass,v2_B_elongation,v2_B_c_v3,v2_B_c_conn,v2_B_c_scale,v2_B_rho,v3_test_A_cohesion_v2,v3_test_A_fragmentation,v3_test_A_dispersion,v3_test_A_outlier_mass,v3_test_A_elongation,v3_test_A_c_v3,v3_test_A_c_conn,v3_test_A_c_scale,v3_test_A_rho,v3_test_B_cohesion_v2,v3_test_B_fragmentation,v3_test_B_dispersion,v3_test_B_outlier_mass,v3_test_B_elongation,v3_test_B_c_v3,v3_test_B_c_conn,v3_test_B_c_scale,v3_test_B_rho
11,0.07089396550645866,0.41000000000000003,0.41556598601359573,0.0,0.7944006325869591,0.59,0.59,1.0,0.4662331448143724,0.030934223830890062,0.76,0.41649333088888274,0.0,0.7791068960844555,0.24,0.24,1.0,0.45910438348644966,0.08231374565987626,0.38,0.423640831323553,0.0,0.7696503966304445,0.62,0.62,1.0,0.4525007560912324,0.06132585616689057,0.5800000000000001,0.4142370305361698,0.0,0.7507286208478606,0.42,0.42,1.0,0.4455652202038286
12,0.06305352376558315,0.48,0.4121221928597032,0.0,0.7937381289113071,0.52,0.52,1.0,0.46626802285321156,0.0664468637335982,0.49,0.4202326452666759,0.0,0.77527543239301,0.51,0.51,1.0,0.45800732747632394,0.059689571488710125,0.56,0.42158585986627173,0.0,0.765465420695919,0.44,0.44,1.0,0.45165966683752384,0.0700621354626858,0.53,0.4190270763786923,0.0,0.743415971271615,0.47,0.47,1.0,0.4442582246608014
13,0.06558465901818944,0.45999999999999996,0.4164933826506573,0.0,0.7918565640135782,0.54,0.54,1.0,0.4659011513634976,0.02513912725076317,0.81,0.4173468745691108,0.0,0.7729160107760505,0.19,0.19,1.0,0.4576631082947489,0.0776068323696566,0.43999999999999995,0.4212718731197509,0.0,0.7605375947794472,0.56,0.56,1.0,0.4504748113066238,0.07502091584515758,0.51,0.41824350677909006,0.0,0.7368247511249719,0.49,0.49,1.0,0.443802623803108
14,0.055871164103248216,0.55,0.40667352798867185,0.0,0.7907422838715138,0.45,0.45,1.0,0.4657063266239347,0.04907657759287021,0.63,0.4215770197580131,0.0,0.7706878816533901,0.37,0.37,1.0,0.45700493970242906,0.05513666803940198,0.6,0.4349663876946289,0.0,0.7560469552667805,0.4,0.4,1.0,0.4496342460370607,0.06849696200641409,0.5700000000000001,0.41172042869987224,0.0,0.7292184392397272,0.43,0.43,1.0,0.442688857582852
15,0.062079604485990925,0.5,0.40930446077400995,0.0,0.7898084533790924,0.5,0.5,1.0,0.4648150015160334,0.057925905271333455,0.5700000000000001,0.42078645255214076,0.0,0.7674235897946105,0.43,0.43,1.0,0.4560689377763378,0.06173359533435607,0.5700000000000001,0.4227422517794851,0.0,0.7512956712661926,0.43,0.43,1.0,0.44862206624031237,0.08431525686904995,0.48,0.41625415381581465,0.0,0.7222340410504395,0.52,0.52,1.0,0.4420326273508657
16,0.05259002012148184,0.5800000000000001,0.4058397840746484,0.0,0.7892583005956302,0.42,0.42,1.0,0.4646838778689449,0.058085556587006204,0.5700000000000001,0.42603389184316753,0.0,0.7646504073715911,0.43,0.43,1.0,0.45515814142944305,0.06230354446289599,0.5700000000000001,0.4319765280666892,0.0,0.7449190552389511,0.43,0.43,1.0,0.44690163245524894,0.04203132959898248,0.75,0.40676995666353377,0.0,0.716593385172549,0.25,0.25,1.0,0.44169892475224354
17,0.02831519208653077,0.77,0.41909657154913893,0.0,0.7880722943238452,0.23,0.23,1.0,0.4639908589632503,0.0504023310003614,0.63,0.42787744896463464,0.0,0.7618997608629964,0.37,0.37,1.0,0.4549263777132828,0.06666644589445436,0.55,0.42724460953705534,0.0,0.741342185494775,0.45,0.45,1.0,0.4472380228132814,0.08188074925235667,0.53,0.3995114938956632,0.0,0.7098789429932454,0.47,0.47,1.0,0.44088478355514243
18,0.05997851905161633,0.51,0.42644718182893415,0.0,0.7865843614682442,0.49,0.49,1.0,0.4636828348678458,0.022403715650184397,0.84,0.4169942175989364,0.0,0.7598253275688316,0.16,0.16,1.0,0.45522511647182357,0.07527874129862278,0.51,0.42207363537746734,0.0,0.7341701405450748,0.49,0.49,1.0,0.4459500023008469,0.07544013355688406,0.5800000000000001,0.3966270548888692,0.0,0.7023078892300252,0.42,0.42,1.0,0.43993965498856147
19,0.03240157454374326,0.74,0.4211016304780846,0.0,0.7847265649482177,0.26,0.26,1.0,0.4632658161652635,0.014061668519770087,0.9,0.421993280812511,0.0,0.7567213658080516,0.1,0.1,1.0,0.4548206108831983,0.06946051052496993,0.56,0.42296658491916983,0.0,0.7264200087519275,0.44,0.44,1.0,0.4443811751613157,0.08542532046793894,0.54,0.3912925529956799,0.0,0.6949154814476173,0.46,0.46,1.0,0.43940075602036177
20,0.06235782206992735,0.5,0.42642708469594315,0.0,0.7825635750709363,0.5,0.5,1.0,0.4628735479424149,0.022970749366360343,0.84,0.4175849880797272,0.0,0.7534967667361476,0.16,0.16,1.0,0.4544151348326628,0.07400197641920592,0.55,0.41288997208951705,0.0,0.7199011621852287,0.45,0.45,1.0,0.44354363247106193,0.08906481196496507,0.53,0.3926531356669949,0.0,0.6879878516643565,0.47,0.47,1.0,0.4389028275705177
