case_id,tick,side,enemy_cohesion_v2,enemy_cohesion_v1,collapse_threshold_theta,collapse_margin_v2,collapse_event_v2,frag,disp,out,elong,exploitability,N_alive_enemy,LCC_ratio_enemy,Q50_dist_enemy,Q90_dist_enemy,IQR_dist_enemy,lambda1_enemy,lambda2_enemy
FR8_MB5_PD5,8,A,0.06649566196686041,1.0,0.4444444444444444,0.850384760574564,True,0.51,0.4291441202418488,0.0,0.762277244752349,0.9335043380331396,100,0.49,7.728871602929641,13.539094326583891,6.005537556951091,64.50953183958143,15.3353836486416
FR8_MB5_PD5,8,B,0.1154842788757271,1.0,0.4444444444444444,0.740160372529614,True,0.31999999999999995,0.4055101053450805,0.0,0.7143268146304667,0.8845157211242729,100,0.68,7.550384954464624,12.700611099282616,5.664983008745714,55.35426352162571,15.813228784007666
FR8_MB5_PD5,9,A,0.07053764735522061,1.0,0.4444444444444444,0.8412902934507536,True,0.49,0.4349583297090269,0.0,0.7552231636473937,0.9294623526447794,100,0.51,7.666105206409517,13.567327171574426,5.845371387729118,63.421953087400695,15.524225032037595
FR8_MB5_PD5,9,B,0.13280000858079122,1.0,0.4444444444444444,0.7011999806932198,True,0.27,0.394913642640648,0.0,0.6993523027562687,0.8671999914192088,100,0.73,7.558753283431291,12.49202397558479,5.546080796059137,53.89370143145666,16.203017231308934
FR8_MB5_PD5,10,A,0.08023618678157063,1.0,0.4444444444444444,0.819468579741466,True,0.43999999999999995,0.43502151021820257,0.0,0.7463993628811838,0.9197638132184294,100,0.56,7.63549967363964,13.514673234001487,5.852487391316905,62.100603225438945,15.748752543434382
FR8_MB5_PD5,10,B,0.12796569329459573,1.0,0.4444444444444444,0.7120771900871596,True,0.32999999999999996,0.39251711356332886,0.0,0.6855984319133626,0.8720343067054043,100,0.67,7.523202978210539,12.38422208457689,5.409971125322102,52.9026085088906,16.63266307106901
FR8_MB5_PD5,11,A,0.08043047089439381,1.0,0.4444444444444444,0.8190314404876139,True,0.45999999999999996,0.4277188315386167,0.0,0.7397340246726112,0.9195695291056062,100,0.54,7.666799891929916,13.396911019357193,6.032601774345846,61.407590160242066,15.982306345560222
FR8_MB5_PD5,11,B,0.14791129250203972,1.0,0.4444444444444444,0.6671995918704107,True,0.28,0.37996256216160307,0.0,0.6686775053237671,0.8520887074979603,100,0.72,7.561246311082783,12.194822198872618,5.252324964327963,51.550822569283994,17.079947136267354
FR8_MB5_PD5,12,A,0.09439720848965083,1.0,0.4444444444444444,0.7876062808982857,True,0.4,0.4142688368855245,0.0,0.7313977969354921,0.9056027915103492,100,0.6,7.787845222307627,13.295937987828331,5.531553974003235,60.33485620459633,16.20607529813514
FR8_MB5_PD5,12,B,0.14013865936139247,1.0,0.4444444444444444,0.6846880164368669,True,0.35,0.3799750661418937,0.0,0.6522753752215951,0.8598613406386075,100,0.65,7.545943210059237,12.170386702201784,5.198161555677989,50.479614021012395,17.553004844415593
FR8_MB5_PD5,13,A,0.09034604456826656,1.0,0.4444444444444444,0.7967213997214002,True,0.44999999999999996,0.41130127208203215,0.0,0.7209684210468413,0.9096539554317334,100,0.55,7.751599889169042,13.16734608308885,5.910296970681514,59.01635055425348,16.46742547920675
FR8_MB5_PD5,13,B,0.1276069267958354,1.0,0.4444444444444444,0.7128844147093704,True,0.43999999999999995,0.3756411697299151,0.0,0.6350343727230564,0.8723930732041646,100,0.56,7.4844478102585,11.987414043654802,4.923242753508293,49.47313862719818,18.05599507243494
FR8_MB5_PD5,14,A,0.09552733675915759,1.0,0.4444444444444444,0.7850634922918954,True,0.44999999999999996,0.39728819559983164,0.0,0.7118256759419404,0.9044726632408424,100,0.55,7.871714985734263,13.060495792959225,5.771742656004385,57.99077658834692,16.711452844949108
