case_id,side,cohesion_v2_t0,cohesion_v2_t1,margin_t1,collapse_event_t1,dominant_component_t1,frag_t1,disp_t1,out_t1,elong_t1
FR8_MB2_PD2,B,0.04052646724512632,0.11539311069899116,-0.03853799629092053,False,elong,0.07999999999999996,0.4050940441968822,0.0,0.7891645006836281
FR8_MB2_PD5,A,0.004912299060015335,0.030555642515344372,0.9312498043404751,True,elong,0.75,0.4038379860132454,0.0,0.7949843042765671
FR8_MB2_PD5,B,0.04052646724512632,0.1153576041431339,0.7404453906779487,True,elong,0.07999999999999996,0.4045211184938722,0.0,0.7894321628360049
FR8_MB2_PD8,A,0.004912299060015335,0.03055150033111642,0.9607194995742789,True,elong,0.75,0.40342405827882477,0.0,0.7951543252450134
FR8_MB2_PD8,B,0.04052646724512632,0.11535213227105323,0.851690115651503,True,elong,0.07999999999999996,0.4044415866240171,0.0,0.7894702691583327
FR8_MB5_PD2,A,0.004912299060015335,0.03546646368487416,0.6808018268361326,True,elong,0.71,0.4072944816465808,0.0,0.793661191180992
FR8_MB5_PD2,B,0.04052646724512632,0.11488977033614711,-0.034007933025324066,False,elong,0.07999999999999996,0.4082562313696497,0.0,0.788962399321866
FR8_MB5_PD5,A,0.004912299060015335,0.030555642515344372,0.9312498043404751,True,elong,0.75,0.4038379860132454,0.0,0.7949843042765671
FR8_MB5_PD5,B,0.04052646724512632,0.11477294485710876,0.7417608740715053,True,elong,0.07999999999999996,0.4081202462929361,0.0,0.789225429404731
FR8_MB5_PD8,A,0.004912299060015335,0.03055150033111642,0.9607194995742789,True,elong,0.75,0.40342405827882477,0.0,0.7951543252450134
FR8_MB5_PD8,B,0.04052646724512632,0.11475605057311322,0.8524565064059972,True,elong,0.07999999999999996,0.4081016910185177,0.0,0.7892630614300787
FR8_MB8_PD2,A,0.004912299060015335,0.03546646368487416,0.6808018268361326,True,elong,0.71,0.4072944816465808,0.0,0.793661191180992
FR8_MB8_PD2,B,0.04052646724512632,0.11459010013644955,-0.03131090122804597,False,elong,0.07999999999999996,0.4098322811787455,0.0,0.7889507462068118
FR8_MB8_PD5,A,0.004912299060015335,0.030555642515344372,0.9312498043404751,True,elong,0.75,0.4038379860132454,0.0,0.7949843042765671
FR8_MB8_PD5,B,0.04052646724512632,0.11449233937138736,0.7423922364143785,True,elong,0.07999999999999996,0.40964059153183907,0.0,0.7891992688118378
FR8_MB8_PD8,A,0.004912299060015335,0.03055150033111642,0.9607194995742789,True,elong,0.75,0.40342405827882477,0.0,0.7951543252450134
FR8_MB8_PD8,B,0.04052646724512632,0.11447783062982197,0.8528142177616574,True,elong,0.07999999999999996,0.4096149297806897,0.0,0.7892351435116581
