tick,side,enemy_cohesion_v2,enemy_cohesion_v1,theta,collapse_margin_v2,collapse_event_v2,frag,disp,out,elong,exploitability
49,A,0.3076594166288018,1.0,0.4444444444444444,0.3077663125851959,True,0.45999999999999996,0.3030067487669025,0.0,0.18257506881775076,0.6923405833711982
49,B,0.1884330174152774,1.0,0.4444444444444444,0.5760257108156258,True,0.29000000000000004,0.3794857776991182,0.02,0.5635637272567735,0.8115669825847226
50,A,0.18353354885341866,1.0,0.4444444444444444,0.587049515079808,True,0.6699999999999999,0.29674168381463717,0.0,0.2091636082321252,0.8164664511465813
50,B,0.17667924103297006,1.0,0.4444444444444444,0.6024717076758174,True,0.28,0.3953575827050043,0.02,0.5858779625758288,0.8233207589670299
51,A,0.18976021024273237,1.0,0.4444444444444444,0.5730395269538522,True,0.65,0.29340840500337706,0.0,0.23269391667821804,0.8102397897572676
51,B,0.18121579093313156,1.0,0.4444444444444444,0.5922644704004539,True,0.24,0.3835482596206027,0.03,0.6012399614332644,0.8187842090668684
52,A,0.24260950170908857,1.0,0.4444444444444444,0.45412862115455066,True,0.54,0.29424790327819494,0.0,0.2526951564338811,0.7573904982909114
52,B,0.16378352845619082,1.0,0.4444444444444444,0.6314870609735707,True,0.30000000000000004,0.38289176950130666,0.03,0.6091239057461952,0.8362164715438092
53,A,0.2578002291303738,1.0,0.4444444444444444,0.41994948445665886,True,0.5,0.2993219550370666,0.0,0.2641406963336159,0.7421997708696262
53,B,0.14749362725874504,1.0,0.4444444444444444,0.6681393386678236,True,0.33999999999999997,0.3863510139015601,0.03,0.6245625725178712,0.852506372741255
54,A,0.20293458540403053,1.0,0.4444444444444444,0.5433971828409313,True,0.5900000000000001,0.3103135568995332,0.0,0.2823370556634769,0.7970654145959695
54,B,0.1453534059579511,1.0,0.4444444444444444,0.67295483659461,True,0.31000000000000005,0.39375108964925365,0.03,0.6417770411967343,0.8546465940420489
55,A,0.2119194572382177,1.0,0.4444444444444444,0.5231812212140101,True,0.56,0.3065116641681367,0.0,0.3054892127217679,0.7880805427617823
55,B,0.13809611854141002,1.0,0.4444444444444444,0.6892837332818275,True,0.32999999999999996,0.4014380705350451,0.03,0.6450020507019607,0.86190388145859
56,A,0.1841555114883564,1.0,0.4444444444444444,0.585650099151198,True,0.6,0.31795341399570287,0.0,0.32498924828869347,0.8158444885116436
56,B,0.1607104008725022,1.0,0.4444444444444444,0.63840159803687,True,0.19999999999999996,0.399402368576231,0.03,0.6551750769292204,0.8392895991274978
57,A,0.1651634091030807,1.0,0.4444444444444444,0.6283823295180684,True,0.63,0.317466067974953,0.0,0.3459847617449925,0.8348365908969193
