tick,fleet_id,AR,AreaScale,split_separation,angle_coverage,wedge_ratio,formation_labels,centroid_x,centroid_y,orientation_theta,alive_units,fleet_size_hp,fleet_size_ships_ceil,collapse_event_v2
220,A,1.9885499928,18.7898086611,1.6817533811,0.7500000000,0.8123906034,Rectangle + Split + Enveloping,87.1141964918,85.9567079089,2.5204617639,52,4934.1625369431,4935,1
220,B,1.8402011011,19.9158508254,1.6689195643,0.5833333333,0.9496659438,Rectangle + Split + Enveloping,89.8411024391,90.7039115831,2.4738751806,52,4929.9823773595,4930,1
230,A,1.7608801195,19.2571756027,1.6940107272,0.5833333333,0.9298683702,Rectangle + Split + Enveloping,92.5690311994,90.3524335669,2.4873373774,49,4507.4360956987,4508,1
230,B,1.8650405173,18.5722852246,1.6729611790,0.5000000000,1.0967882390,Rectangle + Split,95.6423144469,96.7526571521,2.5079775838,49,4567.5030697332,4568,1
240,A,1.7814772449,18.4392751123,1.6719691625,0.7500000000,1.2555253758,Split + Enveloping,96.4500274750,97.7818613718,2.4371724557,44,4132.2696605342,4133,1
240,B,1.8092697719,17.3687976671,1.6802836030,0.5833333333,0.8817342056,Rectangle + Split + Enveloping,97.6694868431,103.0830641760,2.5196045545,45,4243.0086252603,4244,1
250,A,1.7122643896,17.4695914456,1.7140242405,0.5833333333,1.5298617150,Split + Enveloping,91.9915509213,104.6074530185,2.4778971801,41,3783.9125750243,3784,1
250,B,1.7150005691,17.8298195170,1.6796181192,0.5000000000,0.8408016819,Rectangle + Split,94.7402927215,111.5944896118,2.5226432129,42,3928.0449568333,3929,1
260,A,2.0243200836,13.5402100276,1.6626135455,0.5000000000,1.2450692566,Split,91.4911404912,111.3888267505,2.5109166670,37,3495.0592915655,3496,1
260,B,2.0008900230,14.5885250146,1.6896764073,0.5000000000,1.0589105350,Rectangle + Split,92.4606541248,118.4226446719,2.5398647310,40,3665.6806779807,3666,1
270,A,1.8180036908,13.4450762317,1.6865639326,0.7500000000,0.9068344883,Rectangle + Split + Enveloping,88.0747006874,117.2070063687,2.5792467312,35,3195.2152150634,3196,1
270,B,2.0498198036,13.1788939910,1.7195431655,0.5833333333,1.0090457204,Rectangle + Split + Enveloping,86.3123995023,123.0402651970,2.7736330828,36,3380.7479824647,3381,1
280,A,1.6094005393,13.3876672382,1.7323146795,0.4166666667,1.4721826273,Split,96.4917619879,117.4437695724,2.7740397376,31,2958.8178418787,2959,1
280,B,1.9262587477,13.3637428515,1.7399632343,0.4166666667,0.9223242964,Rectangle + Split,90.2874991613,123.5883342550,2.8531694704,35,3138.7230027549,3139,1
290,A,1.5721260734,12.0400413451,1.7152389979,0.4166666667,1.2553182918,Split,104.2804528598,121.1045325193,3.0610312314,29,2749.6349960356,2750,1
290,B,1.7753020740,13.1984083634,1.7376500134,0.4166666667,1.1416070447,Rectangle + Split,97.8932721742,126.7121937378,3.0592866497,33,2916.9942781093,2917,1
300,A,1.8345918567,10.6358097276,1.7290876835,0.5000000000,1.1267902763,Rectangle + Split,107.0860281097,118.5509764202,0.1180178424,27,2546.5239171662,2547,1
300,B,1.7067693900,11.5425636129,1.7155980934,0.5833333333,1.0152285919,Rectangle + Split + Enveloping,102.0646346229,122.4349770413,0.1451233961,31,2716.3221985479,2717,1
