tick,fleet_id,AR,AreaScale,split_separation,angle_coverage,wedge_ratio,formation_labels,centroid_x,centroid_y,orientation_theta,alive_units,fleet_size_hp,fleet_size_ships_ceil,collapse_event_v2
220,B,1.1532700966,16.1863436599,1.6365820994,0.9166666667,0.8738182901,Compact + Split + Enveloping,82.5312757183,98.1263258504,2.6446090873,47,4382.1665568126,4383,1
230,A,1.3509597638,14.9682800641,1.9345733924,0.8333333333,1.0842210829,Compact + Split + Enveloping,83.3742618509,99.2126072747,0.6604476859,47,4442.8332684005,4443,1
230,B,1.3297302478,13.5361208962,1.6760525150,0.5833333333,0.8098657226,Compact + Split + Enveloping,86.3639756566,104.4756501641,2.4977460510,42,3998.7692247018,3999,1
240,A,1.5547257967,15.0518344839,1.7791754013,0.9166666667,0.8173473046,Rectangle + Split + Enveloping,88.5280587741,101.6651506912,0.6927096043,44,4094.1569433591,4095,1
240,B,1.3346978168,13.5517637418,1.7625864373,0.9166666667,1.0705332456,Compact + Split + Enveloping,87.2309981952,103.3290126518,2.1864486610,40,3640.2038388470,3641,1
250,A,1.3400524772,13.4861625407,1.7592831194,0.6666666667,1.3061914710,Compact + Split + Enveloping,92.1397094646,99.3392590799,0.5704940759,41,3772.8789116950,3773,1
250,B,1.2303564598,13.0643841938,1.7357681417,0.8333333333,0.8969583761,Compact + Split + Enveloping,89.2818526870,102.5541163833,1.7777225038,37,3299.8560412301,3300,1
260,A,1.8282128657,11.4560732169,1.6936035018,0.8333333333,1.1365960388,Rectangle + Split + Enveloping,95.7799954680,96.6822532929,0.6643652292,38,3487.3793681865,3488,1
260,B,1.3431627338,12.4105011725,1.7978747888,0.9166666667,1.1389266308,Compact + Split + Enveloping,93.6978183999,98.0249225595,2.0875848539,33,2987.4441188668,2988,1
270,A,1.6131082143,13.2605933922,1.6496229885,1.0000000000,0.8557199063,Rectangle + Split + Enveloping,94.3821233145,101.6914819090,0.7177808942,37,3220.8411022733,3221,1
270,B,1.8542676159,11.3996633403,1.6961263697,0.7500000000,1.0174517756,Rectangle + Split + Enveloping,93.4260133593,99.8985880053,2.1191458235,29,2690.4916011384,2691,1
280,A,1.7921000658,12.5664123591,1.7308800384,0.8333333333,0.8138770615,Rectangle + Split + Enveloping,92.8407377242,102.3517539846,0.7712358783,32,2996.6827239660,2997,1
280,B,1.5355163861,10.8402317458,1.7102494568,0.9166666667,0.9873143135,Rectangle + Split + Enveloping,93.7050988382,100.1248892619,2.2743642985,27,2415.5709776306,2416,1
290,A,1.5885206793,12.0744341595,1.7698091471,0.8333333333,0.8245752070,Rectangle + Split + Enveloping,88.8961151232,103.7970201234,0.5464554020,31,2766.1960081788,2767,1
290,B,1.8223053045,8.9153449980,1.7321742636,0.8333333333,0.9266931811,Rectangle + Split + Enveloping,89.4141668725,100.5860407700,2.3263887013,24,2169.3902221578,2170,1
300,A,1.5853499445,11.4101966490,1.8155769453,0.8333333333,0.7817511710,Split + Enveloping,86.2367782931,99.6251775260,0.4475671096,29,2567.3218252602,2568,1
300,B,1.6305881160,7.3633940420,1.7241731159,0.5833333333,1.2612693309,Split + Enveloping,85.4204029144,96.4493346165,2.4223028504,22,1940.4311807793,1941,1
