tick,cohesion_v1_A,cohesion_v1_B,cohesion_v2_A,cohesion_v2_B,enemy_collapse_v1_for_A,enemy_collapse_v1_for_B,enemy_collapse_v2_for_A,enemy_collapse_v2_for_B,alive_A,alive_B,pocket_count_A,pocket_count_B
115,0.08556548939219928,0.08849785826931851,0.08848856592342125,0.04459684524529217,0.9115021417306814,0.9144345106078007,0.9554031547547078,0.9115114340765788,99,100,6,3
116,0.09515523259008792,0.04626351191195884,0.094991218768672,0.10156733171385024,0.9537364880880411,0.904844767409912,0.8984326682861498,0.905008781231328,99,100,6,3
117,0.10165788543533867,0.1032339983805169,0.08964135858715094,0.09861330192691597,0.896766001619483,0.8983421145646613,0.901386698073084,0.9103586414128491,99,99,6,3
118,0.09630802525381761,0.10027996859358264,0.09801227841746496,0.11480992381960653,0.8997200314064173,0.9036919747461823,0.8851900761803935,0.901987721582535,99,99,5,2
119,0.10467894508413163,0.1164765904862732,0.09078850205338884,0.1310168832569254,0.8835234095137268,0.8953210549158683,0.8689831167430746,0.9092114979466112,99,99,6,3
120,0.09745516872005551,0.13268354992359208,0.09474984827022093,0.1425134758706882,0.8673164500764079,0.9025448312799444,0.8574865241293118,0.9052501517297791,98,99,5,3
121,0.1014165149368876,0.14418014253735487,0.10014896938771556,0.14750806457710774,0.8558198574626451,0.8985834850631124,0.8524919354228923,0.8998510306122844,98,99,5,3
122,0.10681563605438223,0.14917473124377442,0.11086031129867124,0.07611743091727208,0.8508252687562256,0.8931843639456177,0.9238825690827279,0.8891396887013288,98,99,5,3
123,0.11752697796533791,0.07778409758393874,0.11465466847587902,0.12585201726702477,0.9222159024160612,0.882473022034662,0.8741479827329752,0.885345331524121,97,98,4,3
124,0.12132133514254569,0.12751868393369145,0.11492999455135822,0.16255429158946932,0.8724813160663085,0.8786786648574543,0.8374457084105307,0.8850700054486418,96,97,3,2
125,0.12159666121802488,0.164220958256136,0.14860780616920022,0.04553276691186925,0.835779041743864,0.8784033387819751,0.9544672330881308,0.8513921938307998,96,97,3,2
126,0.15527447283586687,0.04719943357853592,0.1404842479237105,0.13202629434711732,0.952800566421464,0.8447255271641332,0.8679737056528827,0.8595157520762895,96,97,3,2
