tick,side,split_separation,angle_coverage,split_cond,env_cond,in_contact_count,sustain_split_geom,sustain_split_tactical,sustain_env_geom,sustain_env_tactical,cut_event_geom,cut_event_tactical,pocket_event_geom,pocket_event_tactical
70,B,1.723636731349095,0.08333333333333333,1,0,0,1,0,0,0,0,0,0,0
71,A,1.7208773310381067,0.08333333333333333,1,0,0,6,0,0,0,0,0,0,0
71,B,1.7251688143556156,0.08333333333333333,1,0,0,2,0,0,0,0,0,0,0
72,A,1.7259192358883906,0.08333333333333333,1,0,0,7,0,0,0,0,0,0,0
72,B,1.7204509917901736,0.08333333333333333,1,0,0,3,0,0,0,0,0,0,0
73,A,1.718885316814055,0.08333333333333333,1,0,0,8,0,0,0,0,0,0,0
73,B,1.7259554388774134,0.08333333333333333,1,0,0,4,0,0,0,0,0,0,0
74,A,1.7195921061493602,0.08333333333333333,1,0,0,9,0,0,0,0,0,0,0
74,B,1.7201145057911262,0.08333333333333333,1,0,0,5,0,0,0,0,0,0,0
75,A,1.7191818720336036,0.08333333333333333,1,0,0,10,0,0,0,0,0,0,0
75,B,1.7255410009861274,0.08333333333333333,1,0,0,6,0,0,0,0,0,0,0
76,A,1.7198008556786974,0.08333333333333333,1,0,0,11,0,0,0,0,0,0,0
76,B,1.7242600978087497,0.08333333333333333,1,0,0,7,0,0,0,0,0,0,0
77,A,1.720004698286351,0.08333333333333333,1,0,0,12,0,0,0,0,0,0,0
77,B,1.7177355060880124,0.08333333333333333,1,0,0,8,0,0,0,0,0,0,0
78,A,1.7320096327301675,0.08333333333333333,1,0,0,13,0,0,0,0,0,0,0
78,B,1.7202341950984015,0.08333333333333333,1,0,0,9,0,0,0,0,0,0,0
79,A,1.7300717742226313,0.08333333333333333,1,0,0,14,0,0,0,0,0,0,0
79,B,1.7261757570190126,0.08333333333333333,1,0,0,10,0,0,0,0,0,0,0
80,A,1.730737227370519,0.08333333333333333,1,0,0,15,0,0,0,0,0,0,0
80,B,1.714211099042337,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
81,A,1.7309254424514662,0.08333333333333333,1,0,0,16,0,0,0,0,0,0,0
81,B,1.7146057762092561,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
82,A,1.7316528978399555,0.08333333333333333,1,0,0,17,0,0,0,0,0,0,0
82,B,1.7146207335590853,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0
83,A,1.7304420146530213,0.08333333333333333,1,0,0,18,0,0,0,0,0,0,0
83,B,1.7213162525936094,0.08333333333333333,1,0,0,1,0,0,0,0,0,0,0
84,A,1.7391590068107459,0.08333333333333333,1,0,0,19,0,0,0,0,0,0,0
84,B,1.7220748221294586,0.08333333333333333,1,0,0,2,0,0,0,0,0,0,0
85,A,1.7384093286450346,0.08333333333333333,1,0,0,20,0,0,0,1,0,0,0
85,B,1.737028611395384,0.08333333333333333,1,0,0,3,0,0,0,0,0,0,0
86,A,1.7383595666480747,0.08333333333333333,1,0,0,21,0,0,0,0,0,0,0
86,B,1.722844913947731,0.08333333333333333,1,0,0,4,0,0,0,0,0,0,0
87,A,1.7391334587799265,0.08333333333333333,1,0,0,22,0,0,0,0,0,0,0
87,B,1.7232055012518894,0.08333333333333333,1,0,0,5,0,0,0,0,0,0,0
88,A,1.7385272528015363,0.08333333333333333,1,0,0,23,0,0,0,0,0,0,0
88,B,1.7521428411517799,0.08333333333333333,1,0,0,6,0,0,0,0,0,0,0
89,A,1.7329260397607655,0.08333333333333333,1,0,0,24,0,0,0,0,0,0,0
89,B,1.7240242278676952,0.08333333333333333,1,0,0,7,0,0,0,0,0,0,0
90,A,1.7341409571174276,0.08333333333333333,1,0,0,25,0,0,0,0,0,0,0
90,B,1.7374714265564795,0.08333333333333333,1,0,0,8,0,0,0,0,0,0,0
91,A,1.7422793380448693,0.08333333333333333,1,0,0,26,0,0,0,0,0,0,0
91,B,1.7367914958484236,0.08333333333333333,1,0,0,9,0,0,0,0,0,0,0
92,A,1.7418795866601913,0.08333333333333333,1,0,0,27,0,0,0,0,0,0,0
92,B,1.7384239520099563,0.08333333333333333,1,0,0,10,0,0,0,0,0,0,0
93,A,1.7407352777934588,0.08333333333333333,1,0,0,28,0,0,0,0,0,0,0
93,B,1.7309823633373094,0.08333333333333333,1,0,0,11,0,0,0,0,0,0,0
94,A,1.7406493140758375,0.08333333333333333,1,0,0,29,0,0,0,0,0,0,0
94,B,1.7377756556271577,0.08333333333333333,1,0,0,12,0,0,0,0,0,0,0
95,A,1.7405212455914425,0.08333333333333333,1,0,0,30,0,0,0,0,0,0,0
95,B,1.7373745453554852,0.08333333333333333,1,0,0,13,0,0,0,0,0,0,0
96,A,1.7418248051184038,0.08333333333333333,1,0,0,31,0,0,0,0,0,0,0
96,B,1.7378135049170074,0.08333333333333333,1,0,0,14,0,0,0,0,0,0,0
97,A,1.7407044571205579,0.08333333333333333,1,0,0,32,0,0,0,0,0,0,0
97,B,1.7377586836759373,0.08333333333333333,1,0,0,15,0,0,0,0,0,0,0
98,A,1.7401078422113379,0.08333333333333333,1,0,0,33,0,0,0,0,0,0,0
98,B,1.7390084725699406,0.08333333333333333,1,0,0,16,0,0,0,0,0,0,0
99,A,1.7398526780997856,0.08333333333333333,1,0,0,34,0,0,0,0,0,0,0
99,B,1.7316690184308077,0.08333333333333333,1,0,0,17,0,0,0,0,0,0,0
100,A,1.7400969204137915,0.08333333333333333,1,0,0,35,0,0,0,0,0,0,0
100,B,1.7314431784287676,0.08333333333333333,1,0,0,18,0,0,0,0,0,0,0
101,A,1.739944705366632,0.08333333333333333,1,0,0,36,0,0,0,0,0,0,0
101,B,1.7476736422022041,0.08333333333333333,1,0,0,19,0,0,0,0,0,0,0
102,A,1.7386922706997938,0.08333333333333333,1,0,0,37,0,0,0,0,0,0,0
102,B,1.7477655473478872,0.08333333333333333,1,0,0,20,0,0,0,1,0,0,0
103,A,1.738633070319154,0.08333333333333333,1,0,0,38,0,0,0,0,0,0,0
103,B,1.74806596152373,0.08333333333333333,1,0,0,21,0,0,0,0,0,0,0
104,A,1.7381033812229734,0.08333333333333333,1,0,0,39,0,0,0,0,0,0,0
104,B,1.7478532760326735,0.08333333333333333,1,0,0,22,0,0,0,0,0,0,0
105,A,1.7388041345358973,0.08333333333333333,1,0,0,40,0,0,0,0,0,0,0
105,B,1.7487321124638928,0.08333333333333333,1,0,0,23,0,0,0,0,0,0,0
106,A,1.738167420919572,0.08333333333333333,1,0,2,41,1,0,0,0,0,0,0
106,B,1.7502095688798496,0.08333333333333333,1,0,2,24,1,0,0,0,0,0,0
107,A,1.7393023864389758,0.08333333333333333,1,0,7,42,2,0,0,0,0,0,0
107,B,1.749426403073661,0.08333333333333333,1,0,7,25,2,0,0,0,0,0,0
108,A,1.7397253855408554,0.08333333333333333,1,0,11,43,3,0,0,0,0,0,0
108,B,1.7514502697200003,0.08333333333333333,1,0,11,26,3,0,0,0,0,0,0
109,A,1.7420637622710677,0.16666666666666666,1,0,17,44,4,0,0,0,0,0,0
109,B,1.7533938528288961,0.08333333333333333,1,0,17,27,4,0,0,0,0,0,0
110,A,1.743363239287068,0.16666666666666666,1,0,24,45,5,0,0,0,0,0,0
110,B,1.7724486181876848,0.16666666666666666,1,0,24,28,5,0,0,0,0,0,0
111,A,1.7441866772486307,0.16666666666666666,1,0,30,46,6,0,0,0,0,0,0
111,B,1.771491520147355,0.16666666666666666,1,0,30,29,6,0,0,0,0,0,0
112,A,1.7437640535049541,0.25,1,0,41,47,7,0,0,0,0,0,0
112,B,1.770835338727326,0.25,1,0,41,30,7,0,0,0,0,0,0
113,A,1.7433015885596446,0.25,1,0,55,48,8,0,0,0,0,0,0
113,B,1.770087742715481,0.25,1,0,55,31,8,0,0,0,0,0,0
114,A,1.7401695544261075,0.25,1,0,59,49,9,0,0,0,0,0,0
114,B,1.7511374480806763,0.25,1,0,59,32,9,0,0,0,0,0,0
115,A,1.7365071867943618,0.25,1,0,73,50,10,0,0,0,0,0,0
115,B,1.7473082827025839,0.25,1,0,73,33,10,0,0,0,0,0,0
