tick,max_projection_displacement,mean_projection_displacement,projection_pairs_count,collision_pairs_count,outlier_count_A,outlier_count_B,max_outlier_persistence_A,max_outlier_persistence_B,in_contact_count,frontline_width,frontline_width_std,persistent_outlier_unit_ids
89,1.576079,0.377996,524,524,6,6,75,75,5,0.017291,0.006020,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
90,1.711938,0.413311,548,548,6,6,76,76,5,0.014366,0.005395,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
91,1.616618,0.400219,528,528,6,6,77,77,7,0.022311,0.008362,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
92,1.982199,0.424030,543,543,6,6,78,78,7,0.011217,0.004286,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
93,1.812956,0.395602,527,527,6,6,79,79,9,0.010405,0.003757,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
94,2.092872,0.430708,552,552,6,7,80,80,9,0.015575,0.005476,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
95,1.816208,0.418213,523,523,6,7,81,81,11,0.023544,0.008360,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
96,1.736032,0.414501,532,532,6,7,82,82,11,0.054436,0.019094,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
97,1.506030,0.380610,518,518,6,7,83,83,13,0.046780,0.017712,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
98,1.474830,0.399006,530,530,6,7,84,84,14,0.057953,0.021930,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
99,1.445583,0.414617,549,549,6,7,85,85,15,0.042214,0.016225,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
100,2.714168,0.441567,543,543,6,7,86,86,15,0.029658,0.011359,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
101,1.775891,0.393096,539,539,6,7,87,87,16,0.037280,0.010940,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
102,2.369621,0.416828,544,544,6,7,88,88,17,0.148247,0.026201,A100|A87|A93|A94|A95|A97|B100|B87|B92|B94|B96|B98
103,1.736737,0.391618,529,529,6,7,84,89,15,0.164386,0.031723,A100|A87|A93|A94|A95|B100|B87|B92|B94|B96|B98
104,2.066285,0.422577,527,527,6,7,85,90,17,0.157836,0.030918,A100|A87|A93|A94|A95|B100|B87|B92|B94|B96|B98
105,1.328655,0.374603,517,517,6,7,86,91,23,4.060328,0.740242,A100|A87|A93|A94|A95|B100|B87|B92|B94|B96|B98
106,1.972938,0.416833,518,518,6,6,87,88,28,8.750385,1.582141,A100|A87|A93|A94|A95|B100|B87|B92|B94|B96
107,1.692434,0.380851,516,516,6,7,88,89,38,8.629199,1.754302,A100|A87|A93|A94|A95|B100|B87|B92|B94|B96
108,1.703724,0.427559,520,520,6,7,89,90,63,10.383427,2.272600,A100|A87|A93|A94|A95|B100|B87|B92|B94|B96
109,1.477775,0.370035,502,502,6,7,86,91,55,9.174904,2.093744,A87|A93|A94|A95|B100|B87|B92|B94|B96
110,1.696944,0.371600,495,495,6,7,87,92,80,10.583787,2.399693,A87|A93|A94|A95|B100|B87|B92|B94|B96
111,1.973170,0.389595,467,467,6,6,88,89,72,11.262626,2.519063,A87|A93|A94|A95|B100|B87|B92|B94
112,1.853456,0.367228,463,463,5,6,83,90,86,12.040110,2.588236,A87|A94|A95|B100|B87|B92|B94
113,1.810190,0.414263,450,450,5,6,84,91,122,12.799993,2.866830,A87|A94|A95|B100|B87|B92|B94|B97
114,1.229578,0.372479,431,431,5,5,76,88,95,12.621313,2.752364,A87|A94|B87|B92|B94|B97
115,2.064707,0.431929,416,416,5,5,77,89,130,13.466255,3.020860,A87|A94|B87|B92|B94|B97
116,1.622704,0.391204,386,386,4,5,62,83,109,13.619961,3.065575,A87|B87|B92|B97
117,1.744735,0.358532,386,386,4,5,63,84,140,13.651513,3.198783,A87|B87|B92|B97
118,1.435406,0.355039,375,375,4,4,16,70,115,14.177360,3.135502,B92|B97
119,1.692278,0.320513,358,358,4,4,17,71,147,14.557826,3.296701,B92|B97
120,1.673133,0.316267,348,348,4,4,12,27,138,14.791781,3.264104,B97
121,1.734975,0.325177,333,333,4,4,13,28,160,14.692127,3.358082,B97
122,1.642509,0.322549,302,302,3,4,9,16,146,14.933423,3.365787,
123,1.787500,0.309176,320,320,3,4,10,17,170,15.352610,3.476788,
124,1.666334,0.311343,283,283,3,3,7,9,157,14.931297,3.463466,
125,1.534496,0.312492,287,287,3,4,8,10,175,15.154841,3.507691,
126,1.425194,0.281764,287,287,3,3,7,7,164,15.130619,3.502975,
127,1.571792,0.297347,286,286,3,4,8,8,175,15.130137,3.479625,
128,1.617061,0.318652,269,269,2,3,5,7,169,15.091731,3.494855,
129,1.801145,0.307283,258,258,2,3,6,8,178,15.083937,3.513159,
130,1.807387,0.311862,257,257,3,2,5,6,173,15.043943,3.508425,
131,1.409092,0.300846,267,267,3,3,6,7,177,15.143338,3.476358,
132,1.288706,0.308132,264,264,4,3,3,6,172,14.922112,3.478565,
133,1.334090,0.320033,253,253,4,4,4,7,175,14.821412,3.432396,
134,1.451594,0.310340,263,263,4,2,5,4,173,14.716666,3.414561,
135,1.583430,0.295588,246,246,4,3,6,5,173,14.969462,3.395600,
136,1.472979,0.304108,259,259,6,2,7,5,171,14.737464,3.394786,
137,1.349685,0.327879,252,252,5,3,6,6,170,14.634555,3.401421,
138,1.571096,0.339461,258,258,5,3,7,4,169,14.660702,3.397631,
139,1.521933,0.357488,263,263,4,3,8,5,168,14.658286,3.357225,
140,1.472285,0.361527,268,268,3,3,9,6,167,14.529673,3.356145,
141,1.620451,0.365223,269,269,4,4,10,7,166,14.712160,3.351941,
142,2.294364,0.367646,288,288,6,3,11,6,165,14.256401,3.373130,
143,1.238848,0.313303,273,273,5,4,12,7,164,15.112709,3.474576,
144,1.753916,0.315156,278,278,5,3,13,8,163,15.971070,3.592426,
145,1.936335,0.425842,280,280,5,3,14,9,162,15.362881,3.593952,
