tick,side,split_separation,angle_coverage,split_cond,env_cond,sustain_split_geom,sustain_env_geom,sustain_split_tactical,sustain_env_tactical,in_contact_count,cut_event_geom,cut_event_tactical,pocket_event_geom,pocket_event_tactical
69,B,1.7438848226393542,0.08333333333333333,1,0,14,0,0,0,0,0,0,0,0
70,A,1.729892549459735,0.08333333333333333,1,0,7,0,0,0,0,0,0,0,0
70,B,1.7433094769784883,0.08333333333333333,1,0,15,0,0,0,0,0,0,0,0
71,A,1.730516374280576,0.08333333333333333,1,0,8,0,0,0,0,0,0,0,0
71,B,1.749285419787606,0.08333333333333333,1,0,16,0,0,0,0,0,0,0,0
72,A,1.7238852655180905,0.08333333333333333,1,0,9,0,0,0,0,0,0,0,0
72,B,1.748249729672254,0.08333333333333333,1,0,17,0,0,0,0,0,0,0,0
73,A,1.7311962197149113,0.08333333333333333,1,0,10,0,0,0,0,0,0,0,0
73,B,1.7398505858718931,0.08333333333333333,1,0,18,0,0,0,0,0,0,0,0
74,A,1.7592103665379246,0.08333333333333333,1,0,11,0,0,0,0,0,0,0,0
74,B,1.7484230984084779,0.08333333333333333,1,0,19,0,0,0,0,0,0,0,0
75,A,1.7593633724412214,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0
75,B,1.7486768558436665,0.08333333333333333,1,0,20,0,0,0,0,1,0,0,0
76,A,1.7583390837463098,0.08333333333333333,1,0,13,0,0,0,0,0,0,0,0
76,B,1.7479729783025415,0.08333333333333333,1,0,21,0,0,0,0,0,0,0,0
77,A,1.7569907296573868,0.08333333333333333,1,0,14,0,0,0,0,0,0,0,0
77,B,1.7468736781346976,0.08333333333333333,1,0,22,0,0,0,0,0,0,0,0
78,A,1.7659723961517422,0.08333333333333333,1,0,15,0,0,0,0,0,0,0,0
78,B,1.746105386007101,0.08333333333333333,1,0,23,0,0,0,0,0,0,0,0
79,A,1.7691846413720034,0.08333333333333333,1,0,16,0,0,0,0,0,0,0,0
79,B,1.7356945911643218,0.08333333333333333,1,0,24,0,0,0,0,0,0,0,0
80,A,1.7588269730769706,0.08333333333333333,1,0,17,0,0,0,0,0,0,0,0
80,B,1.7447133881794805,0.08333333333333333,1,0,25,0,0,0,0,0,0,0,0
81,A,1.7709945251093655,0.08333333333333333,1,0,18,0,0,0,0,0,0,0,0
81,B,1.7465894491240397,0.08333333333333333,1,0,26,0,0,0,0,0,0,0,0
82,A,1.7579332382731527,0.08333333333333333,1,0,19,0,0,0,0,0,0,0,0
82,B,1.764619618248597,0.08333333333333333,1,0,27,0,0,0,0,0,0,0,0
83,A,1.7565974252398702,0.08333333333333333,1,0,20,0,0,0,0,1,0,0,0
83,B,1.7647548610220245,0.08333333333333333,1,0,28,0,0,0,0,0,0,0,0
84,A,1.7651733941390182,0.08333333333333333,1,0,21,0,0,0,0,0,0,0,0
84,B,1.7514815865791258,0.08333333333333333,1,0,29,0,0,0,0,0,0,0,0
85,A,1.7618100240625494,0.08333333333333333,1,0,22,0,0,0,0,0,0,0,0
85,B,1.7527097704054557,0.08333333333333333,1,0,30,0,0,0,0,0,0,0,0
86,A,1.7524827217121746,0.08333333333333333,1,0,23,0,0,0,0,0,0,0,0
86,B,1.7632105148805421,0.08333333333333333,1,0,31,0,0,0,0,0,0,0,0
87,A,1.7564693328263885,0.08333333333333333,1,0,24,0,0,0,0,0,0,0,0
87,B,1.7496488547702078,0.08333333333333333,1,0,32,0,0,0,0,0,0,0,0
88,A,1.7551422616638395,0.08333333333333333,1,0,25,0,0,0,0,0,0,0,0
88,B,1.761999449490251,0.08333333333333333,1,0,33,0,0,0,0,0,0,0,0
89,A,1.7523758929547881,0.08333333333333333,1,0,26,0,0,0,0,0,0,0,0
89,B,1.7751859073168255,0.08333333333333333,1,0,34,0,0,0,0,0,0,0,0
90,A,1.7510109071268583,0.08333333333333333,1,0,27,0,0,0,0,0,0,0,0
90,B,1.7640503100258766,0.08333333333333333,1,0,35,0,0,0,0,0,0,0,0
91,A,1.7517918008839393,0.08333333333333333,1,0,28,0,0,0,0,0,0,0,0
91,B,1.7743166584413788,0.08333333333333333,1,0,36,0,0,0,0,0,0,0,0
92,A,1.762980061361564,0.08333333333333333,1,0,29,0,0,0,0,0,0,0,0
92,B,1.7758553383393898,0.08333333333333333,1,0,37,0,0,0,0,0,0,0,0
93,A,1.7651976528231947,0.08333333333333333,1,0,30,0,0,0,0,0,0,0,0
93,B,1.7777643667798075,0.08333333333333333,1,0,38,0,0,0,0,0,0,0,0
94,A,1.764593823664908,0.08333333333333333,1,0,31,0,0,0,0,0,0,0,0
94,B,1.7774322922588284,0.08333333333333333,1,0,39,0,0,0,0,0,0,0,0
95,A,1.7768241027271112,0.08333333333333333,1,0,32,0,0,0,0,0,0,0,0
95,B,1.7798729675844447,0.08333333333333333,1,0,40,0,0,0,0,0,0,0,0
96,A,1.7773548828132189,0.08333333333333333,1,0,33,0,0,0,0,0,0,0,0
96,B,1.7801674613510376,0.08333333333333333,1,0,41,0,0,0,0,0,0,0,0
97,A,1.7766822592636302,0.08333333333333333,1,0,34,0,0,0,0,0,0,0,0
97,B,1.7797298466137768,0.08333333333333333,1,0,42,0,0,0,0,0,0,0,0
98,A,1.7740045262129713,0.08333333333333333,1,0,35,0,0,0,0,0,0,0,0
98,B,1.778204558143417,0.08333333333333333,1,0,43,0,0,0,0,0,0,0,0
99,A,1.753380272690984,0.08333333333333333,1,0,36,0,0,0,0,0,0,0,0
99,B,1.7816277758580115,0.08333333333333333,1,0,44,0,0,0,0,0,0,0,0
100,A,1.7524602132213516,0.08333333333333333,1,0,37,0,0,0,0,0,0,0,0
100,B,1.7846239781763245,0.08333333333333333,1,0,45,0,0,0,0,0,0,0,0
101,A,1.763385398055287,0.08333333333333333,1,0,38,0,0,0,0,0,0,0,0
101,B,1.7849215568895709,0.08333333333333333,1,0,46,0,0,0,0,0,0,0,0
102,A,1.763464895531021,0.08333333333333333,1,0,39,0,0,0,0,0,0,0,0
102,B,1.784982525454357,0.08333333333333333,1,0,47,0,0,0,0,0,0,0,0
103,A,1.7635237198077707,0.08333333333333333,1,0,40,0,0,0,0,0,0,0,0
103,B,1.7965193615574138,0.08333333333333333,1,0,48,0,0,0,0,0,0,0,0
104,A,1.7615834000122448,0.08333333333333333,1,0,41,0,0,0,0,0,0,0,0
104,B,1.783428458233189,0.08333333333333333,1,0,49,0,0,0,0,0,0,0,0
105,A,1.7615726645051204,0.08333333333333333,1,0,42,0,0,0,0,0,0,0,0
105,B,1.781533420501001,0.08333333333333333,1,0,50,0,0,0,0,0,0,0,0
106,A,1.7615530702530624,0.08333333333333333,1,0,43,0,0,0,0,0,0,0,0
106,B,1.7810565982485125,0.08333333333333333,1,0,51,0,0,0,0,0,0,0,0
107,A,1.7604614061942558,0.08333333333333333,1,0,44,0,1,0,2,0,0,0,0
107,B,1.7804664819400766,0.08333333333333333,1,0,52,0,1,0,2,0,0,0,0
108,A,1.7628363036339152,0.08333333333333333,1,0,45,0,2,0,6,0,0,0,0
108,B,1.7705399035463736,0.08333333333333333,1,0,53,0,2,0,6,0,0,0,0
109,A,1.762450742076298,0.08333333333333333,1,0,46,0,3,0,10,0,0,0,0
