case_id,fr,mb,pd,tick,side,alive_self_tick_start,alive_enemy_tick_start,alive_self_tick_end,alive_enemy_tick_end,ForceRatio_tick_start,ForceRatio_tick_end,AttritionMomentum,AttritionMomentum_fixed,d_ref_anchor,d_ref_live,link_radius_anchor,link_radius_live,lcc_size,alive_units_end,C_conn_rel,R,R_ref_anchor,R_ref_live,rho_anchor,rho_live,C_scale_anchor,C_scale_live,C_v3p1_anchor,C_v3p1_live,collapse_event_v2
reference_alpha_AB,4.0,5.0,5.0,12,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9516546658,3.2000000000,3.1226474653,100,100,1.0000000000,9.0057232384,20.0000000000,19.5165466579,0.4502861619,0.4614404073,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,13,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9443862221,3.2000000000,3.1110179553,100,100,1.0000000000,9.0226258847,20.0000000000,19.4438622205,0.4511312942,0.4640346543,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,13,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9760092606,3.2000000000,3.1616148169,100,100,1.0000000000,8.9902685774,20.0000000000,19.7600926056,0.4495134289,0.4549709739,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,14,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9782031719,3.2000000000,3.1651250750,100,100,1.0000000000,8.9949645109,20.0000000000,19.7820317187,0.4497482255,0.4547037756,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,14,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9516051165,3.2000000000,3.1225681863,100,100,1.0000000000,8.9529466258,20.0000000000,19.5160511646,0.4476473313,0.4587478558,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,15,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9683978410,3.2000000000,3.1494365456,100,100,1.0000000000,8.9549602854,20.0000000000,19.6839784100,0.4477480143,0.4549365021,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,15,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9767762330,3.2000000000,3.1628419728,100,100,1.0000000000,8.9406414454,20.0000000000,19.7677623303,0.4470320723,0.4522839407,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,16,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9709110704,3.2000000000,3.1534577126,100,100,1.0000000000,8.9514960220,20.0000000000,19.7091107037,0.4475748011,0.4541806151,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,16,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9667191659,3.2000000000,3.1467506655,100,100,1.0000000000,8.9295294409,20.0000000000,19.6671916592,0.4464764720,0.4540317497,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
reference_alpha_AB,4.0,5.0,5.0,17,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9922298211,3.2000000000,3.1875677137,100,100,1.0000000000,8.9384781202,20.0000000000,19.9222982108,0.4469239060,0.4486670175,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
