case_id,fr,mb,pd,tick,side,alive_self_tick_start,alive_enemy_tick_start,alive_self_tick_end,alive_enemy_tick_end,ForceRatio_tick_start,ForceRatio_tick_end,AttritionMomentum,AttritionMomentum_fixed,d_ref_anchor,d_ref_live,link_radius_anchor,link_radius_live,lcc_size,alive_units_end,C_conn_rel,R,R_ref_anchor,R_ref_live,rho_anchor,rho_live,C_scale_anchor,C_scale_live,C_v3p1_anchor,C_v3p1_live,collapse_event_v2
FR8_MB8_PD5,8.0,8.0,5.0,15,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9008135997,3.2000000000,3.0413017596,100,100,1.0000000000,7.9844447589,20.0000000000,19.0081359972,0.3992222379,0.4200540632,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,16,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8120680414,3.2000000000,2.8993088662,100,100,1.0000000000,7.9231142807,20.0000000000,18.1206804140,0.3961557140,0.4372415439,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,16,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8946004677,3.2000000000,3.0313607483,100,100,1.0000000000,7.9556542495,20.0000000000,18.9460046767,0.3977827125,0.4199119754,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,17,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8433808535,3.2000000000,2.9494093656,100,100,1.0000000000,7.8883946925,20.0000000000,18.4338085352,0.3944197346,0.4279308141,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,17,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8623036028,3.2000000000,2.9796857646,100,100,1.0000000000,7.9312801186,20.0000000000,18.6230360285,0.3965640059,0.4258854521,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,18,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8641926179,3.2000000000,2.9827081886,100,100,1.0000000000,7.8691329121,20.0000000000,18.6419261788,0.3934566456,0.4221201627,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,18,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8955271641,3.2000000000,3.0328434625,100,100,1.0000000000,7.9129788486,20.0000000000,18.9552716406,0.3956489424,0.4174553126,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,19,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8726947462,3.2000000000,2.9963115939,100,100,1.0000000000,7.8575825383,20.0000000000,18.7269474618,0.3928791269,0.4195869377,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,19,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8706537187,3.2000000000,2.9930459499,100,100,1.0000000000,7.8673650832,20.0000000000,18.7065371869,0.3933682542,0.4205676874,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,20,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8471770543,3.2000000000,2.9554832869,100,100,1.0000000000,7.8183709619,20.0000000000,18.4717705429,0.3909185481,0.4232605068,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,20,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.9215678159,3.2000000000,3.0745085054,100,100,1.0000000000,7.8252326198,20.0000000000,19.2156781590,0.3912616310,0.4072316655,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,21,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8933453888,3.2000000000,3.0293526220,100,100,1.0000000000,7.7732644005,20.0000000000,18.9334538875,0.3886632200,0.4105571253,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,21,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8704235643,3.2000000000,2.9926777029,100,100,1.0000000000,7.7705506262,20.0000000000,18.7042356434,0.3885275313,0.4154433666,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,22,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8301829710,3.2000000000,2.9282927536,100,100,1.0000000000,7.7264872339,20.0000000000,18.3018297102,0.3863243617,0.4221702068,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,22,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8639466766,3.2000000000,2.9823146826,100,100,1.0000000000,7.7266142234,20.0000000000,18.6394667662,0.3863307112,0.4145297889,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,23,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8323719476,3.2000000000,2.9317951161,100,100,1.0000000000,7.6580903097,20.0000000000,18.3237194757,0.3829045155,0.4179331778,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,23,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8934899562,3.2000000000,3.0295839299,100,100,1.0000000000,7.6466071267,20.0000000000,18.9348995617,0.3823303563,0.4038366880,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,24,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8037182008,3.2000000000,2.8859491213,100,100,1.0000000000,7.5964490561,20.0000000000,18.0371820083,0.3798224528,0.4211549816,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,24,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7663934668,3.2000000000,2.8262295469,100,100,1.0000000000,7.6182794800,20.0000000000,17.6639346680,0.3809139740,0.4312900621,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,25,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8130396007,3.2000000000,2.9008633611,100,100,1.0000000000,7.4932280898,20.0000000000,18.1303960068,0.3746614045,0.4132964380,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,25,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7620355159,3.2000000000,2.8192568254,100,100,1.0000000000,7.5636466688,20.0000000000,17.6203551589,0.3781823334,0.4292561983,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,26,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7610937706,3.2000000000,2.8177500330,100,100,1.0000000000,7.4607452650,20.0000000000,17.6109377060,0.3730372633,0.4236427037,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,26,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8431231153,3.2000000000,2.9489969844,100,100,1.0000000000,7.5196798696,20.0000000000,18.4312311526,0.3759839935,0.4079857611,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,27,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7466259583,3.2000000000,2.7946015333,99,100,0.9900000000,7.4283029605,20.0000000000,17.4662595832,0.3714151480,0.4252944327,1.0000000000,1.0000000000,0.9900000000,0.9900000000,1
FR8_MB8_PD5,8.0,8.0,5.0,27,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.8243528455,3.2000000000,2.9189645527,100,100,1.0000000000,7.4395657226,20.0000000000,18.2435284546,0.3719782861,0.4077920420,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1
FR8_MB8_PD5,8.0,8.0,5.0,28,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.6943694455,3.2000000000,2.7109911128,99,100,0.9900000000,7.3669011094,20.0000000000,16.9436944551,0.3683450555,0.4347871787,1.0000000000,1.0000000000,0.9900000000,0.9900000000,1
FR8_MB8_PD5,8.0,8.0,5.0,28,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7616246467,3.2000000000,2.8185994348,99,100,0.9900000000,7.3705267755,20.0000000000,17.6162464674,0.3685263388,0.4183937134,1.0000000000,1.0000000000,0.9900000000,0.9900000000,1
FR8_MB8_PD5,8.0,8.0,5.0,29,A,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7095312448,3.2000000000,2.7352499916,98,100,0.9800000000,7.2830521088,20.0000000000,17.0953124478,0.3641526054,0.4260262649,1.0000000000,1.0000000000,0.9800000000,0.9800000000,0
FR8_MB8_PD5,8.0,8.0,5.0,29,B,100,100,100,100,1.0000000000,1.0000000000,0.0000000000,0.0000000000,2.0000000000,1.7291829850,3.2000000000,2.7666927761,98,100,0.9800000000,7.3154124532,20.0000000000,17.2918298503,0.3657706227,0.4230560049,1.0000000000,1.0000000000,0.9800000000,0.9800000000,0
