tick,cohesion_v1_A,cohesion_v2_A,cohesion_v1_B,cohesion_v2_B
154,1.0,0.26679208479176375,1.0,0.17754081760933715
155,1.0,0.25282757265149103,1.0,0.17007752957280997
156,1.0,0.23685631760518178,1.0,0.1471816258655233
157,1.0,0.2659172280754263,1.0,0.1732099772628648
158,1.0,0.22254314866964764,1.0,0.1650942145177846
159,1.0,0.24169013463416,1.0,0.19164305746655774
160,1.0,0.20203970756902656,1.0,0.17818758496227338
161,1.0,0.21041940632210288,1.0,0.14331044589332076
162,1.0,0.2532525638498304,1.0,0.1710850967029277
163,1.0,0.23821414343821146,1.0,0.1944407657226842
164,1.0,0.2481816638390535,1.0,0.16773359578946867
165,1.0,0.22571989112626967,1.0,0.17196608227066867
166,1.0,0.24853578236062435,1.0,0.1924308015222007
167,1.0,0.2548259953752168,1.0,0.16780315647481492
168,1.0,0.33461430084347643,1.0,0.18477026857771894
169,1.0,0.31196400212147124,1.0,0.179530948593687
170,1.0,0.36287005854278487,1.0,0.1611771467829436
171,1.0,0.4105125026145209,1.0,0.16392532581563346
172,1.0,0.4640699483502656,1.0,0.14954288054803855
173,1.0,0.43508425350410906,1.0,0.1640203784554537
174,1.0,0.4040586319532047,1.0,0.14374847427904092
175,1.0,0.390098585032711,1.0,0.16332063065804925
176,1.0,0.3565733335227004,1.0,0.15571878855521826
177,1.0,0.36178943908333283,1.0,0.1550164553732698
178,1.0,0.3772116624161075,1.0,0.15815392987227384
179,1.0,0.3498975859414537,1.0,0.15229135983442965
180,1.0,0.38920617671935376,1.0,0.16955081059514043
181,1.0,0.3754566412578706,1.0,0.15451100598580425
182,1.0,0.32248508172378276,1.0,0.14147877893554162
183,1.0,0.3125519239183504,1.0,0.1732227402333375
184,1.0,0.2769998444398689,1.0,0.15928025329874496
185,1.0,0.246228662845821,1.0,0.15345468139959317
186,1.0,0.23269033068630784,1.0,0.1679813075350316
187,1.0,0.25533832866751904,1.0,0.17586075849525795
188,1.0,0.2882182077713893,1.0,0.13844318327760918
189,1.0,0.28463363103986916,1.0,0.17636406722949716
190,1.0,0.32237265976628304,1.0,0.17246590192437128
191,1.0,0.3338847139989711,1.0,0.20465850356794024
192,1.0,0.3053236805790853,1.0,0.1650425499508792
193,1.0,0.332764001976699,1.0,0.17038976805640615
194,1.0,0.3093113075543865,1.0,0.15048889862757986
195,1.0,0.32527873785269,1.0,0.16621069105872455
196,1.0,0.30478978640384646,1.0,0.06013732280710182
197,1.0,0.27864683484255215,1.0,0.10027501180154297
198,1.0,0.2913767737266617,1.0,0.16794574525202788
199,1.0,0.26136964566108856,1.0,0.13827555962740024
200,1.0,0.24056108465899295,1.0,0.15659955120125946
201,1.0,0.24922681320991646,1.0,0.13430394298120973
202,1.0,0.22651073912567354,1.0,0.13294034061084758
203,1.0,0.18879494991791257,1.0,0.1502564264455517
204,1.0,0.2349464911298006,1.0,0.1585162679485863
205,1.0,0.2295978393076057,1.0,0.15374816318237883
206,1.0,0.21559315699943626,1.0,0.16487616550951567
207,1.0,0.2291204668925716,1.0,0.1595377751601903
208,1.0,0.22410102872048454,1.0,0.12670838225062042
209,1.0,0.20353858870328367,1.0,0.1487316858343508
210,1.0,0.20376427088231286,1.0,0.1712711367986326
211,1.0,0.22456155171960146,1.0,0.1366704791076807
212,1.0,0.19858037854885624,1.0,0.12034633708104459
213,1.0,0.19918389292109873,1.0,0.10889619413301566
214,1.0,0.2108646039916492,1.0,0.15479843857629205
215,1.0,0.2244660406098865,1.0,0.04830234918340337
216,1.0,0.20877411053283057,1.0,0.10716739572750356
217,1.0,0.21769643547906248,1.0,0.09987603371183473
218,1.0,0.25258653765962413,1.0,0.054865362358748726
219,1.0,0.29210466368326493,1.0,0.10093326745457643
220,1.0,0.27376874659862205,1.0,0.1382568973729552
221,1.0,0.2086718401088653,1.0,0.11868362489411288
222,1.0,0.19707518791994727,1.0,0.09891532287027693
223,1.0,0.25399516779001874,1.0,0.15711412145381654
224,1.0,0.24791714330689285,1.0,0.06694122666466962
225,1.0,0.21763418280465385,1.0,0.08933571666645568
226,1.0,0.22987768215191484,1.0,0.09406053700322292
227,1.0,0.21230360872256937,1.0,0.11884865241319176
228,1.0,0.22189684047375535,1.0,0.11426347247646906
229,1.0,0.19452203175693472,1.0,0.0621776035567736
230,1.0,0.20787618760005366,1.0,0.10240839516480038
231,1.0,0.20701206065797195,1.0,0.1337961745659193
232,1.0,0.1531863068144912,1.0,0.16625764115462205
233,1.0,0.18055564629292886,1.0,0.15694576630445245
234,1.0,0.18365128889979687,1.0,0.1863993116130367
235,1.0,0.17366926522124537,1.0,0.08848300950092747
