tick,side,C_conn_rel,C_v3p1,ForceRatio,AttritionMomentum,cond_conn,cond_coh,cond_force,cond_attr,pressure,pressure_run_length,collapse_v2_shadow,collapse_event_v2
103,A,0.6500000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
103,B,0.7400000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
104,A,0.8400000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
104,B,0.7400000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
105,A,0.7000000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
105,B,0.7700000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
106,A,0.7900000000,0.9900000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
106,B,0.6800000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
107,A,0.7800000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
107,B,0.7100000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
108,A,0.6900000000,0.9700000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
108,B,0.8200000000,0.9800000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
109,A,0.7300000000,0.9700000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
109,B,0.6900000000,0.9400000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
110,A,0.7200000000,0.9300000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
110,B,0.7700000000,0.9400000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
111,A,0.7300000000,0.9300000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
111,B,0.8600000000,0.9300000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
112,A,0.7600000000,0.9500000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
112,B,0.8200000000,0.9300000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
113,A,0.6800000000,0.9600000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
113,B,0.8100000000,0.9000000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
114,A,0.7800000000,0.9800000000,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
114,B,0.7400000000,0.9000000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
115,A,0.7400000000,0.9500000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
115,B,0.7500000000,0.9000000000,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
116,A,0.6262626263,0.9292929293,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
116,B,0.7575757576,0.9393939394,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
117,A,0.6666666667,0.9797979798,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
117,B,0.6666666667,0.9393939394,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
118,A,0.7878787879,0.9797979798,1.0000000000,0.0000000000,0,0,0,0,0,0,0,1
118,B,0.6868686869,0.9393939394,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
119,A,0.6969696970,0.9292929293,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
119,B,0.7575757576,0.9494949495,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
120,A,0.6464646465,0.9292929293,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
120,B,0.8080808081,0.9494949495,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
121,A,0.6734693878,0.9387755102,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
121,B,0.7857142857,0.9591836735,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
122,A,0.6632653061,0.9285714286,1.0103092784,-0.0500000000,0,1,0,0,0,0,0,1
122,B,0.7010309278,0.9381443299,0.9897959184,0.0500000000,0,1,1,1,1,1,0,1
123,A,0.7142857143,0.9795918367,1.0103092784,-0.0500000000,0,0,0,0,0,0,0,1
123,B,0.7319587629,0.9690721649,0.9897959184,0.0500000000,0,1,1,1,1,2,0,1
124,A,0.7551020408,0.9693877551,1.0103092784,-0.0500000000,0,1,0,0,0,0,0,1
124,B,0.7525773196,0.9484536082,0.9897959184,0.0500000000,0,1,1,1,1,3,0,1
125,A,0.5816326531,0.9183673469,1.0103092784,-0.0500000000,0,1,0,0,0,0,0,1
125,B,0.7319587629,0.9278350515,0.9897959184,0.0500000000,0,1,1,1,1,4,0,1
126,A,0.7113402062,0.9587628866,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
126,B,0.7835051546,0.9484536082,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
127,A,0.7628865979,0.9587628866,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
127,B,0.7319587629,0.9484536082,1.0000000000,0.0000000000,0,1,0,0,0,0,0,1
128,A,0.7216494845,0.9587628866,1.0104166667,-0.0500000000,0,1,0,0,0,0,0,1
128,B,0.7812500000,0.9583333333,0.9896907216,0.0500000000,0,1,1,1,1,1,0,1
129,A,0.7500000000,0.9687500000,1.0105263158,-0.0500000000,0,1,0,0,0,0,0,1
129,B,0.7473684211,0.9578947368,0.9895833333,0.0500000000,0,1,1,1,1,2,0,1
130,A,0.7812500000,0.9583333333,1.0212765957,-0.1000000000,0,1,0,0,0,0,0,1
130,B,0.7340425532,0.9680851064,0.9791666667,0.1000000000,0,1,1,1,1,3,0,1
131,A,0.6875000000,0.9375000000,1.0212765957,-0.1000000000,0,1,0,0,0,0,0,1
131,B,0.7234042553,0.9574468085,0.9791666667,0.1000000000,0,1,1,1,1,4,0,1
132,A,0.6041666667,0.9270833333,1.0212765957,-0.1000000000,0,1,0,0,0,0,0,1
132,B,0.6170212766,0.9680851064,0.9791666667,0.1000000000,0,1,1,1,1,5,0,1
133,A,0.6526315789,0.9473684211,1.0106382979,-0.0500000000,0,1,0,0,0,0,0,1
133,B,0.7234042553,0.9680851064,0.9894736842,0.0500000000,0,1,1,1,1,6,0,1
134,A,0.7234042553,0.9680851064,1.0107526882,-0.0500000000,0,1,0,0,0,0,0,1
134,B,0.7311827957,0.9784946237,0.9893617021,0.0500000000,0,1,1,1,1,7,0,1
135,A,0.6702127660,0.9574468085,1.0217391304,-0.1000000000,0,1,0,0,0,0,0,1
135,B,0.7717391304,0.9782608696,0.9787234043,0.1000000000,0,1,1,1,1,8,0,1
136,A,0.5744680851,0.9680851064,1.0217391304,-0.1000000000,0,1,0,0,0,0,0,1
136,B,0.7065217391,0.9565217391,0.9787234043,0.1000000000,0,1,1,1,1,9,0,1
137,A,0.6914893617,0.9680851064,1.0217391304,-0.1000000000,0,1,0,0,0,0,0,1
137,B,0.7500000000,0.9456521739,0.9787234043,0.1000000000,0,1,1,1,1,10,1,1
138,A,0.6847826087,0.9673913043,1.0109890110,-0.0500000000,0,1,0,0,0,0,0,1
138,B,0.6373626374,0.9340659341,0.9891304348,0.0500000000,0,1,1,1,1,11,1,1
139,A,0.7500000000,0.9565217391,1.0337078652,-0.1500000000,0,1,0,0,0,0,0,1
139,B,0.7191011236,0.9550561798,0.9673913043,0.1500000000,0,1,1,1,1,12,1,1
140,A,0.6413043478,0.9456521739,1.0337078652,-0.1500000000,0,1,0,0,0,0,0,1
