seed_profile_id,cell_FR,cell_MB,cell_PD,opponent_archetype_name,delta_first_contact_tick,delta_first_kill_tick,delta_cut_tick,delta_pocket_tick,delta_first_deep_pursuit_tick_A,delta_first_deep_pursuit_tick_B,delta_pct_ticks_deep_pursuit_A,delta_pct_ticks_deep_pursuit_B,delta_mean_pursuit_intensity_A,delta_mean_pursuit_intensity_B,delta_mean_enemy_collapse_signal_A,delta_mean_enemy_collapse_signal_B,delta_p95_enemy_collapse_signal_A,delta_p95_enemy_collapse_signal_B,delta_collapse_prediction_error,delta_ar_forward_p90_A,delta_ar_forward_p90_B,delta_wedge_ratio_p10_A,delta_wedge_ratio_p10_B,delta_split_separation_p90_A,delta_split_separation_p90_B,missing_cut_v2,missing_cut_v3_test,pocket_without_cut_v2,pocket_without_cut_v3_test,event_order_anomaly_v2,event_order_anomaly_v3_test,observable_runtime_difference
SP02,2,5,5,muller,-2.0,-2.0,-2.0,0.0,319.0,107.0,-97.4489131849538,-86.37468002950236,-0.6963833540761337,-0.7488158474250696,-0.7130828853279163,-0.5325043947384213,-0.5618278048465215,-0.16442630249056078,107.0,-0.04093276269957391,-0.011266676270994314,0.022655520745460178,-0.01865996107179091,-0.0019605343864799174,0.0294547391982376,False,False,False,False,False,False,True
SP02,2,5,5,reinhard,-2.0,-2.0,-2.0,2.0,230.0,42.0,-95.42775028984796,-38.25503355704698,-0.6663606838948798,-0.752605425933222,-0.6313646023795464,-0.5731199278024219,-0.46330003290572197,-0.31536262385307023,40.0,-0.03996156884964641,-0.15094051138872855,-0.03702967118274558,-0.010255412828951371,-0.00768856438022647,0.028464980912241256,False,False,False,False,False,False,True
SP02,2,8,5,mittermeyer,-2.0,-1.0,-2.0,2.0,62.0,21.0,-80.55535675946469,-28.23779193205945,-0.7345755190649731,-0.7146943713211282,-0.5157915718020452,-0.519990615755465,-0.239346521032746,-0.26836803058015113,19.0,-0.026959765296938,-0.14567317930861057,-0.0051157937504375806,-0.01911332194069837,-0.007514100497753029,0.020387487929405035,False,False,False,False,False,False,True
SP02,2,8,5,muller,-2.0,-2.0,-1.0,3.0,244.0,89.0,-94.48769049433776,-75.66712064606682,-0.6798043088714015,-0.732133618056814,-0.6629356701537019,-0.4358144052591172,-0.5161327208823396,-0.16503233673781859,86.0,-0.027778785625051317,-0.07455134827253751,-0.05528936156989728,-0.01557506749973081,-0.012114203406759172,0.02551981966553485,False,False,False,False,False,False,True
SP02,2,8,5,reinhard,-2.0,-2.0,1.0,-1.0,345.0,29.0,-92.16249643230901,-27.173913043478265,-0.7000577845572894,-0.6735507017834688,-0.5986958819475601,-0.48880540943242157,-0.38518393046120125,-0.23272277510716521,30.0,-0.022362996841327032,-0.17502753895499956,0.0880210344129626,-0.0027262312627968077,-0.01063277769847315,0.016498591572233545,False,False,False,False,False,False,True
SP02,5,2,5,mittermeyer,-3.0,-3.0,-40.0,23.0,54.0,127.0,-80.74127310061601,-81.0,-0.809291256089883,-0.8313744951011514,-0.53377978648164,-0.6768404041815933,-0.2897552131885074,-0.42319256528999705,31.0,-0.11625907105748068,-0.15389344289920226,-0.2860238048942648,-0.0026690310471411127,0.0076976460849356165,0.02207775953352087,False,False,False,False,True,False,True
SP02,5,2,5,muller,-4.0,-2.0,-4.0,71.0,312.0,nan,-89.93580946478374,-99.56616052060737,-0.6349510383586262,-0.699017253735605,-0.6322747325909903,-0.7121321659895987,-0.30836112703343754,-0.5165511010836027,241.0,-0.11862477233160762,-0.021804302370961093,-0.27408881749224223,-0.00967705468657798,0.006220066722066875,0.029347778899158294,False,False,False,False,False,False,True
SP02,5,2,5,reinhard,-3.0,-2.0,-26.0,4.0,269.0,149.0,-92.20990873533246,-77.16346153846155,-0.7479471211507231,-0.8225166270415649,-0.6429105474419985,-0.6903512895903129,-0.3835287045576036,-0.4453708173777906,145.0,-0.11678893012401659,-0.14569811680872813,-0.18306413198833327,0.012133118183889513,0.0030359117940561564,0.042662884587053806,False,False,False,False,True,False,True
SP02,5,5,5,mittermeyer,-2.0,-2.0,-141.0,59.0,135.0,67.0,-73.53121189112078,-64.84848484848484,-0.7781960135467267,-0.8028926739892517,-0.51049181576398,-0.6238342725430431,-0.23287739623516335,-0.3478826681068936,8.0,-0.11739751516696106,-0.14506020696225042,-0.25764667290908083,0.004759031576931916,0.0007928753689530055,0.008963070187396838,False,False,False,False,True,False,True
SP02,5,5,5,muller,-3.0,-3.0,-3.0,71.0,235.0,229.0,-93.43367293664882,-85.30656284650229,-0.6530798894358983,-0.714859546308913,-0.6511013551706022,-0.5627573899428275,-0.42876550500038146,-0.19603193648599204,158.0,-0.1266451138331468,-0.033260137049749616,-0.2670515410574116,-0.02451380810347603,0.016294709386186712,0.030841321381476217,False,False,False,False,False,False,True
SP02,5,5,5,reinhard,-3.0,-3.0,-3.0,-1.0,173.0,71.0,-82.11921509456292,-48.484848484848484,-0.7490791801832642,-0.7264940786014347,-0.5608648607539821,-0.5547537390196141,-0.26620271426424946,-0.23186043414397717,72.0,-0.12552971813908131,-0.16367058555362557,-0.20639754049776782,0.012174554142268534,0.00041035379610332434,0.0430278902547474,False,False,False,False,False,False,True
SP02,5,8,5,mittermeyer,-2.0,-1.0,-6.0,12.0,58.0,55.0,-73.75126800568067,-68.13417190775681,-0.7718162305548588,-0.8095940719746872,-0.4978741990294128,-0.6274441997639799,-0.24849222417409833,-0.3376617356524789,43.0,-0.14762293680680383,-0.13319144510855274,-0.29697112889492283,-0.0012253037452023552,0.019277460820951164,-0.006387223831643363,False,False,False,False,False,False,True
