run_id,opponent_archetype_id,side_a_odw,odw_posture_bias_k_effective,delta_first_contact_tick,delta_cut_tick,delta_pocket_tick,delta_first_deep_pursuit_tick_A,delta_precontact_ar_forward_p90_A,delta_precontact_wedge_ratio_p10_A,delta_precontact_split_separation_p90_A,delta_precontact_net_axis_push_mean,delta_precontact_net_axis_push_abs_p90,delta_mean_enemy_collapse_signal_A,delta_pct_ticks_deep_pursuit_A
ODW8_K0p75_bittenfeld,bittenfeld,8.0,0.75,-1,-1,-41,-121,-0.023669911106404484,-0.047564428662098646,0.010118970448572462,-0.0006754569531894922,-0.0003382198172721029,-0.08348679434282508,-9.026245986318582
ODW8_K1p0_bittenfeld,bittenfeld,8.0,1.0,-1,-1,-34,50,-0.019463695261890734,-0.09321567451388235,0.006465172405777819,-0.001022715962857273,0.0010252516558321295,-0.03042328647111492,0.7794637678447813
ODW2_K0p25_muller,muller,2.0,0.25,1,49,32,21,-0.0012862166862817048,0.08682951081517276,0.002040258616367696,0.00237496593903744,0.0024384002500800524,-0.03274279044073691,-6.5109527483335965
ODW2_K0p5_muller,muller,2.0,0.5,1,1,36,50,0.006361412537518429,0.25361962049343034,-0.014152887463786845,0.0011012337911411535,0.001832714581291412,0.005003858499937425,-2.1023464656960336
ODW2_K0p75_muller,muller,2.0,0.75,0,0,-1,10,0.00046664062024248665,0.22640774906971906,-0.0208160425588384,0.0006796645022529084,0.001521963207463647,0.038950372195254684,4.185526325699094
ODW2_K1p0_muller,muller,2.0,1.0,0,0,36,-41,0.0027708571826630113,0.156913474313788,-0.00012721878878418913,0.0008207047412041252,0.0009901284550108615,0.025270285190104075,3.7444600507615995
ODW5_K0p25_muller,muller,5.0,0.25,0,0,0,76,-0.002936774774258577,0.02336797309963956,-0.0007987938176265974,0.0037415452168035744,0.0044429000717481765,0.013062791405132584,-2.803604529520804
ODW5_K0p5_muller,muller,5.0,0.5,0,0,-2,-42,-0.0013274802375704553,0.06018108133937261,-0.0010299159180615636,0.004225562226389984,0.004473262274717627,0.02666287991970026,4.51731709477143
ODW5_K0p75_muller,muller,5.0,0.75,0,0,25,58,0.004031253816635161,0.01828916165723604,0.004447308716166054,0.004831527702564083,0.005074160590605201,0.00925895628295556,-2.973159992423101
ODW5_K1p0_muller,muller,5.0,1.0,0,0,32,-4,0.0020561085509518406,0.023682754878625478,0.0010437933701219482,0.004748957208975145,0.005640518177409027,0.012550832324700695,-0.6519257752051661
ODW8_K0p25_muller,muller,8.0,0.25,0,0,1,35,-0.027617077367103393,0.012492349273180103,-0.00109357856186576,0.004713987445701563,0.005917683086000958,0.040299358413177416,2.875657885789666
ODW8_K0p5_muller,muller,8.0,0.5,0,0,43,13,1.1982870914639676e-05,-0.012874788094835332,-0.0009404976111080376,0.00410324714186378,0.004431872722814836,-0.07157953032451447,-10.291050127110358
ODW8_K0p75_muller,muller,8.0,0.75,-1,-1,-7,193,-0.017464884347385023,-0.00215803690518801,-0.0024531864309196294,0.005040203010519788,0.005913892938083336,-0.0762933865275014,-10.710641216521406
ODW8_K1p0_muller,muller,8.0,1.0,0,70,51,32,-0.013005655778829617,0.003555002162291987,-0.0058779547382661335,0.004948510799081972,0.005391572744353014,-0.008072574842764108,-3.3944984029724274
