run_id,seed_profile_id,opponent_archetype_name,runtime_decision_source_effective,semantic_connectivity_multiplier,v2_connect_radius_multiplier,v3_connect_radius_multiplier,v3_r_ref_radius_multiplier,movement_model_requested,movement_model_effective,movement_v3a_experiment_effective,centroid_probe_scale_effective,cell_FR,cell_MB,cell_PD,random_seed_effective,background_map_seed_effective,metatype_random_seed_effective,first_contact_tick,first_kill_tick,cut_tick,pocket_tick,first_deep_pursuit_tick_A,first_deep_pursuit_tick_B,pct_ticks_deep_pursuit_A,pct_ticks_deep_pursuit_B,mean_pursuit_intensity_A,mean_pursuit_intensity_B,mean_enemy_collapse_signal_A,mean_enemy_collapse_signal_B,p95_enemy_collapse_signal_A,p95_enemy_collapse_signal_B,ar_forward_p90_A,wedge_ratio_p10_A,split_separation_p90_A,missing_cut,pocket_without_cut,event_order_anomaly,A_v2_mean,A_fragmentation_mean,A_dispersion_mean,A_elongation_mean,A_v3_mean,A_c_conn_mean,A_c_scale_mean,A_rho_mean,B_v2_mean,B_fragmentation_mean,B_dispersion_mean,B_elongation_mean,B_v3_mean,B_c_conn_mean,B_c_scale_mean,B_rho_mean,determinism_digest
FR8_MB5_PD5_reinhard_v2_m2.5,SP01,reinhard,v2,2.5,2.5,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,8,5,5,1981813971,897304369,3095987153,107,116,126,135,1,1,64.51612903225806,97.6958525345622,0.2559532973724059,0.4298672618122586,0.6246569192717772,0.6191731535574971,0.8770101205559327,0.8610141713391841,2.074225352802896,0.7536313287652732,1.7286185426478875,False,False,False,0.30457225709732744,0.0,0.36754829608158196,0.5288209863569737,0.41229999999999983,0.41229999999999983,1.0,0.4362325881441568,0.351649124492683,0.0,0.3491791685947495,0.47892125794101986,0.22729999999999995,0.22729999999999995,1.0,0.44357404218593344,16fbc8cbbebf992462f0372fb297d627e8587b977e15868887db6971b448410a
FR8_MB8_PD5_reinhard_v2_m2.5,SP01,reinhard,v2,2.5,2.5,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,8,8,5,1981813971,897304369,3095987153,107,116,126,143,1,1,56.380510440835266,96.51972157772622,0.16075224194267287,0.40916906464235625,0.5768731051547824,0.599992755252997,0.8464506089422579,0.8782862837712646,2.0569973306867735,0.6532431968860172,1.7509302486345697,False,False,False,0.30408346227694866,0.0,0.35736958307134564,0.5390314126205883,0.4598,0.4598,1.0,0.4365217224470962,0.3576521840360975,0.0,0.34784099570284055,0.4697348322999364,0.2183,0.2183,1.0,0.4424658174724294,3ccae3802585ff03ab4599bae948baab871dd9c25d25e7279256a804c779aab9
FR2_MB2_PD5_reinhard_v2_m3.0,SP01,reinhard,v2,3.0,3.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,2,2,5,1981813971,897304369,3095987153,112,119,131,136,1,1,61.08695652173913,99.56521739130434,0.26089453886939046,0.6440135048834164,0.6286276108778535,0.7625161726694359,0.9487665681037416,0.8826572441459537,2.2475953564845113,1.124476003386556,1.7200404689764761,False,False,False,0.13582174314787343,0.0,0.3969220897671449,0.7753453190558716,0.20629999999999987,0.20629999999999987,1.0,0.46827943402707417,0.3001714133441665,0.0,0.35752623611690537,0.5450046732302206,0.1775999999999999,0.1775999999999999,1.0,0.4471626169509083,8798dd9aab0616137c799c96f8283f9cc09ff5905aec01bdf080610e4c6fe9e8
FR2_MB5_PD5_reinhard_v2_m3.0,SP01,reinhard,v2,3.0,3.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,2,5,5,1981813971,897304369,3095987153,111,119,130,136,1,1,45.40942928039702,100.0,0.23161811058749598,0.5967980228761575,0.5962414898124327,0.7311986819174386,0.9957952427822677,0.8827855987873829,2.2514862835627882,1.1225549195763795,1.7197061627831658,False,False,False,0.15172621124165298,0.0,0.39877539507457366,0.7492783966872696,0.1901999999999999,0.1901999999999999,1.0,0.4677416316801098,0.3000229993316044,0.0,0.3622585271112445,0.5447722982503324,0.19299999999999987,0.19299999999999987,1.0,0.44685608941961424,cfbdc312420126a7cf30d01770c4fbf9e252f8cec71b1bfdb94d816b9a6bbac4
FR2_MB8_PD5_reinhard_v2_m3.0,SP01,reinhard,v2,3.0,3.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,2,8,5,1981813971,897304369,3095987153,112,120,131,136,1,1,53.79746835443038,100.0,0.18644301994271814,0.5507864222047163,0.5871673251059432,0.7005242814698117,0.8779873534916111,0.8800078518652599,2.2547311155982834,1.005714304220446,1.7182969555329706,False,False,False,0.15600378844629986,0.0,0.39883803745015856,0.7426751033675117,0.14469999999999997,0.14469999999999997,1.0,0.4702154004536737,0.2955972551745332,0.0,0.36182360702867883,0.5498770753745625,0.2022,0.2022,1.0,0.44726300471004454,2f69eedca8fc1c4bb54d9a1d0502a59b3b1a1f51bcd9b53fe8ae376bbafbf8f6
FR5_MB2_PD5_reinhard_v2_m3.0,SP01,reinhard,v2,3.0,3.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,5,2,5,1981813971,897304369,3095987153,109,117,128,136,1,1,83.67768595041322,98.34710743801652,0.32154734176137073,0.4368689053526135,0.6749934759215119,0.6237130871976716,0.9067041046488643,0.862858809919151,2.182793962781319,1.0891536798566102,1.7162728187795402,False,False,False,0.2727321431300928,0.0,0.3626496100834681,0.5874804427661847,0.3375,0.3375,1.0,0.44600894811089786,0.3197823298469667,0.0,0.3517833975301301,0.5210268736745635,0.2104999999999999,0.2104999999999999,1.0,0.44537081328157074,11ee12adf70bdbe1e60db87274644aecf38852ea3267226623da581b7db94652
FR5_MB5_PD5_reinhard_v2_m3.0,SP01,reinhard,v2,3.0,3.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,5,5,5,1981813971,897304369,3095987153,109,117,128,187,1,1,66.38115631691649,99.3576017130621,0.260719834780346,0.4338092919445551,0.6242757946238014,0.62241575700968,0.9860486874982295,0.863202318675836,2.187682043663827,1.1035590717089112,1.7136421204664116,False,False,False,0.28923492809893075,0.0,0.36693630372756936,0.5584425388855838,0.29980000000000007,0.29980000000000007,1.0,0.4451831359775986,0.3207270608805213,0.0,0.34870588847516515,0.5249222207216085,0.22339999999999996,0.22339999999999996,1.0,0.4443522017302731,a2c8cdffbfd4ad5d818d66b1b684d89c67f03b4a347fd3065d51b62831f2589f
FR5_MB8_PD5_reinhard_v2_m3.0,SP01,reinhard,v2,3.0,3.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,5,8,5,1981813971,897304369,3095987153,109,118,128,140,1,1,77.70114942528735,97.47126436781609,0.24973490341794818,0.41967557721937626,0.649690051428024,0.608098030385605,0.8450110740648737,0.8777880427042246,2.170906078476657,0.9793069330890773,1.7197033743644805,False,False,False,0.32394939807042633,0.0,0.3526470581278751,0.51526402833893,0.27,0.27,1.0,0.4451735922854849,0.3278485220663589,0.0,0.3500993972130566,0.5114662694412959,0.25379999999999986,0.25379999999999986,1.0,0.44374332224129537,860c3180c57873918d175bda5a92d6fbe54841c1b207ed7df22a788089db759e
FR8_MB2_PD5_reinhard_v2_m3.0,SP01,reinhard,v2,3.0,3.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,8,2,5,1981813971,897304369,3095987153,107,115,126,170,1,1,73.17073170731707,97.5609756097561,0.2735007118581748,0.47891661135804436,0.6501674057275239,0.6470036447942206,0.840648729234257,0.9957605164782903,2.078404713473684,0.7520731454136979,1.7305827524264086,False,False,False,0.3177182610037423,0.0,0.3674009207564673,0.5083436999776315,0.40780000000000016,0.40780000000000016,1.0,0.436838856404558,0.3444408700953679,0.0,0.35158796018567023,0.48571187592934967,0.2359,0.2359,1.0,0.44282184463336294,1c2322ab69abccdef6b626bad497cd8de36a42fbfba97a383cf7bad02d3c765c
FR8_MB5_PD5_reinhard_v2_m3.0,SP01,reinhard,v2,3.0,3.0,1.0,1.0,baseline,v3a,exp_precontact_centroid_probe,0.5,8,5,5,1981813971,897304369,3095987153,107,116,126,135,1,1,64.5083932853717,99.28057553956835,0.2938596550861674,0.4603554881340077,0.6402062156838477,0.6397599761241928,0.9911156906584784,0.86145668599671,2.074225352802896,0.7536313287652732,1.7286185426478875,False,False,False,0.30457225709732744,0.0,0.36754829608158196,0.5288209863569737,0.41229999999999983,0.41229999999999983,1.0,0.4362325881441568,0.351649124492683,0.0,0.3491791685947495,0.47892125794101986,0.22729999999999995,0.22729999999999995,1.0,0.44357404218593344,88b0a525b6d3cbed49c17705d77f3f658438a1dd4f94eb2cfa454780838cc2f2
