runtime_decision_source_effective,semantic_connectivity_multiplier,cell_FR,cell_MB,cell_PD,runs,first_contact_tick_mean,cut_tick_mean,pocket_tick_mean,first_deep_pursuit_tick_A_mean,pct_ticks_deep_pursuit_A_mean,mean_enemy_collapse_signal_A_mean,A_v2_mean_mean,A_fragmentation_mean_mean,A_v3_mean_mean,A_c_conn_mean_mean,anomaly_count
v2,2.0,2,5,5,1,111.0,130.0,136.0,1.0,63.23529411764706,0.646842584775511,0.15172621124165298,0.0,0.1901999999999999,0.1901999999999999,0
v2,2.0,2,8,5,1,112.0,131.0,136.0,1.0,64.92693110647181,0.6149605701891968,0.15600378844629986,0.0,0.14469999999999997,0.14469999999999997,0
v2,2.0,5,2,5,1,109.0,128.0,136.0,1.0,82.0627802690583,0.6691418432214958,0.2727321431300928,0.0,0.3375,0.3375,0
v2,2.0,5,5,5,1,109.0,128.0,141.0,1.0,67.49482401656314,0.6299290100940445,0.28923492809893075,0.0,0.29980000000000007,0.29980000000000007,0
v2,2.0,5,8,5,1,109.0,128.0,140.0,1.0,70.13274336283186,0.6145984714369934,0.32394939807042633,0.0,0.27,0.27,0
v2,2.0,8,2,5,1,107.0,126.0,176.0,1.0,76.35658914728683,0.6257984378648362,0.3177182610037423,0.0,0.40780000000000016,0.40780000000000016,0
v2,2.0,8,5,5,1,107.0,126.0,135.0,1.0,79.8283261802575,0.6879442307295224,0.30457225709732744,0.0,0.41229999999999983,0.41229999999999983,0
v2,2.0,8,8,5,1,107.0,126.0,143.0,1.0,67.8646934460888,0.5929816254213922,0.30408346227694866,0.0,0.4598,0.4598,0
v2,2.5,2,2,5,1,112.0,131.0,136.0,1.0,61.08695652173913,0.6286276108778535,0.13582174314787343,0.0,0.20629999999999987,0.20629999999999987,0
v2,2.5,2,5,5,1,111.0,130.0,136.0,1.0,49.88452655889145,0.5973328635547404,0.15172621124165298,0.0,0.1901999999999999,0.1901999999999999,0
v2,2.5,2,8,5,1,112.0,131.0,136.0,1.0,70.92198581560284,0.6329850811723005,0.15600378844629986,0.0,0.14469999999999997,0.14469999999999997,0
v2,2.5,5,2,5,1,109.0,128.0,136.0,1.0,71.34020618556701,0.6320625221201448,0.2727321431300928,0.0,0.3375,0.3375,0
v2,2.5,5,5,5,1,109.0,128.0,187.0,1.0,73.06843267108168,0.6599113410099648,0.28923492809893075,0.0,0.29980000000000007,0.29980000000000007,0
v2,2.5,5,8,5,1,109.0,128.0,140.0,1.0,74.10207939508507,0.6586243864125703,0.32394939807042633,0.0,0.27,0.27,0
v2,2.5,8,2,5,1,107.0,126.0,170.0,1.0,80.16877637130801,0.648812829550535,0.3177182610037423,0.0,0.40780000000000016,0.40780000000000016,0
v2,2.5,8,5,5,1,107.0,126.0,135.0,1.0,64.51612903225806,0.6246569192717772,0.30457225709732744,0.0,0.41229999999999983,0.41229999999999983,0
