seed_profile_id,cell_FR,cell_MB,cell_PD,opponent_archetype_name,runtime_decision_source_requested_v2,runtime_decision_source_effective_v2,runtime_decision_source_requested_v3_test,runtime_decision_source_effective_v3_test,effective_source_match_pair,cohesion_gap_mean_abs_A,cohesion_gap_mean_abs_B,cohesion_gap_max_abs_A,cohesion_gap_max_abs_B,cohesion_gap_differs_A,cohesion_gap_differs_B,delta_first_deep_pursuit_tick_A,delta_first_deep_pursuit_tick_B,delta_mean_enemy_collapse_signal_A,delta_mean_enemy_collapse_signal_B,delta_pct_ticks_deep_pursuit_A,delta_pct_ticks_deep_pursuit_B,observable_runtime_difference
SP01,5,2,5,bittenfeld,v2,v2,v3_test,v3_test,True,0.23689966246768476,0.1984693455175644,0.7646429696160149,0.9945213467080966,True,True,0.0,0.0,-0.2194637800517708,-0.2540420159387542,-25.846138764306545,-0.4264392324093791,True
SP01,5,2,5,kircheis,v2,v2,v3_test,v3_test,True,0.16736641080728687,0.2026152919147923,0.7646464417493711,0.9989787081737311,True,True,0.0,0.0,-0.25516405998750236,-0.20390710293828274,-47.22639521065495,-22.632794457274827,True
SP01,5,2,5,mittermeyer,v2,v2,v3_test,v3_test,True,0.2609005309219456,0.1662142822451588,0.7822275141694641,0.6503585207841012,True,True,0.0,0.0,-0.14055349247048798,-0.19026924454999317,-6.911435382503797,-3.440366972477065,True
SP01,5,2,5,muller,v2,v2,v3_test,v3_test,True,0.18086017789128614,0.23977050827245874,0.7734295265196045,0.9999966897771767,True,True,0.0,0.0,-0.34821920654516336,-0.24145507658830623,-63.96970452844735,-43.834327309009275,True
SP01,5,2,5,reinhard,v2,v2,v3_test,v3_test,True,0.21303133779526243,0.1903488092526709,0.7734482561158769,0.5869997469083686,True,True,0.0,0.0,-0.23829993851929432,-0.2001828763533402,-32.20004398988233,-3.3333333333333286,True
SP01,5,2,5,reuenthal,v2,v2,v3_test,v3_test,True,0.27498586168294414,0.1676375788557377,0.7646976903138839,0.544081539862149,True,True,0.0,0.0,-0.13566566753607856,-0.22363606600736063,-3.80512951965936,-44.90964241466229,True
SP01,5,2,8,bittenfeld,v2,v2,v3_test,v3_test,True,0.20813300382944938,0.21281164413695836,0.7646779968769503,0.6314137354642133,True,True,0.0,0.0,-0.23695436958254457,-0.21802995598855268,0.13775911834164845,0.0,True
SP01,5,2,8,kircheis,v2,v2,v3_test,v3_test,True,0.21832394488547657,0.2234201998143307,0.7471009536657695,0.9992334282051186,True,True,0.0,0.0,-0.22607605559444965,-0.19308956879903993,-0.11122345803842393,-18.028311425682503,True
SP01,5,2,8,mittermeyer,v2,v2,v3_test,v3_test,True,0.2124658374471011,0.16650778612895425,0.7646811858336889,0.9999350239472843,True,True,0.0,0.0,-0.16649108716815675,-0.19638956746618808,0.9151474774392909,-2.784810126582272,True
SP01,5,2,8,muller,v2,v2,v3_test,v3_test,True,0.2517964041375547,0.27107104927651776,0.7646797036638853,0.9997718771175996,True,True,0.0,0.0,-0.3170129321696108,-0.22096953835407684,-3.0852144028743282,-36.59689135358901,True
SP01,5,2,8,reinhard,v2,v2,v3_test,v3_test,True,0.21983848389229027,0.1949399460184517,0.7471076499902068,1.0,True,True,0.0,0.0,-0.19212683874153147,-0.20161844049549627,1.7034247803478593,-3.030303030303031,True
SP01,5,2,8,reuenthal,v2,v2,v3_test,v3_test,True,0.19129056851118273,0.1426141884355136,0.7459388511893046,0.5204945410251058,True,True,0.0,0.0,-0.1358101215954165,-0.21272061760168182,1.9016371488834523,-40.615688506478286,True
SP01,5,5,2,bittenfeld,v2,v2,v3_test,v3_test,True,0.19603424831166846,0.26415267735926323,0.7904778214528878,0.7034490204392562,True,True,0.0,0.0,-0.2482789059266346,-0.243359123658747,-61.94550157578641,-0.7462686567164241,True
SP01,5,5,2,kircheis,v2,v2,v3_test,v3_test,True,0.22542779790273784,0.18908529200744534,1.0,0.6387299495441119,True,True,0.0,0.0,-0.3316280186911933,-0.19056331191474396,-59.47652074701255,-18.71659761004024,True
SP01,5,5,2,mittermeyer,v2,v2,v3_test,v3_test,True,0.171654627417749,0.1531152522955842,0.7904778214528878,0.9878600812532004,True,True,0.0,0.0,-0.15597879695926398,-0.20818574120846267,-68.88652584528873,-2.097902097902093,True
