seed_profile_id,cell_FR,cell_MB,cell_PD,opponent_archetype_name,delta_first_contact_tick,delta_first_kill_tick,delta_cut_tick,delta_pocket_tick,delta_first_deep_pursuit_tick_A,delta_first_deep_pursuit_tick_B,delta_pct_ticks_deep_pursuit_A,delta_pct_ticks_deep_pursuit_B,delta_mean_pursuit_intensity_A,delta_mean_pursuit_intensity_B,delta_mean_enemy_collapse_signal_A,delta_mean_enemy_collapse_signal_B,delta_p95_enemy_collapse_signal_A,delta_p95_enemy_collapse_signal_B,delta_collapse_prediction_error,delta_ar_forward_p90_A,delta_ar_forward_p90_B,delta_wedge_ratio_p10_A,delta_wedge_ratio_p10_B,delta_split_separation_p90_A,delta_split_separation_p90_B,missing_cut_v2,missing_cut_v3_test,pocket_without_cut_v2,pocket_without_cut_v3_test,event_order_anomaly_v2,event_order_anomaly_v3_test,observable_runtime_difference
SP01,2,5,5,muller,-1.0,-1.0,-1.0,11.0,0.0,0.0,-56.569125991973124,-10.389394661965554,-0.4380498790849106,-0.3916464298391185,-0.2741088259890926,-0.14080558320364234,-0.1004259872599439,-0.05057958668641627,-11.0,-0.033509701487585364,-0.2060296306820406,0.03503942960651929,-0.004623079285086651,-0.004603823955336539,0.0324047513539929,False,False,False,False,False,False,True
SP01,2,5,5,reinhard,-1.0,-1.0,-1.0,0.0,0.0,0.0,-22.34517982549478,-0.7874015748031553,-0.3777512247652313,-0.16891658169332302,-0.18100308360779427,-0.1137134166669399,-0.0344093093312674,-0.050634718066245976,0.0,-0.023092380890242126,-0.06368676876221979,0.02885895979580888,9.455447785955418e-05,-0.0030260492265801187,-0.00014053503830258052,False,False,False,False,False,False,True
SP01,2,5,5,reuenthal,0.0,0.0,0.0,0.0,0.0,0.0,-10.630844081798145,-24.397853685730936,-0.3626318251157099,-0.495430628493831,-0.15396108830600364,-0.18578872270450209,-0.04385894626702247,-0.053028132391329974,0.0,-0.009474495352810308,-0.023329084261097588,0.046830336563379316,-0.025867837617678968,0.0020270207918562377,-0.0018290500501370044,False,False,False,False,False,False,True
SP01,2,5,8,bittenfeld,-1.0,-1.0,-1.0,1.0,0.0,0.0,1.4639594718576774,-0.21141649048625766,-0.2850740299996367,-0.15636294659381345,-0.2177574716290872,-0.1390550598804301,-0.03837449108558999,-0.03881696790086964,-1.0,-0.01928643274777997,-0.0571250136146455,0.0031109608392141386,0.0005398641295700779,-0.0043319642961880955,-0.00041109400435623833,False,False,False,False,False,False,True
SP01,2,5,8,kircheis,-2.0,-1.0,-2.0,0.0,0.0,0.0,-0.9226040368090054,-4.219997525765351,-0.35148899957380175,-0.3391950814070227,-0.2734305537116726,-0.15620188160090243,-0.05774470971977086,-0.049439666003265326,0.0,-0.00565432939682875,-0.12661970742806705,-0.0031878071746163084,-0.009821540550944752,-0.0036055573825961584,0.0070724363508452015,False,False,False,False,False,False,True
SP01,2,5,8,mittermeyer,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.49742710120068523,-0.9090909090909065,-0.20006980276883124,-0.2166039121910378,-0.15314081667611756,-0.14573594146069202,-0.020966158574981852,-0.04848608976946245,1.0,-0.016617530606688025,-0.06641808619773926,0.06542133730891919,-0.011328469086259951,-0.0010255923671769196,-0.0009202965900256821,False,False,False,False,False,False,True
SP01,2,5,8,muller,0.0,-1.0,0.0,0.0,0.0,0.0,-3.095668777007333,-12.45452718319767,-0.4118191504354152,-0.4295412561339305,-0.3209469493994763,-0.15303924532655744,-0.1302806953289949,-0.040890856625404925,0.0,-0.01320370144205274,-0.19004148832454826,-0.06936691074631551,0.009194561364576637,-0.0009319935979985594,0.015798737991224332,False,False,False,False,False,False,True
SP01,2,5,8,reinhard,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.45107531887161656,-0.6423982869379046,-0.24653527049181223,-0.20565906409921997,-0.18945814212413326,-0.13815835230760487,-0.05519538231609622,-0.058626297513823644,1.0,-0.01187923920241829,-0.08344138974909843,0.03522680741814166,-0.004267306398090587,-0.0009739156126260529,-0.0011760932753106523,False,False,False,False,False,False,True
SP01,2,5,8,reuenthal,0.0,-1.0,0.0,1.0,0.0,0.0,-0.20790020790020947,-8.098093647226591,-0.1808436725761483,-0.36375419725129665,-0.14111755007068527,-0.11505255440949169,-0.03998510128604282,-0.05257777393039553,-1.0,-0.005475350664805756,-0.0368013527610751,-0.020197109462699814,0.012511196470161745,-0.005088093141869976,-0.0022327001862274543,False,False,False,False,False,False,True
SP01,2,8,2,bittenfeld,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-29.7072196268975,-0.23201856148492084,-0.16759381002329019,-0.1360514230815174,-0.20481954123111878,-0.12100678184714464,-0.03200471352124146,-0.030410894984274517,1.0,-0.023150265029137973,-0.0762884278703333,-0.08118764152971802,-0.003587390370236365,0.00429025687849216,0.0001610396790516777,False,False,False,False,False,False,True
