run_id,seed_profile_id,runtime_decision_source_requested,runtime_decision_source_effective,movement_model_requested,movement_model_effective,movement_v3a_experiment_effective,centroid_probe_scale_effective,v2_connect_radius_multiplier_effective,v3_connect_radius_multiplier_effective,v3_r_ref_radius_multiplier_effective,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,random_seed_effective,background_map_seed_effective,metatype_random_seed_effective,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,cut_tick,pocket_tick,first_deep_pursuit_tick,first_deep_pursuit_tick_A,first_deep_pursuit_tick_B,pct_ticks_deep_pursuit_A,pct_ticks_deep_pursuit_B,mean_pursuit_intensity_A,mean_pursuit_intensity_B,mean_enemy_collapse_signal_A,mean_enemy_collapse_signal_B,p95_enemy_collapse_signal_A,p95_enemy_collapse_signal_B,collapse_prediction_error,ar_forward_p90_A,ar_forward_p90_B,wedge_ratio_p10_A,wedge_ratio_p10_B,split_separation_p90_A,split_separation_p90_B,collapse_signal_jitter_A,collapse_signal_jitter_B,missing_cut,pocket_without_cut,event_order_anomaly,determinism_digest,cohesion_gap_mean_abs_A,cohesion_gap_mean_abs_B,cohesion_gap_max_abs_A,cohesion_gap_max_abs_B,cohesion_gap_differs_A,cohesion_gap_differs_B,phase_label
confirm_FR5_MB8_PD5_muller_SP01_v2,SP01,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.0,1.0,5,8,5,muller,2,1981813971,897304369,3095987153,A,465,16,0,110,119,137,135,1,1,1,98.27956989247312,99.13978494623656,0.7028014736898331,0.7360687767862057,0.8583538210425549,0.9113388626868859,0.9746907895816119,0.9778119416320683,-134,2.1929637754864455,2.0767423020971085,1.1077092177027361,0.8359313403314981,1.7145994221593541,1.7023049000418466,0.02249110669445394,0.015385482286877436,False,False,True,28b9b4f39746e492321cd7ed430260aa0544c1a379062a58504be61d73e50e92,0.23215610691096708,0.2866333071926745,0.790776971457513,0.6611454180612739,True,True,confirmation
confirm_FR5_MB8_PD5_muller_SP01_v3_test,SP01,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.1,1.0,5,8,5,muller,2,1981813971,897304369,3095987153,B,502,0,8,107,116,126,165,173,283,173,2.191235059760956,10.159362549800797,0.004282394090759313,0.03782516767954656,0.22911278636221813,0.3834033200272878,0.5121794871794869,0.75,8,2.045868913192933,2.045762767407888,0.7747259406408898,0.8316893468333656,1.7401625604661055,1.7342739061929393,0.036262626262626246,0.05444444444444445,False,False,False,d6e96c1a241d1e784090471d3b65ba67c2ae1c2fb8d212be064f8931d51a71b0,0.0,0.0,0.0,0.0,False,False,confirmation
confirm_FR5_MB8_PD5_muller_SP02_v2,SP02,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.0,1.0,5,8,5,muller,2,104729,130363,181081,A,465,16,0,110,119,137,135,1,1,1,98.27956989247312,99.13978494623656,0.7028014736898331,0.7360687767862057,0.8583538210425549,0.9113388626868859,0.9746907895816119,0.9778119416320683,-134,2.1929637754864455,2.0767423020971085,1.1077092177027361,0.8359313403314981,1.7145994221593541,1.7023049000418466,0.02249110669445394,0.015385482286877436,False,False,True,28b9b4f39746e492321cd7ed430260aa0544c1a379062a58504be61d73e50e92,0.23215610691096708,0.2866333071926745,0.790776971457513,0.6611454180612739,True,True,confirmation
confirm_FR5_MB8_PD5_muller_SP02_v3_test,SP02,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.1,1.0,5,8,5,muller,2,104729,130363,181081,B,502,0,8,107,116,126,165,173,283,173,2.191235059760956,10.159362549800797,0.004282394090759313,0.03782516767954656,0.22911278636221813,0.3834033200272878,0.5121794871794869,0.75,8,2.045868913192933,2.045762767407888,0.7747259406408898,0.8316893468333656,1.7401625604661055,1.7342739061929393,0.036262626262626246,0.05444444444444445,False,False,False,d6e96c1a241d1e784090471d3b65ba67c2ae1c2fb8d212be064f8931d51a71b0,0.0,0.0,0.0,0.0,False,False,confirmation
confirm_FR5_MB8_PD5_reinhard_SP01_v2,SP01,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.0,1.0,5,8,5,reinhard,3,1981813971,897304369,3095987153,A,547,5,0,110,119,178,136,1,1,1,96.52650822669104,100.0,0.7764348345617796,0.8694489483909101,0.8813405277312961,0.9129659655939404,0.9871992439378818,0.9763103288257813,-135,2.188287787648314,2.1369344776573334,1.094477019374393,0.8420677655441434,1.7116633341097032,1.7078202663406368,0.014556364846139189,0.01464587443948177,False,False,True,d19ca7c5aa6432b02ba5e16d2a2ecc71fedd00dd25513a6cbbc47f80ea3ae39b,0.17105044491463597,0.22842236045561223,0.790776971457513,0.9995594355685778,True,True,confirmation
confirm_FR5_MB8_PD5_reinhard_SP01_v3_test,SP01,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.1,1.0,5,8,5,reinhard,3,1981813971,897304369,3095987153,A,493,12,0,108,117,127,140,71,333,71,7.302231237322515,27.586206896551722,0.034740122603393375,0.05278600126357527,0.2744416983235398,0.27475903092862886,0.6666666666666667,0.5412587412587411,-69,2.0666527547176683,1.9747282172280964,0.8258182820435337,0.846585166014334,1.728500124209835,1.7301147990653896,0.039494949494949486,0.05141414141414142,False,False,False,2a97e97a531d5b3fea400bf8eaf379975dc253e5cb0c124323b299027fd8a033,0.0,0.0,0.0,0.0,False,False,confirmation
confirm_FR5_MB8_PD5_reinhard_SP02_v2,SP02,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.0,1.0,5,8,5,reinhard,3,104729,130363,181081,A,547,5,0,110,119,178,136,1,1,1,96.52650822669104,100.0,0.7764348345617796,0.8694489483909101,0.8813405277312961,0.9129659655939404,0.9871992439378818,0.9763103288257813,-135,2.188287787648314,2.1369344776573334,1.094477019374393,0.8420677655441434,1.7116633341097032,1.7078202663406368,0.014556364846139189,0.01464587443948177,False,False,True,d19ca7c5aa6432b02ba5e16d2a2ecc71fedd00dd25513a6cbbc47f80ea3ae39b,0.17105044491463597,0.22842236045561223,0.790776971457513,0.9995594355685778,True,True,confirmation
confirm_FR5_MB8_PD5_reinhard_SP02_v3_test,SP02,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.1,1.0,5,8,5,reinhard,3,104729,130363,181081,A,493,12,0,108,117,127,140,71,333,71,7.302231237322515,27.586206896551722,0.034740122603393375,0.05278600126357527,0.2744416983235398,0.27475903092862886,0.6666666666666667,0.5412587412587411,-69,2.0666527547176683,1.9747282172280964,0.8258182820435337,0.846585166014334,1.728500124209835,1.7301147990653896,0.039494949494949486,0.05141414141414142,False,False,False,2a97e97a531d5b3fea400bf8eaf379975dc253e5cb0c124323b299027fd8a033,0.0,0.0,0.0,0.0,False,False,confirmation
confirm_FR8_MB2_PD5_mittermeyer_SP01_v2,SP01,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.0,1.0,8,2,5,mittermeyer,1,1981813971,897304369,3095987153,B,497,0,13,110,118,129,150,1,1,1,99.59758551307847,97.98792756539235,0.8397049416007303,0.7815119814653603,0.928359509676158,0.847634412861549,0.9843649530068372,0.9740090859291712,-149,2.121521199651886,2.156583401781795,1.1561711719665488,0.8504094730141311,1.7129307753998089,1.7081154336209001,0.008019878483304063,0.01579211609128866,False,False,False,1ea1b5ed78c2522a2dd68c5242daf003a350f125d5a7f7dd0ca6770e4edc02aa,0.28044079397334515,0.14841894870385722,0.7986426986222405,0.571289802977596,True,True,confirmation
confirm_FR8_MB2_PD5_mittermeyer_SP01_v3_test,SP01,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.1,1.0,8,2,5,mittermeyer,1,1981813971,897304369,3095987153,B,445,0,16,107,116,126,141,63,63,149,35.056179775280896,32.359550561797754,0.10308206497797308,0.12178146405511227,0.44343510079409093,0.2964247011689323,0.7792843691148774,0.75,-78,2.0667263306913943,2.0265119910622698,0.7321715266854727,0.8404660725553019,1.728982979417834,1.7253321160109556,0.0718181818181818,0.03272727272727272,False,False,False,5c95026d33e137219111d18d6b2c2c9b9dd9ddc52825a710c631c4ebea7a156d,0.0,0.0,0.0,0.0,False,False,confirmation
confirm_FR8_MB2_PD5_mittermeyer_SP02_v2,SP02,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.0,1.0,8,2,5,mittermeyer,1,104729,130363,181081,B,497,0,13,110,118,129,150,1,1,1,99.59758551307847,97.98792756539235,0.8397049416007303,0.7815119814653603,0.928359509676158,0.847634412861549,0.9843649530068372,0.9740090859291712,-149,2.121521199651886,2.156583401781795,1.1561711719665488,0.8504094730141311,1.7129307753998089,1.7081154336209001,0.008019878483304063,0.01579211609128866,False,False,False,1ea1b5ed78c2522a2dd68c5242daf003a350f125d5a7f7dd0ca6770e4edc02aa,0.28044079397334515,0.14841894870385722,0.7986426986222405,0.571289802977596,True,True,confirmation
confirm_FR8_MB2_PD5_mittermeyer_SP02_v3_test,SP02,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.1,1.0,8,2,5,mittermeyer,1,104729,130363,181081,B,445,0,16,107,116,126,141,63,63,149,35.056179775280896,32.359550561797754,0.10308206497797308,0.12178146405511227,0.44343510079409093,0.2964247011689323,0.7792843691148774,0.75,-78,2.0667263306913943,2.0265119910622698,0.7321715266854727,0.8404660725553019,1.728982979417834,1.7253321160109556,0.0718181818181818,0.03272727272727272,False,False,False,5c95026d33e137219111d18d6b2c2c9b9dd9ddc52825a710c631c4ebea7a156d,0.0,0.0,0.0,0.0,False,False,confirmation
confirm_FR8_MB2_PD5_muller_SP01_v2,SP01,v2,v2,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.0,1.0,8,2,5,muller,2,1981813971,897304369,3095987153,A,471,13,0,108,116,127,135,1,1,1,97.45222929936305,99.36305732484077,0.6964972186866626,0.6506949440549344,0.854367277823428,0.8833870103948257,0.9778404300953608,0.9574774756715949,-134,2.1109839339278986,2.0781972478538946,1.118059046803024,0.822973831713075,1.7116720071085474,1.7223137561520017,0.020233499286189113,0.021684392002688586,False,False,False,0cdd9f57f40379eb38d2b20034cf225776fa99a71c864e3d9fc0a4c81580d880,0.23118271179178554,0.26366063232353165,0.7986338578710342,0.63834226512889,True,True,confirmation
confirm_FR8_MB2_PD5_muller_SP01_v3_test,SP01,v3_test,v3_test,baseline,v3a,exp_precontact_centroid_probe,0.5,1.0,1.1,1.0,8,2,5,muller,2,1981813971,897304369,3095987153,A,438,18,0,105,113,124,195,333,333,,3.4246575342465753,0.0,0.025342465753424658,0.0,0.2186051184639109,0.15917859584366317,0.5204945410251058,0.46003787878787855,138,2.038676441298194,2.070364711696844,0.6863698356140017,0.8275422852123975,1.7246907404432366,1.7473079767435937,0.034444444444444465,0.024545454545454537,False,False,False,754223ef126fbe7a872dfdb8a120947ed25a45497d84e5400a97a728f515aa68,0.0,0.0,0.0,0.0,False,False,confirmation
