cell_FR,cell_MB,cell_PD,n_pairs,v2_first_contact_tick_mean,v3_test_first_contact_tick_mean,delta_first_contact_tick_mean,v2_cut_exists_rate,v3_test_cut_exists_rate,v2_pocket_exists_rate,v3_test_pocket_exists_rate,delta_mean_enemy_collapse_signal_A,delta_mean_enemy_collapse_signal_B,delta_pct_ticks_deep_pursuit_A,delta_pct_ticks_deep_pursuit_B,delta_mean_pursuit_intensity_A,delta_mean_pursuit_intensity_B,delta_ar_forward_p90_A,delta_wedge_ratio_p10_A,delta_split_separation_p90_A,event_order_anomaly_rate_v2,event_order_anomaly_rate_v3_test
5,2,5,12,110.66666666666667,109.0,-1.6666666666666667,1.0,1.0,1.0,1.0,-0.2228943575183829,-0.21891539706267285,-29.99314123257572,-19.762817286527692,-0.42131650465957665,-0.38274298439790183,-0.09901735780496823,0.0008823397718730567,-0.007750362724444293,0.5,0.5
5,2,8,12,111.0,109.33333333333333,-1.6666666666666667,1.0,1.0,1.0,1.0,-0.21241190080861827,-0.20713628145083932,0.2435884440165831,-16.84266740710585,-0.2763321581207336,-0.3650788582518956,-0.06535526542323655,0.039868468935930323,-0.003967768115395194,0.5,0.3333333333333333
5,5,2,12,110.16666666666667,108.16666666666667,-2.0,1.0,1.0,1.0,1.0,-0.2258512100353639,-0.2066839907131702,-61.46022901501893,-19.519094060896993,-0.3407033449711163,-0.3676895726596437,-0.07183739751786973,-0.20268109292495232,0.004244113507558526,0.5,0.0
5,5,5,12,111.0,109.16666666666667,-1.8333333333333333,1.0,1.0,1.0,1.0,-0.2059732054652912,-0.20341891638357504,-24.34474381656811,-16.28587757820914,-0.4096128546160059,-0.37317941969021895,-0.10278038123610907,-0.03827090813763765,-0.008507106085197077,0.3333333333333333,0.16666666666666666
5,5,8,12,111.16666666666667,109.5,-1.6666666666666667,1.0,1.0,1.0,1.0,-0.22879363147294265,-0.1794525704311282,-0.5160097802288016,-14.744794879978278,-0.2949469207577266,-0.32148196070072105,-0.07277961536057724,0.023120341414539003,-0.0061584046892142474,0.5,0.3333333333333333
5,8,2,12,109.83333333333333,108.33333333333333,-1.5,1.0,1.0,1.0,1.0,-0.21440101344166443,-0.19709211760639833,-61.86998483490908,-19.777693443614908,-0.3184330959264818,-0.3490454708451148,-0.057000798768347107,-0.16796287227303738,0.021558987173585027,0.16666666666666666,0.0
5,8,5,12,110.66666666666667,109.33333333333333,-1.3333333333333333,1.0,1.0,1.0,1.0,-0.20767776773468336,-0.18120216821947918,-23.501284447417913,-14.545880315272612,-0.41026481413344307,-0.33554283959276776,-0.09839416312090547,-0.1384529375941986,0.0003354634059423711,0.5,0.16666666666666666
5,8,8,12,110.83333333333333,109.66666666666667,-1.1666666666666667,1.0,1.0,1.0,1.0,-0.21346836217557227,-0.1849781810721525,0.03615753666323466,-14.675881212911179,-0.27682136503727134,-0.33892438111040296,-0.06845003455545322,-0.022328922151035695,-0.002720654568122797,0.5,0.16666666666666666
8,2,2,12,108.33333333333333,106.5,-1.8333333333333333,1.0,1.0,1.0,1.0,-0.24424076221736413,-0.33453229465143447,-59.58128700591515,-41.73975288966465,-0.29087526840658545,-0.47728036510652627,-0.033167248140595275,-0.1083797487515767,0.010836241905239685,0.0,0.0
8,2,5,12,109.16666666666667,107.16666666666667,-2.0,1.0,1.0,1.0,1.0,-0.24503229383078975,-0.3295108786989586,-29.357989574267194,-40.098301620657615,-0.47227982553409725,-0.477234519609808,-0.14446074211620977,-0.3074956953656836,0.016766937834584716,0.0,0.0
8,2,8,12,109.16666666666667,107.66666666666667,-1.5,1.0,1.0,1.0,1.0,-0.23568007020228876,-0.26645274838814154,-1.0488736977846453,-28.740766900849632,-0.3031887207460018,-0.42584044012456485,-0.1277702938528694,-0.3264388717385655,0.005417951477284226,0.3333333333333333,0.0
8,5,2,12,108.0,106.33333333333333,-1.6666666666666667,1.0,1.0,1.0,1.0,-0.22848060029202463,-0.3225556463183191,-60.08097010592606,-38.67194828978782,-0.2888226429944412,-0.48083635134254493,-0.025338243002430927,-0.13682835077336,0.003607751620902359,0.0,0.0
8,5,5,12,109.16666666666667,107.16666666666667,-2.0,1.0,1.0,1.0,1.0,-0.2256105198227026,-0.31095533245233575,-26.446393680501632,-35.58875056531369,-0.4404472843267568,-0.4868045735874112,-0.1461893784786719,-0.17694846382974463,0.014846955527973918,0.0,0.16666666666666666
8,5,8,12,109.16666666666667,108.0,-1.1666666666666667,1.0,1.0,1.0,1.0,-0.2340297881880168,-0.25862510599591176,-1.167754371220165,-31.76782818039693,-0.3002462488312175,-0.42440288782790137,-0.1315508179066974,-0.12793041360021948,0.015516097252908997,0.0,0.0
8,8,2,12,108.5,106.66666666666667,-1.8333333333333333,1.0,1.0,1.0,1.0,-0.24084308470917218,-0.3158656515970814,-62.47004723871115,-36.55264491310377,-0.3042460954350024,-0.4535564337380283,0.014173346009966484,-0.19431188441460043,0.015747822316010462,0.0,0.0
