candidate_id,candidate_family,candidate_mode,a,sigma,p,q,beta,gamma,ranking_advisory_only,controls_all_preserved,pd8_sentinels_improved,protected_cell_not_harmed,hard_constraint_pass,failed_controls,failed_pd8_sentinels,mean_control_win_delta,mean_pd8_sentinel_win_delta,protected_cell_win_delta,odw_readability_delta,pd_selectivity_delta,pd5_mb_shoulder_contrast_delta,mb8_pd5_win_delta,mean_runtime_c_conn_delta,mean_runtime_collapse_delta,smoothness_score
B_a025_s010_b30,B,candidate_b,0.25,0.1,1.0,1.0,3.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,-100.0,-0.051454262946105195,33.33333333333333,-50.0,50.0,-0.004336601915000606,0.004336601915000581,-0.21
B_a025_s015_b15,B,candidate_b,0.25,0.15,1.0,1.0,1.5,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,-100.0,-0.07983622619472619,16.666666666666664,-50.0,50.0,-0.007219621639554933,0.007219621639554916,-0.13
B_a025_s015_b30,B,candidate_b,0.25,0.15,1.0,1.0,3.0,0.0,True,True,False,False,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,-100.0,-0.06562045908808962,50.0,0.0,0.0,-0.002281334652894308,0.002281334652894286,-0.16
B_a025_s020_b15,B,candidate_b,0.25,0.2,1.0,1.0,1.5,0.0,True,False,False,True,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,0.0,-0.05952398820575372,66.66666666666667,0.0,50.0,-0.0047506447773337035,0.004750644777333683,-0.07999999999999999
B_a025_s020_b30,B,candidate_b,0.25,0.2,1.0,1.0,3.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,FR5_MB2_PD8_ODW8,-25.0,50.0,-100.0,-0.04841896117027314,66.66666666666667,0.0,0.0,-0.003449236898152665,0.0034492368981526595,-0.10999999999999999
B_a035_s010_b15,B,candidate_b,0.35,0.1,1.0,1.0,1.5,0.0,True,False,False,True,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",-25.0,0.0,0.0,-0.048017349447753536,50.0,-50.0,50.0,-0.004633506105566176,0.004633506105566154,-0.27999999999999997
B_a035_s010_b30,B,candidate_b,0.35,0.1,1.0,1.0,3.0,0.0,True,False,False,False,False,"FR2_MB2_PD8_ODW8,FR8_MB2_PD2_ODW8",FR5_MB2_PD8_ODW8,-50.0,50.0,-100.0,-0.07386497867899566,50.0,-50.0,50.0,-0.005542309878631837,0.0055423098786318145,-0.30999999999999994
B_a035_s015_b15,B,candidate_b,0.35,0.15,1.0,1.0,1.5,0.0,True,False,False,True,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,0.0,-0.060098310614389944,16.666666666666664,-50.0,50.0,-0.00323301598662883,0.0032330159866288135,-0.22999999999999998
B_a035_s015_b30,B,candidate_b,0.35,0.15,1.0,1.0,3.0,0.0,True,True,False,True,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,0.0,-0.07499007047774515,0.0,0.0,50.0,-0.008831682806036446,0.008831682806036436,-0.26
B_a035_s020_b15,B,candidate_b,0.35,0.2,1.0,1.0,1.5,0.0,True,True,False,True,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,0.0,-0.082206380342532,50.0,-50.0,50.0,-0.004533527686780407,0.004533527686780397,-0.17999999999999997
B_a035_s020_b30,B,candidate_b,0.35,0.2,1.0,1.0,3.0,0.0,True,True,False,False,False,,FR5_MB2_PD8_ODW8,0.0,50.0,-100.0,-0.05333521455960411,66.66666666666667,-100.0,100.0,-0.007672103531100629,0.00767210353110061,-0.20999999999999996
B_a045_s010_b15,B,candidate_b,0.45,0.1,1.0,1.0,1.5,0.0,True,True,False,True,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,0.0,-0.05971454347988252,33.33333333333333,-50.0,50.0,-0.0036240037947189844,0.003624003794718976,-0.38
B_a045_s010_b30,B,candidate_b,0.45,0.1,1.0,1.0,3.0,0.0,True,False,False,False,False,FR2_MB2_PD8_ODW8,FR5_MB2_PD8_ODW8,-25.0,50.0,-100.0,-0.05914998531428344,66.66666666666667,-50.0,50.0,-0.011308319955734482,0.01130831995573447,-0.41
B_a045_s015_b15,B,candidate_b,0.45,0.15,1.0,1.0,1.5,0.0,True,True,False,True,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,0.0,-0.05672000775391197,33.33333333333333,0.0,50.0,-0.0009724923392582847,0.000972492339258256,-0.33000000000000007
B_a045_s015_b30,B,candidate_b,0.45,0.15,1.0,1.0,3.0,0.0,True,True,False,False,False,,FR5_MB2_PD8_ODW8,25.0,50.0,-100.0,-0.0679757395776841,100.0,0.0,0.0,-0.009367812936370871,0.009367812936370847,-0.36000000000000004
B_a045_s020_b15,B,candidate_b,0.45,0.2,1.0,1.0,1.5,0.0,True,True,False,True,False,,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",25.0,0.0,0.0,-0.07054781696904046,33.33333333333333,0.0,0.0,-0.006471532812233424,0.006471532812233393,-0.28
B_a045_s020_b30,B,candidate_b,0.45,0.2,1.0,1.0,3.0,0.0,True,False,False,True,False,FR2_MB2_PD8_ODW8,"FR5_MB2_PD8_ODW8,FR5_MB5_PD8_ODW8",0.0,0.0,0.0,-0.05987554339537856,16.666666666666664,-50.0,50.0,-0.005996367886901676,0.005996367886901665,-0.31
