origin_a,origin_b,aspect_ratio,fleet_size,first_contact_tick,frontcurve_diff_t1_20,frontcurve_diff_t21_50,frontcurve_diff_t51_120,cws_diff_t1_20,cws_diff_t21_50,cws_diff_t51_120,remaining_a,remaining_b,remaining_gap_pct_initial,end_tick
70.0,130.0,1.5,100,32,0.15801705040627245,0.2202758671218645,0.35864986729989545,0.006423635128665625,0.006147281142691907,0.13630147725952269,54,53,1.0,120
70.0,130.0,1.5,125,31,0.06926988946113448,0.22146792808532764,0.4945595831378782,0.0050488205233147,0.03854356449357453,0.04986597133812923,68,70,1.6,120
70.0,130.0,1.5,150,30,0.07060844340881878,0.17350176483427487,0.40077363920479403,0.0035018907730449285,0.009707826122664652,0.12771767233592018,80,80,0.0,120
70.0,130.0,2.0,50,36,0.13541106278056075,0.2567595206397008,0.48226158543872816,0.005247092110408321,0.014182613593570302,0.19822995655848463,27,25,4.0,120
70.0,130.0,2.0,75,34,0.16793242625400118,0.34055702515381436,0.48754253657208385,0.0065902780509646585,0.01229190238494147,0.08251617848535306,39,38,1.3333333333333335,120
70.0,130.0,2.0,100,34,0.13232933767894167,0.20117349893852285,0.38610588198365353,0.006983544973162707,0.02005966009980897,0.13424720602014817,54,52,2.0,120
70.0,130.0,2.0,125,32,0.14470633286095885,0.19029091357204753,0.41041426999317576,0.007054453006416506,0.005820083342405095,0.1958894439864605,63,63,0.0,120
70.0,130.0,2.0,150,32,0.11340682520585825,0.2906565286348007,0.4865574218587125,0.0036892376925306922,0.004506517116284124,0.07205210057545318,77,78,0.6666666666666667,120
70.0,130.0,2.5,50,36,0.19477532621055388,0.17100134956011706,0.4585516588695114,0.006519979197635238,0.022450357966864502,0.16005343283175733,25,26,2.0,120
70.0,130.0,2.5,75,35,0.18738434534493806,0.17362807458328597,0.7650731348529982,0.00874233276648899,0.045759776801282986,0.1367356900474479,41,39,2.666666666666667,120
70.0,130.0,2.5,100,34,0.0904044229138429,0.261685923273972,0.5628999757183719,0.0046936574605518375,0.012077786462808108,0.14204965752467688,53,53,0.0,120
70.0,130.0,2.5,125,33,0.14337280317975257,0.3492828703460181,0.407340608005015,0.0049903935462412745,0.013387850733290825,0.15344175354920814,69,69,0.0,120
70.0,130.0,2.5,150,32,0.07036676389344865,0.21417825470139626,0.38232297386486586,0.004489397538053239,0.01106551119171747,0.05620423617555773,85,81,2.666666666666667,120
70.0,130.0,3.0,50,36,0.19477532621055388,0.17100134956011706,0.4585516588695114,0.006519979197635238,0.022450357966864502,0.16005343283175733,25,26,2.0,120
70.0,130.0,3.0,75,35,0.18738434534493806,0.17362807458328597,0.7650731348529982,0.00874233276648899,0.045759776801282986,0.1367356900474479,41,39,2.666666666666667,120
70.0,130.0,3.0,100,34,0.11289932503225034,0.14884787534608124,0.41961259584290017,0.004849678811270608,0.01113092680957853,0.06782461318145624,50,54,4.0,120
70.0,130.0,3.0,125,34,0.05187425163058257,0.1488616627674351,0.532547912925438,0.0023989499941012896,0.024715128332774006,0.0324978584434375,67,65,1.6,120
70.0,130.0,3.0,150,33,0.10010202305330654,0.16070515150261863,0.47575228071352155,0.006062785224711561,0.005903597735447197,0.09902715352821548,79,78,0.6666666666666667,120
90.0,110.0,1.0,50,6,0.16047038399994862,0.2864365736894776,0.4918955180635349,0.00692850494844776,0.12433238854890043,0.22164173990960412,20,19,2.0,120
90.0,110.0,1.0,75,4,0.17524573358563375,0.331728793139227,0.36794732145729386,0.005466795986040282,0.15088086976383022,0.14986746891652866,29,33,5.333333333333334,120
90.0,110.0,1.0,100,3,0.2273549350367052,0.37468718176394733,0.43769014266357337,0.04355535397092856,0.22359424327231606,0.1639436827372948,38,39,1.0,120
90.0,110.0,1.0,125,2,0.19988697281771814,0.3779343140189913,0.4199554441630695,0.10454130168497673,0.11982986210312849,0.13217953267589003,52,54,1.6,120
90.0,110.0,1.0,150,1,0.15343449214891128,0.2967972989588777,0.49058349732515955,0.015072112384456255,0.11310376768015916,0.12398809105157013,67,64,2.0,120
90.0,110.0,1.5,50,7,0.21874841037012016,0.41087517162813814,0.5024042103604774,0.023869628521549804,0.25059337509236596,0.22240409832489327,20,19,2.0,120
90.0,110.0,1.5,75,6,0.25431617205953516,0.405975273175673,0.4782012820910271,0.012181887602048478,0.03676049272274858,0.1807388063586173,30,31,1.3333333333333335,120
90.0,110.0,1.5,100,5,0.15531650708332093,0.4155487525531029,0.3574125488911463,0.008299704906466676,0.22102583385521724,0.1079310771762887,40,43,3.0,120
90.0,110.0,1.5,125,4,0.19521642888073942,0.3005070210540108,0.3659313141428276,0.009759987491618946,0.1875369566368703,0.139467198198575,52,52,0.0,120
90.0,110.0,1.5,150,3,0.19598963915601852,0.39441022649304974,0.42703284580142253,0.025398824460887003,0.034428917611995485,0.13028874099430232,64,70,4.0,120
90.0,110.0,2.0,50,8,0.20496730875142882,0.31169777139884053,0.6941932962692041,0.05488353811840562,0.1924568096719561,0.2738914470977367,19,20,2.0,120
90.0,110.0,2.0,75,7,0.26731371875465054,0.4181779688717815,0.4253788747821542,0.020418249126201583,0.23493605934400288,0.13245310216385456,30,29,1.3333333333333335,120
90.0,110.0,2.0,100,7,0.14631182637112405,0.36363104436397226,0.38766402604113326,0.008331872682515258,0.13866577521439372,0.08420698847207207,38,41,3.0,120
90.0,110.0,2.0,125,5,0.18760886005306313,0.26325379065069654,0.41609306238225524,0.011211635125912832,0.14988083009410338,0.12400322411047773,49,50,0.8,120
90.0,110.0,2.0,150,4,0.2453913877598405,0.38592042303368196,0.38485531033505666,0.06891993586135542,0.03236622599819776,0.08892840044483846,62,66,2.666666666666667,120
90.0,110.0,2.5,50,9,0.18331726025814257,0.3488731805685487,0.46457746980463305,0.018603716406425778,0.12129818805116231,0.24354670972141448,20,20,0.0,120
90.0,110.0,2.5,75,8,0.18029079528912165,0.3140699521266564,0.6376840718658286,0.055072470461669694,0.05310853389862816,0.08462653371989645,30,29,1.3333333333333335,120
90.0,110.0,2.5,100,7,0.2202636747466183,0.3486342694204937,0.4452806257515316,0.011024316632336618,0.08878776419272068,0.1339935924074448,41,41,0.0,120
