run_id,fixture_id,min_separation,config_id,mode,attack_range,repulsion_v1_enabled,repulsion_v1_strength,repulsion_v1_radius_multiplier,v2_radius_multiplier,v2_repulsion_max_disp_ratio,v2_forward_damping_strength,first_contact_tick,fc_diff_t1_20,fc_diff_t21_50,fc_diff_t51_120,cws_diff_t1_20,cws_diff_t21_50,hostile_overlap_pairs_t21_120,hostile_deep_pairs_t21_120,hostile_deep_intermix_ratio_t21_120,hostile_intermix_severity_t21_120,remaining_a,remaining_b,remaining_gap_pct_initial,end_tick
exception_2to1_close__sep200__hybrid_v2_r100_d020_p005,exception_2to1_close,2.0,hybrid_v2_r100_d020_p005,hybrid_v2,5.0,0,0.35,1.5,1.0,0.05,0.2,18,0.15015501235360382,0.2879554906707145,0.6137544449664372,0.006456548559183867,0.0902483730900921,140.58,6.64,0.04497591469878528,0.07003579364124322,150,26,41.333333333333336,120
exception_2to1_close__sep200__hybrid_v2_r100_d020_p010,exception_2to1_close,2.0,hybrid_v2_r100_d020_p010,hybrid_v2,5.0,0,0.35,1.5,1.0,0.1,0.2,18,0.1501582560266667,0.35802819488991156,0.584673036707116,0.0064564462169734,0.0736495160248003,148.05,4.58,0.02940694797996352,0.06505873947543075,157,19,46.0,120
exception_2to1_close__sep200__hybrid_v2_r100_d020_p015,exception_2to1_close,2.0,hybrid_v2_r100_d020_p015,hybrid_v2,5.0,0,0.35,1.5,1.0,0.15,0.2,18,0.150161499702425,0.47751191723514796,0.7771541689587386,0.006456343874345352,0.07661086890088674,151.35,2.52,0.015817827793611777,0.05985621039069619,156,23,44.333333333333336,120
exception_2to1_close__sep200__hybrid_v2_r100_d020_p020,exception_2to1_close,2.0,hybrid_v2_r100_d020_p020,hybrid_v2,5.0,0,0.35,1.5,1.0,0.2,0.2,18,0.15016474338087876,0.3952522956946377,0.5368731935608919,0.006456241531299779,0.043189521593082834,147.2,1.49,0.009137593338692742,0.054127988498926104,156,21,45.0,120
exception_2to1_close__sep200__hybrid_v2_r100_d035_p005,exception_2to1_close,2.0,hybrid_v2_r100_d035_p005,hybrid_v2,5.0,0,0.35,1.5,1.0,0.05,0.35,18,0.1501609228003439,0.3970368301218344,0.6420900469496691,0.006456363360515428,0.12419794760640575,149.26,8.28,0.05154222970987418,0.07281469675948796,153,21,44.0,120
exception_2to1_close__sep200__hybrid_v2_r100_d035_p010,exception_2to1_close,2.0,hybrid_v2_r100_d035_p010,hybrid_v2,5.0,0,0.35,1.5,1.0,0.1,0.35,18,0.15016416647343617,0.41551443975675384,0.5402233165568727,0.006456261017725581,0.04996422404840675,149.44,5.33,0.029693693946971585,0.06478629187167302,156,21,45.0,120
exception_2to1_close__sep200__hybrid_v2_r100_d035_p015,exception_2to1_close,2.0,hybrid_v2_r100_d035_p015,hybrid_v2,5.0,0,0.35,1.5,1.0,0.15,0.35,18,0.15016741014922397,0.31931597499800024,0.5413056431858057,0.006456158674518144,0.1194093420500081,150.11,3.21,0.01906581531598246,0.059804773689037194,155,19,45.333333333333336,120
exception_2to1_close__sep200__hybrid_v2_r100_d035_p020,exception_2to1_close,2.0,hybrid_v2_r100_d035_p020,hybrid_v2,5.0,0,0.35,1.5,1.0,0.2,0.35,18,0.1501706538277074,0.33527964234137175,0.580888460974892,0.006456056330893206,0.13908293124199966,145.76,2.47,0.01252155701477939,0.0546446494928787,156,22,44.666666666666664,120
exception_2to1_close__sep200__hybrid_v2_r100_d050_p005,exception_2to1_close,2.0,hybrid_v2_r100_d050_p005,hybrid_v2,5.0,0,0.35,1.5,1.0,0.05,0.5,18,0.15016683324708374,0.3023899867436886,0.5402726312512546,0.006456178160743531,0.2194129780960049,148.4,9.55,0.05790631812057432,0.07621232045224026,156,19,45.666666666666664,120
exception_2to1_close__sep200__hybrid_v2_r100_d050_p010,exception_2to1_close,2.0,hybrid_v2_r100_d050_p010,hybrid_v2,5.0,0,0.35,1.5,1.0,0.1,0.5,18,0.1501700769202058,0.4538562089560031,0.55232632576435,0.006456075817374303,0.04821866470970853,143.34,5.91,0.03808747050287009,0.0667081168154649,152,21,43.666666666666664,120
exception_2to1_close__sep200__hybrid_v2_r100_d050_p015,exception_2to1_close,2.0,hybrid_v2_r100_d050_p015,hybrid_v2,5.0,0,0.35,1.5,1.0,0.15,0.5,18,0.150173320596023,0.26853608495301723,0.5894057691932956,0.006455973473587532,0.0906461364596741,148.67,4.46,0.026005313856770972,0.060590976644770665,156,20,45.333333333333336,120
exception_2to1_close__sep200__hybrid_v2_r100_d050_p020,exception_2to1_close,2.0,hybrid_v2_r100_d050_p020,hybrid_v2,5.0,0,0.35,1.5,1.0,0.2,0.5,18,0.15017656427453585,0.4489487989738272,0.6469803865680159,0.006455871129383184,0.11629700163753284,146.48,3.55,0.017982938163380716,0.05876006091943752,159,20,46.333333333333336,120
