origin_a,origin_b,aspect_ratio,fleet_size,min_separation,attack_range,first_contact_tick,frontcurve_diff_t1_20,frontcurve_diff_t21_50,frontcurve_diff_t51_120,cws_diff_t1_20,cws_diff_t21_50,cws_diff_t51_120,remaining_a,remaining_b,remaining_gap_pct_initial,end_tick
10.0,190.0,1.5,125,1.0,5.0,120,0.26780804309654715,0.19350183968358725,0.3537161895347269,0.005056623768384075,0.0018781083521587393,0.00229803716190362,125,125,0.0,120
10.0,190.0,1.5,125,1.0,7.0,119,0.26780804309654715,0.19350183968358725,0.3537161895347269,0.005056623768384075,0.0018781083521587393,0.00229803716190362,125,125,0.0,120
10.0,190.0,1.5,125,2.0,3.0,115,0.09044203404713584,0.09645175352620333,0.2103620105497438,0.007793003555248418,0.004119077685265378,0.002556625555708981,125,125,0.0,120
10.0,190.0,1.5,125,2.0,5.0,114,0.09044203404713584,0.09645175352620333,0.2103620105497438,0.007793003555248418,0.004119077685265378,0.002556625555708981,125,125,0.0,120
10.0,190.0,1.5,125,2.0,7.0,113,0.09044203404713584,0.09645175352620333,0.21189545404371968,0.007793003555248418,0.004119077685265378,0.002582546151927521,124,124,0.0,120
10.0,190.0,1.5,125,3.0,3.0,115,0.03621280125875647,0.10044289288372248,0.1459562983123056,0.0036927064639386015,0.0019691772814085986,0.002962930274897391,125,125,0.0,120
10.0,190.0,1.5,125,3.0,5.0,112,0.03621280125875647,0.10044289288372248,0.1459562983123056,0.0036927064639386015,0.0019691772814085986,0.002962930274897391,125,125,0.0,120
10.0,190.0,1.5,125,3.0,7.0,111,0.03621280125875647,0.10044289288372248,0.1459562983123056,0.0036927064639386015,0.0019691772814085986,0.002962930274897391,125,125,0.0,120
10.0,190.0,1.5,150,1.0,3.0,120,0.12577172519902152,0.2912100340823395,0.3120852042286204,0.005421924048552664,0.0022827402191263704,0.00216372635457133,150,150,0.0,120
10.0,190.0,1.5,150,1.0,5.0,119,0.12577172519902152,0.2912100340823395,0.3120852042286204,0.005421924048552664,0.0022827402191263704,0.00216372635457133,150,150,0.0,120
