movement_model,cell_FR,cell_MB,cell_PD,n_runs,win_rate_A,mean_survivors_A,median_end_tick,first_contact_tick_mean,cut_exists_rate,pocket_exists_rate,cut_tick_p50,pocket_tick_p50,precontact_ar_p90_A_mean,precontact_wedge_p10_A_mean,precontact_split_p90_A_mean,precontact_persistent_outlier_p90_mean,precontact_max_persistence_max_mean,mirror_ar_gap_mean,mirror_wedge_gap_mean,jitter_ar_A_mean,jitter_wedge_A_mean,runtime_cap_hit_count
v1,5,8,8,6,0.5,10.333333333333334,420.5,107.33333333333333,1.0,1.0,126.0,150.5,2.0123032935611795,0.6709926166537851,1.7413329908849107,2.183333333333335,34.666666666666664,0.12901640661896005,0.16907136431652278,0.017578146843486065,0.022813382996950102,0
v1,8,2,2,6,0.3333333333333333,5.333333333333333,451.5,102.0,1.0,1.0,119.5,156.0,2.656450544762277,0.5364276746238265,2.3884340331669156,7.833333333333333,74.33333333333333,0.5858123704381901,0.3011211262252063,0.03100581860140239,0.028207299454930335,0
v1,8,2,5,6,0.16666666666666666,1.8333333333333333,462.5,105.0,1.0,1.0,123.5,161.0,2.290533728004687,0.6209111050737434,1.7361959448810131,5.666666666666667,54.333333333333336,0.22869421565965206,0.21526632551345173,0.024801440786026297,0.019447290080841406,0
v1,8,2,8,6,0.3333333333333333,2.6666666666666665,465.0,105.33333333333333,1.0,1.0,131.0,149.0,2.1914136501618344,0.6579399320259747,1.72880519054386,5.333333333333333,50.333333333333336,0.17191487372720404,0.174720994279854,0.023971549352915626,0.018715657755435756,0
v1,8,5,2,6,0.3333333333333333,3.3333333333333335,476.0,102.0,1.0,1.0,120.0,157.5,2.543990605215892,0.5570303702177749,2.7001675217937042,7.900000000000001,75.66666666666667,0.4915419989734937,0.28154988684793236,0.030461503332041038,0.03401105009519281,0
v1,8,5,5,6,0.16666666666666666,3.0,455.5,104.16666666666667,1.0,1.0,123.0,169.0,2.2437290061546427,0.5991799545918922,1.7381125096132137,6.333333333333333,62.166666666666664,0.23880348812225774,0.23576950632418678,0.024588669728194328,0.022712392437556312,0
v1,8,5,8,6,0.5,7.166666666666667,438.0,105.5,1.0,1.0,124.0,166.5,2.178465561950586,0.6208248899222942,1.7296977029662919,6.5,57.0,0.16158915858547265,0.21688131069058622,0.02337590041307014,0.018928505800765816,0
v1,8,8,2,6,0.3333333333333333,3.5,444.5,100.83333333333333,1.0,1.0,119.0,162.0,2.4445613630292184,0.614278693158217,3.0994770229351,7.033333333333334,77.0,0.40041385561467707,0.22087468540661206,0.030825984740133594,0.035943683740080196,0
v1,8,8,5,6,0.16666666666666666,2.5,425.5,104.33333333333333,1.0,1.0,152.0,162.5,2.1039169361443553,0.5609229352812544,1.8133539454512133,7.033333333333336,64.5,0.10814681808113373,0.2776692454802953,0.02389739335366052,0.02648431804020901,0
v1,8,8,8,6,0.5,9.0,437.0,105.16666666666667,1.0,1.0,125.5,160.5,2.0699473259758263,0.5675504975702749,1.7524620437134517,6.833333333333333,60.0,0.1536867750674276,0.2620962180842189,0.022885891674019873,0.023854674639756,0
v3a,2,2,2,6,0.8333333333333334,24.833333333333332,414.5,112.0,1.0,1.0,130.5,136.0,2.2516845484223715,1.11099355463908,1.721930941751273,0.0,0.0,0.11887930625990406,0.2733399760947266,0.003625710701304463,0.01171844023980323,0
v3a,2,2,5,6,1.0,25.333333333333332,441.0,112.16666666666667,1.0,1.0,131.0,136.0,2.2493826693392163,1.1138983588786424,1.7211670785327862,0.0,0.0,0.11694799883679512,0.27410366642589196,0.0031097050705445953,0.00931701213823614,0
v3a,2,2,8,6,1.0,23.666666666666668,460.0,112.0,1.0,1.0,130.5,136.0,2.2522533334612738,1.103968133459803,1.721767600915296,0.0,0.0,0.11741529392664869,0.2651500672126176,0.0030424560981356067,0.010042200505765509,0
v3a,2,5,2,6,0.8333333333333334,17.833333333333332,453.0,112.16666666666667,1.0,1.0,131.0,136.5,2.2535021852135624,1.09512491033997,1.7190553732107299,0.0,0.0,0.11504588003876652,0.2545349022105409,0.00466984692072077,0.017764931073494847,0
v3a,2,5,5,6,0.8333333333333334,17.333333333333332,467.5,112.16666666666667,1.0,1.0,131.0,136.0,2.262952422164234,1.0510406424432166,1.7201466620889052,0.0,0.0,0.1327473290813833,0.21130782808062523,0.004166139749641398,0.010467529752297084,0
v3a,2,5,8,6,0.8333333333333334,23.166666666666668,444.0,112.5,1.0,1.0,131.5,136.5,2.267350957931436,1.0825571062426624,1.7222241800375524,0.0,0.0,0.13298634591964098,0.2425863297303621,0.0038644843509334937,0.01159142716077999,0
v3a,2,8,2,6,0.8333333333333334,16.333333333333332,460.5,112.16666666666667,1.0,1.0,131.0,137.0,2.2338771872999645,1.0422980228864231,1.7173114547496464,0.0,0.0,0.09993061884099778,0.1984776762618218,0.0062391598613343105,0.016653904354669076,0
v3a,2,8,5,6,0.6666666666666666,11.5,468.0,112.33333333333333,1.0,1.0,131.0,137.0,2.251949627551427,1.0344196534751984,1.72243213949284,0.0,0.0,0.11494901209132946,0.19487357499547775,0.0054753761167075895,0.015934042564310705,0
v3a,2,8,8,6,0.8333333333333334,18.0,457.0,112.16666666666667,1.0,1.0,131.0,137.0,2.254051644228633,1.0689273375468342,1.7223824380291493,0.0,0.0,0.11735618217776726,0.22600349484918625,0.005292822431492068,0.0150366677614474,0
v3a,5,2,2,6,0.8333333333333334,13.166666666666666,456.0,110.16666666666667,1.0,1.0,133.0,137.0,2.152908087675148,1.1389755504697539,1.7129422167899166,0.0,0.0,0.04199244315269005,0.2950480150678261,0.010380902225822433,0.013357985694422972,0
v3a,5,2,5,6,0.8333333333333334,14.166666666666666,470.5,110.66666666666667,1.0,1.0,138.0,136.0,2.198499763245517,1.1101136024341092,1.71716461138588,0.0,0.0,0.08066024714233759,0.28008168536432726,0.008516170411319678,0.014067299487285087,0
v3a,5,2,8,6,1.0,22.0,439.0,111.0,1.0,1.0,135.5,136.0,2.2021022063120554,1.1057456325285884,1.7171180383856868,0.0,0.0,0.07859759515801039,0.26908945792007066,0.008238615759655529,0.014270591105270077,0
v3a,5,5,2,6,0.5,4.5,510.5,110.16666666666667,1.0,1.0,134.5,136.5,2.1466074538690902,1.0992648697008731,1.7132280300504048,0.0,0.0,0.039734238677153165,0.2535767515413839,0.011439917956335052,0.014670080996062027,0
