cell_FR,cell_MB,cell_PD,opponent_archetype_name,delta_end_tick,delta_first_contact_tick,delta_cut_tick,delta_pocket_tick,delta_ar_p90_A,delta_wedge_p10_A,delta_split_p90_A,delta_persistent_outlier_p90,delta_max_persistence,delta_mirror_ar_gap,delta_mirror_wedge_gap,delta_jitter_ar_A,delta_jitter_wedge_A,cut_exists_v1,cut_exists_v3a,pocket_exists_v1,pocket_exists_v3a
2,2,8,mittermeyer,-1.0,1.0,1.0,-11.0,0.0214970781460333,-0.04820582757142855,0.0021174068254370404,0.0,0.0,-0.1536812998396746,-0.09811359519268781,-0.0031446410267652425,-0.009175818767449552,True,True,True,True
2,2,8,muller,1.0,2.0,-2.0,-58.0,0.011107903781688133,0.06244422871680855,0.0029574551005702165,-2.0,-42.0,0.05498168495504707,0.05084540454640174,-0.0039667503154354475,-0.0022235189677954365,True,True,True,True
2,2,8,reinhard,13.0,3.0,3.0,-1.0,0.014121905575473104,0.0035403638114595015,0.0020333778599395114,0.0,-21.0,-0.20819792732033404,0.014140654637232242,-0.00306059323880053,-0.0037232907384101704,True,True,True,True
2,2,8,reuenthal,1.0,1.0,-166.0,1.0,0.012799600457356064,-0.03181225179782632,0.0037275444724482742,0.0,0.0,-0.04382697429930449,-0.032517806645911196,-0.002627332251363878,-0.0011963074275759353,True,True,True,True
2,5,2,bittenfeld,-24.0,3.0,-25.0,-1.0,0.06102934715761332,0.10658537572301752,0.007757047303011522,-1.0,-34.0,-0.09286416871440362,0.0905613037995685,-0.008109024511810059,-0.005742137072249328,True,True,True,True
2,5,2,kircheis,27.0,3.0,3.0,-28.0,0.0727682341163054,-0.003131179001461204,0.006279003951530804,-2.0,-42.0,-0.07516407906696165,-0.007006179624839848,-0.007884709794978097,-0.0017726060280370895,True,True,True,True
2,5,2,mittermeyer,21.0,2.0,2.0,0.0,0.029434482004733198,0.021571629796978353,0.00645283763534632,0.0,0.0,-0.1422762689529602,0.039776918872709954,-0.006809015189213867,-0.009464086857009226,True,True,True,True
2,5,2,muller,-22.0,3.0,-24.0,-38.0,0.05886125534162279,0.0007958310259552626,0.005359001137710262,-2.0,-50.0,0.17182381775534372,-0.009848383378315284,-0.0077864295581234495,0.007972952851540292,True,True,True,True
2,5,2,reinhard,56.0,3.0,3.0,-12.0,0.07843031870079953,-0.014643157824798081,0.007865339192839382,0.0,-23.0,-0.12502057750765294,-0.019077767187364647,-0.007879340447044293,-0.0005809915237671229,True,True,True,True
2,5,2,reuenthal,-15.0,1.0,-171.0,0.0,0.026183159797781297,0.05600244895279327,0.007649307656080184,0.0,0.0,-0.028271680782591346,0.05390813199763167,-0.0026896452075435397,0.0015884138333753638,True,True,True,True
2,5,5,bittenfeld,27.0,2.0,2.0,-23.0,0.002601539711835521,-0.034734356612732276,0.0016987807484007966,0.0,-28.0,-0.16367138075619891,-0.062319068064447314,-0.0052015798465145785,0.0037680286502051186,True,True,True,True
2,5,5,kircheis,-17.0,1.0,1.0,-50.0,0.0024245003238396734,-0.02337841464285928,0.003803624625998925,-3.0,-45.0,-0.18347656493812736,-0.03906817918542238,-0.003919089813830414,-0.01450733050813868,True,True,True,True
2,5,5,mittermeyer,70.0,1.0,1.0,0.0,0.015904539975635235,-0.030185663864192414,0.0019607061838622375,0.0,0.0,-0.116686324606734,-0.0042131555173315904,-0.003919938451186401,-0.004379533880283341,True,True,True,True
2,5,5,muller,-101.0,2.0,-2.0,-8.0,0.020359870238704225,0.02577801680957026,0.00307155479354293,-2.0,-46.0,0.11656522237080935,0.025548333445779003,-0.0048751759673967745,-0.011038279914906753,True,True,True,True
