tick,side,alive_units,fleet_size_hp,fleet_size_ships_ceil,LCC_ratio,cohesion_v2,cohesion_v1_shadow_enemy,collapse_event_v2,collapse_event_vuln_shadow,deep_pursuit,damage_events_count,event_flags
75,A,100,10000.0,10000,0.14,0.06104825363195587,0.6249999999999997,0,0,1,0,
75,B,100,10000.0,10000,0.05,0.007416474367426762,1.0,0,0,1,0,
76,A,100,10000.0,10000,0.14,0.07830194872655416,0.6199999999999997,0,0,1,0,
76,B,100,10000.0,10000,0.07,0.006161219280807373,1.0,0,0,1,0,
77,A,100,10000.0,10000,0.1,0.07980226052415729,0.6149999999999997,0,0,1,0,
77,B,100,10000.0,10000,0.06,0.008580747567378033,1.0,0,0,1,0,
78,A,100,10000.0,10000,0.11,0.057834660070444355,0.6099999999999997,0,0,1,0,
78,B,100,10000.0,10000,0.04,0.007447547374635155,1.0,0,0,1,0,
79,A,100,10000.0,10000,0.1,0.0649016822208951,0.6049999999999996,0,0,1,0,
79,B,100,10000.0,10000,0.04,0.005041068621898237,1.0,0,0,1,0,
80,A,100,10000.0,10000,0.05,0.058774971621927796,0.5999999999999996,0,0,1,0,
80,B,100,10000.0,10000,0.08,0.005069933435288276,1.0,0,0,1,0,
81,A,100,10000.0,10000,0.04,0.029956665700735186,0.5949999999999996,0,0,1,0,
81,B,100,10000.0,10000,0.06,0.010109575767921486,1.0,0,0,1,0,
82,A,100,10000.0,10000,0.05,0.024027389573361813,0.5899999999999996,0,0,1,0,
82,B,100,10000.0,10000,0.04,0.007611404830434543,1.0,0,0,1,0,
83,A,100,10000.0,10000,0.06,0.030159566091015333,0.5849999999999996,0,0,1,0,
83,B,100,10000.0,10000,0.09,0.005046056048318204,1.0,0,0,1,0,
84,A,100,10000.0,10000,0.09,0.03642738306096882,0.5799999999999996,0,0,1,0,
84,B,100,10000.0,10000,0.11,0.011368858055239572,1.0,0,0,1,0,
85,A,100,10000.0,10000,0.09,0.05438769444147362,0.5749999999999996,0,0,1,0,
85,B,100,10000.0,10000,0.09,0.013897810102833419,1.0,0,0,1,0,
86,A,100,10000.0,10000,0.04,0.05435563966374479,0.5699999999999996,0,0,1,0,
86,B,100,10000.0,10000,0.05,0.011459021246047918,1.0,0,0,1,0,
87,A,100,10000.0,10000,0.05,0.023908314506254302,0.5649999999999996,0,0,1,0,
87,B,100,10000.0,10000,0.05,0.006372495481054341,1.0,0,0,1,0,
88,A,100,10000.0,10000,0.06,0.02868046515379097,0.5599999999999996,0,0,1,0,
88,B,100,10000.0,10000,0.04,0.0063980738323803354,1.0,0,0,1,0,
89,A,100,10000.0,10000,0.1,0.034407855168483215,0.5549999999999996,0,0,1,0,
89,B,100,10000.0,10000,0.03,0.005087620558503536,1.0,0,0,1,0,
90,A,100,10000.0,10000,0.07,0.05662540280220507,0.5499999999999996,0,0,1,0,
90,B,100,10000.0,10000,0.06,0.003835115322565752,1.0,0,0,1,0,
91,A,100,10000.0,10000,0.08,0.03968721771715478,0.5449999999999996,0,0,1,0,
91,B,100,10000.0,10000,0.07,0.0076267819154821614,1.0,0,0,1,0,
92,A,100,10000.0,10000,0.12,0.0449584054059563,0.5399999999999996,0,0,1,0,
92,B,100,10000.0,10000,0.06,0.008987123850148437,1.0,0,0,1,0,
93,A,100,10000.0,10000,0.14,0.06613416252376925,0.5349999999999996,0,0,1,0,
93,B,100,10000.0,10000,0.04,0.007697733276243235,1.0,0,0,1,0,
94,A,100,10000.0,10000,0.05,0.07729768755697941,0.5299999999999996,0,0,1,0,
94,B,100,10000.0,10000,0.05,0.0050866674347653795,1.0,0,0,1,0,
95,A,100,10000.0,10000,0.11,0.027282648037306956,0.5249999999999996,0,0,1,0,
95,B,100,10000.0,10000,0.07,0.0065145167862511455,1.0,0,0,1,0,
96,A,100,10000.0,10000,0.06,0.058650517786841716,0.5199999999999996,0,0,1,0,
96,B,100,10000.0,10000,0.06,0.009321491877171684,1.0,0,0,1,0,
97,A,100,10000.0,10000,0.13,0.03093664811974184,0.5149999999999996,0,0,1,0,
97,B,100,10000.0,10000,0.07,0.007786790587908987,1.0,0,0,1,0,
98,A,100,10000.0,10000,0.04,0.06502324381167801,0.5099999999999996,0,0,1,0,
98,B,100,10000.0,10000,0.07,0.009072729255707679,1.0,0,0,1,0,
99,A,100,10000.0,10000,0.17,0.019593757380201415,0.5049999999999996,0,0,1,0,
99,B,100,10000.0,10000,0.04,0.009157672870134026,1.0,0,0,1,0,
100,A,100,10000.0,10000,0.12,0.08265938082872915,0.49999999999999956,0,0,1,0,
100,B,100,10000.0,10000,0.06,0.005200239988509492,1.0,0,0,1,0,
101,A,100,10000.0,10000,0.09,0.057545645662031464,0.49499999999999955,0,0,1,0,
101,B,100,10000.0,10000,0.04,0.007865112845876099,1.0,0,0,1,0,
102,A,100,10000.0,10000,0.06,0.043350862697603576,0.48999999999999955,0,0,1,0,
102,B,100,10000.0,10000,0.05,0.0052510135966788996,1.0,0,0,1,0,
103,A,100,10000.0,10000,0.08,0.02833894693065442,0.48499999999999954,0,0,1,0,
103,B,100,10000.0,10000,0.04,0.006471242226726792,1.0,0,0,1,0,
104,A,100,10000.0,10000,0.09,0.03755383592621808,0.47999999999999954,0,0,1,0,
104,B,100,10000.0,10000,0.06,0.005285488042898745,1.0,0,0,1,0,
105,A,100,10000.0,10000,0.07,0.040997636577063234,0.47499999999999953,0,0,1,0,
105,B,100,10000.0,10000,0.05,0.007834941667123396,1.0,0,0,1,0,
106,A,100,10000.0,10000,0.11,0.03127066912233056,0.46999999999999953,0,0,1,0,
106,B,100,10000.0,10000,0.05,0.006564722393393008,1.0,0,0,1,0,
107,A,100,10000.0,10000,0.08,0.049180561214989704,0.4649999999999995,0,0,1,0,
107,B,100,10000.0,10000,0.05,0.006623728438738485,1.0,0,0,1,0,
108,A,100,10000.0,10000,0.16,0.03519883580812755,0.4599999999999995,0,0,1,0,
108,B,100,10000.0,10000,0.06,0.006659421562958623,1.0,0,0,1,0,
109,A,100,10000.0,10000,0.09,0.06878790726022921,0.4549999999999995,0,0,1,0,
109,B,100,10000.0,10000,0.04,0.007988678960938467,1.0,0,0,1,0,
110,A,100,10000.0,10000,0.25,0.037988576111773975,0.4499999999999995,0,0,1,0,
110,B,100,10000.0,10000,0.09,0.00543169348626138,1.0,0,0,1,0,
111,A,100,10000.0,10000,0.15,0.10353561272489864,0.4449999999999995,0,0,1,0,
111,B,100,10000.0,10000,0.04,0.012216769775118652,1.0,0,0,1,0,
112,A,100,9997.788478922326,9998,0.17,0.06074180193999901,0.4399999999999995,0,1,1,4,FirstContact|CollapseShadow
112,B,100,9997.822234852423,9998,0.05,0.005426664430570383,1.0,0,0,1,4,FirstContact
113,A,100,9990.16785251852,9991,0.2,0.06834954288277828,0.4349999999999995,0,0,1,14,
113,B,100,9990.21378042535,9991,0.06,0.006799894262669359,1.0,0,0,1,14,
