tick,side,alive_units,fleet_size_hp,fleet_size_ships_ceil,LCC_ratio,cohesion_v2,cohesion_v1_shadow_enemy,collapse_event_v2,collapse_event_vuln_shadow,deep_pursuit,damage_events_count,event_flags
57,B,100,10000.0,10000,0.75,0.15000792174546085,1.0,0,0,1,0,
58,A,100,10000.0,10000,0.75,0.15030723157421688,1.0,0,0,1,0,
58,B,100,10000.0,10000,0.72,0.14409827155414479,1.0,0,0,1,0,
59,A,100,10000.0,10000,0.59,0.1382668901088262,1.0,0,0,1,0,
59,B,100,10000.0,10000,0.73,0.1347388503768665,1.0,0,0,1,0,
60,A,100,10000.0,10000,0.65,0.10431533942711224,1.0,0,0,1,0,
60,B,100,10000.0,10000,0.69,0.13087089549812903,1.0,0,0,1,0,
61,A,100,10000.0,10000,0.69,0.11246244451973253,1.0,0,0,1,0,
61,B,100,10000.0,10000,0.75,0.12107576686340438,1.0,0,0,1,0,
62,A,100,10000.0,10000,0.75,0.11765261166256635,1.0,0,0,1,0,
62,B,100,10000.0,10000,0.74,0.1286425399600306,1.0,0,0,1,0,
63,A,100,10000.0,10000,0.65,0.13053560367777362,1.0,0,0,1,0,
63,B,100,10000.0,10000,0.78,0.12368728200079093,1.0,0,0,1,0,
64,A,100,10000.0,10000,0.77,0.10962565712903505,1.0,0,0,1,0,
64,B,100,10000.0,10000,0.69,0.1306584898549944,1.0,0,0,1,0,
65,A,100,10000.0,10000,0.69,0.1256218338755879,1.0,0,0,1,0,
65,B,100,10000.0,10000,0.76,0.11561893498752107,1.0,0,0,1,0,
66,A,100,10000.0,10000,0.71,0.11410116458804542,1.0,0,0,1,0,
66,B,100,10000.0,10000,0.82,0.12350832033854264,1.0,0,0,1,0,
67,A,100,10000.0,10000,0.77,0.110909434102896,1.0,0,0,1,0,
67,B,100,10000.0,10000,0.66,0.13199969310809234,1.0,0,0,1,0,
68,A,100,10000.0,10000,0.76,0.1172454075909668,1.0,0,0,1,0,
68,B,100,10000.0,10000,0.7,0.107888133680488,1.0,0,0,1,0,
69,A,100,10000.0,10000,0.79,0.11295224926652425,1.0,0,0,1,0,
69,B,100,10000.0,10000,0.73,0.11143857216930964,1.0,0,0,1,0,
70,A,100,10000.0,10000,0.74,0.11918900962550927,1.0,0,0,1,0,
70,B,100,10000.0,10000,0.69,0.11149649994699451,1.0,0,0,1,0,
71,A,100,10000.0,10000,0.69,0.10841123013708343,1.0,0,0,1,0,
71,B,100,10000.0,10000,0.7,0.10407408143887742,1.0,0,0,1,0,
72,A,100,10000.0,10000,0.76,0.10295346755105872,1.0,0,0,1,0,
72,B,100,10000.0,10000,0.7,0.10418272200971312,1.0,0,0,1,0,
73,A,100,10000.0,10000,0.77,0.10976954561572505,1.0,0,0,1,0,
73,B,100,10000.0,10000,0.75,0.10066246564022563,1.0,0,0,1,0,
74,A,100,10000.0,10000,0.76,0.11005577131518463,1.0,0,0,1,0,
74,B,100,10000.0,10000,0.76,0.10644902226486086,1.0,0,0,1,0,
75,A,100,10000.0,10000,0.73,0.10995259024450488,1.0,0,0,1,0,
75,B,100,10000.0,10000,0.69,0.10344863198649179,1.0,0,0,1,0,
76,A,100,10000.0,10000,0.75,0.10552810315275685,1.0,0,0,1,0,
76,B,100,10000.0,10000,0.69,0.09336541063413994,1.0,0,0,1,0,
77,A,100,10000.0,10000,0.61,0.10562726440914094,1.0,0,0,1,0,
77,B,100,10000.0,10000,0.78,0.08957019907146435,1.0,0,0,1,0,
78,A,100,10000.0,10000,0.7,0.08516309317025272,1.0,0,0,1,0,
78,B,100,10000.0,10000,0.72,0.10266311306083065,1.0,0,0,1,0,
79,A,100,10000.0,10000,0.72,0.09509394965812323,1.0,0,0,1,0,
79,B,100,10000.0,10000,0.75,0.09515349607619406,1.0,0,0,1,0,
80,A,100,10000.0,10000,0.71,0.09629649445002098,1.0,0,0,1,0,
80,B,100,10000.0,10000,0.79,0.09738013666890899,1.0,0,0,1,0,
81,A,100,10000.0,10000,0.74,0.09266606169327085,1.0,0,0,1,0,
81,B,100,10000.0,10000,0.75,0.10220189986269657,1.0,0,0,1,0,
