tick,cohesion_v1_A,cohesion_v1_B,cohesion_v2_A,cohesion_v2_B,enemy_collapse_v1_for_A,enemy_collapse_v1_for_B,enemy_collapse_v2_for_A,enemy_collapse_v2_for_B,alive_A,alive_B,pocket_count_A,pocket_count_B
44,1.0,1.0,0.15335014839612282,0.26110388688954145,0.0,0.0,0.7388961131104586,0.8466498516038772,100,100,4,3
45,1.0,1.0,0.1432012702091081,0.2403410223132052,0.0,0.0,0.7596589776867948,0.8567987297908919,100,100,4,3
46,1.0,1.0,0.14742369662195398,0.23989335017661473,0.0,0.0,0.7601066498233853,0.852576303378046,100,100,4,3
47,1.0,1.0,0.15338531597458005,0.2568711051667867,0.0,0.0,0.7431288948332133,0.84661468402542,100,100,4,3
48,1.0,1.0,0.136719472081005,0.22300576475817446,0.0,0.0,0.7769942352418255,0.863280527918995,100,100,4,3
49,1.0,1.0,0.13440643216944592,0.198002454379403,0.0,0.0,0.801997545620597,0.8655935678305541,100,100,4,3
50,1.0,1.0,0.11962958320353545,0.20490842839835532,0.0,0.0,0.7950915716016447,0.8803704167964645,100,100,4,3
51,1.0,1.0,0.1235286345022023,0.18879937376714895,0.0,0.0,0.811200626232851,0.8764713654977977,100,100,4,3
52,1.0,1.0,0.12195890902022322,0.1721603876581158,0.0,0.0,0.8278396123418842,0.8780410909797768,100,100,4,3
53,1.0,1.0,0.1180910537981289,0.19069467448908584,0.0,0.0,0.8093053255109142,0.8819089462018711,100,100,5,3
54,1.0,1.0,0.1119959550804267,0.16563285395064542,0.0,0.0,0.8343671460493546,0.8880040449195733,100,100,5,3
55,1.0,1.0,0.11588272167388869,0.1760372744721952,0.0,0.0,0.8239627255278048,0.8841172783261113,100,100,5,3
56,1.0,1.0,0.10687802897944987,0.16308164680164883,0.0,0.0,0.8369183531983512,0.8931219710205501,100,100,5,3
57,1.0,1.0,0.10486732816977296,0.16284941890661542,0.0,0.0,0.8371505810933846,0.895132671830227,100,100,5,3
58,1.0,1.0,0.10556238468315182,0.17500851189117483,0.0,0.0,0.8249914881088252,0.8944376153168482,100,100,5,4
59,1.0,1.0,0.10330197561802845,0.13880520371193672,0.0,0.0,0.8611947962880633,0.8966980243819715,100,100,5,4
60,1.0,1.0,0.09942529182360171,0.15817725157498908,0.0,0.0,0.8418227484250109,0.9005747081763983,100,100,5,4
61,1.0,1.0,0.0943360160425395,0.13298803122040126,0.0,0.0,0.8670119687795987,0.9056639839574605,100,100,5,4
62,1.0,1.0,0.09465359595860401,0.13599214594969644,0.0,0.0,0.8640078540503036,0.905346404041396,100,100,5,4
63,1.0,1.0,0.087293120974278,0.13791939783681362,0.0,0.0,0.8620806021631864,0.912706879025722,100,100,5,5
64,1.0,1.0,0.0885784265020455,0.13365365435170318,0.0,0.0,0.8663463456482968,0.9114215734979545,100,100,5,5
65,1.0,1.0,0.0834685076464744,0.13001966776086848,0.0,0.0,0.8699803322391315,0.9165314923535256,100,100,5,5
66,1.0,1.0,0.08162461006267385,0.13252476216859232,0.0,0.0,0.8674752378314077,0.9183753899373261,100,100,5,5
