tick,deep_A,deep_B,ecs_A,ecs_B,coh_A,coh_B,dcoh_A,dcoh_B,pocket_A,pocket_B,reinteg_A,reinteg_B,alive_A,alive_B
137,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,6,1,0,95,100
138,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,6,0,0,95,100
139,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,6,0,0,95,100
140,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,6,0,0,95,100
141,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,6,0,0,95,100
142,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,1,1,94,100
143,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,94,99
144,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,5,1,0,93,99
145,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,93,99
146,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,93,99
147,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,93,98
148,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,92,98
149,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,91,97
150,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,91,96
151,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,90,96
152,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,90,95
153,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,90,95
154,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,90,94
155,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,89,93
156,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,89,93
157,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,89,93
158,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,87,92
159,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,87,91
160,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,5,1,0,86,91
161,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,86,89
162,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,1,0,85,89
163,0,0,0.0,0.0,1.0,1.0,0.0,0.0,2,5,0,0,85,89
164,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,5,1,0,83,89
165,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,5,0,0,82,89
166,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,5,0,0,82,88
167,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,5,0,0,82,87
168,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,5,0,0,82,87
169,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,5,0,0,80,86
170,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,5,0,0,79,84
171,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,5,0,0,79,84
172,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,5,0,0,78,84
173,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,5,0,0,77,83
174,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,5,0,0,77,83
175,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,5,0,0,76,82
176,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,1,76,82
177,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,5,0,0,74,82
178,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,1,74,82
179,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,74,80
180,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,73,78
181,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,72,78
182,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,72,78
183,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,71,78
184,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,70,77
185,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,70,77
186,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,70,75
187,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,69,75
188,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,68,75
189,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,68,74
190,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,68,73
191,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,68,73
192,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,68,71
193,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,67,70
194,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,66,70
195,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,66,70
196,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,65,70
197,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,65,70
198,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,64,69
199,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,64,69
200,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,64,67
201,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,61,67
202,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,61,66
203,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,61,66
204,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,60,65
205,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,59,65
206,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,59,65
207,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,59,64
208,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,59,64
209,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,4,0,0,59,63
210,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,3,0,1,57,63
211,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,3,0,0,57,63
212,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,3,0,0,57,62
213,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,3,0,0,57,62
214,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,3,0,0,57,60
215,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,3,0,0,55,60
216,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,3,0,0,55,60
217,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,3,0,0,55,59
218,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,3,0,0,54,59
219,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,3,0,0,54,59
220,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,3,0,0,54,59
221,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,0,1,53,58
222,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,0,0,52,58
223,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,0,0,51,58
224,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,0,0,51,58
225,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,0,0,51,58
226,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,0,0,50,56
227,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,0,0,50,56
228,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,0,0,49,56
229,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,0,0,49,56
230,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,0,0,49,56
231,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,0,0,48,55
232,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,0,0,48,55
233,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,0,0,47,54
234,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,0,0,47,53
235,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,0,0,47,53
236,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,1,47,53
237,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,0,0,47,52
238,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,1,47,52
239,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,46,52
240,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,46,51
241,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,45,50
242,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,45,50
243,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,43,50
244,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,43,50
245,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,43,50
246,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,42,49
247,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,42,47
248,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,42,47
249,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,41,47
250,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,41,47
251,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,41,47
252,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,40,47
253,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1,39,47
254,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,39,46
255,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,39,46
256,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,39,46
257,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,39,46
258,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,39,46
