tick,unit_id,expected_x,expected_y,actual_x,actual_y,actual_rel_forward,actual_rel_lateral,offset_forward_local,offset_lateral_local,delta_forward,delta_lateral,centroid_x,centroid_y,primary_axis_x,primary_axis_y,secondary_axis_x,secondary_axis_y
13,A22,69.025271,44.951215,69.159503,44.906501,-1.936708,-17.126537,-2.000000,-17.000000,0.063292,-0.126537,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A23,67.610979,46.365350,67.938403,46.490456,-1.680022,-15.143078,-2.000000,-15.000000,0.319978,-0.143078,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A24,66.196687,47.779486,66.319994,47.442303,-2.151252,-13.325607,-2.000000,-13.000000,-0.151252,-0.325607,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A25,64.782396,49.193621,64.542986,48.847456,-2.414068,-11.075465,-2.000000,-11.000000,-0.414068,-0.075465,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A26,63.368104,50.607756,62.928689,50.028152,-2.720561,-9.099089,-2.000000,-9.000000,-0.720561,-0.099089,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A27,61.953812,52.021892,61.455822,52.016244,-2.356107,-6.651842,-2.000000,-7.000000,-0.356107,0.348158,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A28,60.539520,53.436027,61.066169,53.979248,-1.243487,-4.988324,-2.000000,-5.000000,0.756513,0.011676,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A29,59.125228,54.850162,59.048370,54.517454,-2.289618,-3.180898,-2.000000,-3.000000,-0.289618,-0.180898,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A30,57.710937,56.264298,57.126084,56.064949,-2.554499,-0.727377,-2.000000,-1.000000,-0.554499,0.272623,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A31,56.296645,57.678433,56.105392,57.639896,-2.162480,1.107995,-2.000000,1.000000,-0.162480,0.107995,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A32,54.882353,59.092568,54.643498,59.006758,-2.229567,3.108232,-2.000000,3.000000,-0.229567,0.108232,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A33,53.468061,60.506704,53.705783,61.258477,-1.300301,5.363451,-2.000000,5.000000,0.699699,0.363451,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A34,52.053769,61.920839,51.802938,61.393217,-2.550460,6.804310,-2.000000,7.000000,-0.550460,-0.195690,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A35,50.639478,63.334974,50.501041,62.946511,-2.372584,8.823225,-2.000000,9.000000,-0.372584,-0.176775,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A36,49.225186,64.749109,48.739950,64.440909,-2.561037,11.125214,-2.000000,11.000000,-0.561037,0.125214,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A37,47.810894,66.163245,47.675593,66.176268,-2.086457,13.104886,-2.000000,13.000000,-0.086457,0.104886,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A38,46.396602,67.577380,46.527816,67.808502,-1.743786,15.070632,-2.000000,15.000000,0.256214,0.070632,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A39,44.982310,68.991515,44.737775,69.354180,-1.916446,17.429350,-2.000000,17.000000,0.083554,0.429350,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A40,43.568018,70.405651,43.583239,70.989300,-1.576513,19.401916,-2.000000,19.000000,0.423487,0.401916,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A41,71.853698,44.951372,72.398190,45.158800,0.531674,-19.238369,-0.000000,-19.000000,0.531674,-0.238369,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A42,70.439406,46.365507,70.772376,46.344467,0.220554,-17.250335,-0.000000,-17.000000,0.220554,-0.250335,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A43,69.025115,47.779642,69.336899,48.044938,0.408055,-15.032895,-0.000000,-15.000000,0.408055,-0.032895,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A44,67.610823,49.193778,67.509373,48.888774,-0.287414,-13.143918,-0.000000,-13.000000,-0.287414,-0.143918,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A45,66.196531,50.607913,65.994258,50.150932,-0.466173,-11.180080,-0.000000,-11.000000,-0.466173,-0.180080,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A46,64.782239,52.022048,64.869159,51.498198,-0.308980,-9.431863,-0.000000,-9.000000,-0.308980,-0.431863,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A47,63.367947,53.436184,63.042444,53.248004,-0.363223,-6.902877,-0.000000,-7.000000,-0.363223,0.097123,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A48,61.953656,54.850319,62.339098,55.448291,0.695388,-4.849757,-0.000000,-5.000000,0.695388,0.150243,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A49,60.539364,56.264454,60.399377,56.060769,-0.243015,-3.045028,-0.000000,-3.000000,-0.243015,-0.045028,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A50,59.125072,57.678589,58.892322,57.375602,-0.378826,-1.049645,-0.000000,-1.000000,-0.378826,-0.049645,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A51,57.710780,59.092725,57.506409,59.279829,-0.012194,1.276815,-0.000000,1.000000,-0.012194,0.276815,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A52,56.296488,60.506860,55.906059,60.473503,-0.299649,3.252505,-0.000000,3.000000,-0.299649,0.252505,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A53,54.882196,61.920995,55.420880,62.632852,0.884272,5.122403,-0.000000,5.000000,0.884272,0.122403,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A54,53.467905,63.335131,53.447844,63.192052,-0.115362,6.913019,-0.000000,7.000000,-0.115362,-0.086981,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A55,52.053613,64.749266,51.921237,64.354716,-0.372603,8.814635,-0.000000,9.000000,-0.372603,-0.185365,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A56,50.639321,66.163401,50.231049,65.970969,-0.424754,11.152645,-0.000000,11.000000,-0.424754,0.152645,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A57,49.225029,67.577537,49.078178,67.577677,-0.103734,13.103945,-0.000000,13.000000,-0.103734,0.103945,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A58,47.810737,68.991672,47.998436,69.400728,0.421978,15.156500,-0.000000,15.000000,0.421978,0.156500,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A59,46.396446,70.405807,46.222316,70.710871,0.092603,17.338836,-0.000000,17.000000,0.092603,0.338836,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A60,44.982154,71.819943,44.544752,72.753269,0.350725,19.969231,-0.000000,19.000000,0.350725,0.969231,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A61,73.267834,46.365663,74.163307,46.221666,2.531334,-19.735047,2.000000,-19.000000,0.531334,-0.735047,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A62,71.853542,47.779799,72.504940,47.331842,2.143812,-17.777369,2.000000,-17.000000,0.143812,-0.777369,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A63,70.439250,49.193934,70.653647,49.573667,2.420120,-14.883113,2.000000,-15.000000,0.420120,0.116887,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A64,69.024958,50.608069,68.827455,50.282951,1.630445,-13.090217,2.000000,-13.000000,-0.369555,-0.090217,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A65,67.610666,52.022205,67.956892,52.071570,2.279714,-11.209927,2.000000,-11.000000,0.279714,-0.209927,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A66,66.196374,53.436340,66.274336,53.152776,1.854603,-9.255629,2.000000,-9.000000,-0.145397,-0.255629,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A67,64.782083,54.850475,64.314007,54.813791,1.643098,-6.694941,2.000000,-7.000000,-0.356902,0.305059,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A68,63.367791,56.264611,63.847867,56.779257,2.703376,-4.975594,2.000000,-5.000000,0.703376,0.024406,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A69,61.953499,57.678746,61.912629,57.402111,1.775481,-3.166699,2.000000,-3.000000,-0.224519,-0.166699,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A70,60.539207,59.092881,60.819838,59.103042,2.205610,-1.191263,2.000000,-1.000000,0.205610,-0.191263,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A71,59.124915,60.507017,59.015671,60.739723,2.087315,1.241791,2.000000,1.000000,0.087315,0.241791,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A72,57.710624,61.921152,57.508753,62.039057,1.940640,3.226119,2.000000,3.000000,-0.059360,0.226119,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A73,56.296332,63.335287,56.791032,63.886731,2.739738,5.040082,2.000000,5.000000,0.739738,0.040082,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A74,54.882040,64.749422,54.782215,64.688956,1.886659,7.027837,2.000000,7.000000,-0.113341,0.027837,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A75,53.467748,66.163558,53.200673,66.043273,1.726101,9.103811,2.000000,9.000000,-0.273899,0.103811,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A76,52.053456,67.577693,52.009427,67.700104,2.055430,11.117688,2.000000,11.000000,0.055430,0.117688,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A77,50.639165,68.991828,50.009814,69.086512,1.621962,13.511990,2.000000,13.000000,-0.378038,0.511990,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A78,49.224873,70.405964,49.562559,70.999378,2.658398,15.180791,2.000000,15.000000,0.658398,0.180791,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A79,47.810581,71.820099,47.468959,72.173368,2.008263,17.491362,2.000000,17.000000,0.008263,0.491362,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A80,46.396289,73.234234,46.479494,73.898794,2.528772,19.411051,2.000000,19.000000,0.528772,0.411051,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A81,74.681969,47.779955,75.955542,47.412676,4.640782,-20.160294,4.000000,-19.000000,0.640782,-1.160294,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A82,73.267677,49.194091,73.397395,49.066650,4.001600,-17.181839,4.000000,-17.000000,0.001600,-0.181839,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
13,A83,71.853385,50.608226,72.458895,50.814239,4.573818,-15.282518,4.000000,-15.000000,0.573818,-0.282518,58.417926,58.385657,0.707068,0.707146,-0.707146,0.707068
