tick,legality_reference_surface_count,legality_feasible_surface_count,legality_middle_stage_active,legality_handoff_ready,expected_position_rms_error,projection_pairs_count,projection_mean_displacement,projection_max_displacement,corrected_unit_ratio
80,100,100,True,True,1.0112245764865344,3,0.004095957490638014,0.17649996322645034,0.06
81,100,100,True,True,1.0109772894998412,6,0.0013274012587739315,0.039554018301770445,0.1
82,100,100,True,True,1.011937572660776,8,0.006217941083296714,0.15278631264454093,0.13
83,100,100,True,True,1.0109061792427023,7,0.0014776168565329615,0.027558481007655122,0.12
84,100,100,True,True,1.0111916107432755,6,0.0017699211680631155,0.05986448415387563,0.09
85,100,100,True,True,1.0137338506755937,5,0.0010051267254224895,0.03986272269228887,0.09
86,100,100,True,True,1.0134246008529162,2,5.6921978882873427e-05,0.0026289168635691418,0.04
87,100,100,True,True,1.0131883117975653,5,0.00031844350615613194,0.007249863786915056,0.1
88,100,100,True,True,1.0147353867210727,6,0.004979059950385515,0.19260881011291234,0.11
89,100,100,True,True,1.0168211099363322,7,0.006200326283291015,0.18995690012824507,0.13
90,100,100,True,True,1.0212884132894338,7,0.005095601623122825,0.1826122559615787,0.12
91,100,100,True,True,1.020344187229923,3,0.0004967315623921587,0.022455223394539536,0.06
92,100,100,True,True,1.0212282425963821,4,0.003233598144250602,0.10625014599689607,0.08
93,100,100,True,True,1.0261315671751656,3,0.005983500135754814,0.235891954472076,0.06
94,100,100,True,True,1.0294384984863603,11,0.011023451126210324,0.2191137620023624,0.17
95,100,100,True,True,1.0323239871298524,6,0.005734099355421232,0.10000496101344158,0.09
96,100,100,True,True,1.0387396195608702,6,0.007790818424287908,0.1263128620230506,0.1
97,100,100,True,True,1.0381639342453053,6,0.007589290987419531,0.30528256634951756,0.11
98,100,100,True,True,1.0378277940216,3,7.388921726293462e-05,0.002865456811902201,0.06
99,100,100,True,True,1.038948723757511,5,0.003416725970483088,0.10546246100125055,0.1
100,100,100,True,True,1.039299577612947,6,0.005108066827908882,0.12590082845904182,0.09
101,100,100,True,True,1.039274463575864,2,0.000688412439489512,0.03409481093634381,0.04
102,100,100,True,True,1.0415294962469217,4,0.0026037884992770443,0.11826922102139248,0.08
103,100,100,True,True,1.0444217820280566,5,0.00468393983858897,0.15784363158938086,0.09
104,100,100,True,True,1.0456580899842196,8,0.005678764292095217,0.13045215483856837,0.12
105,100,100,True,True,1.0456072815341062,4,0.0008218476802786728,0.022460447949210097,0.07
106,100,100,True,True,1.0470117020439578,7,0.0015745466993783359,0.03762702948052154,0.12
107,100,100,True,True,1.052399756626086,9,0.009496143904498067,0.2114005471253265,0.15
108,100,100,True,True,1.0509748467649989,3,0.00043213334697224327,0.021010746399242275,0.06
109,100,100,True,True,1.0499525701110533,1,0.0006205739940573163,0.031028699702865814,0.02
110,100,100,True,True,1.0491922940161724,2,0.0004458302998870645,0.022245515570916474,0.04
111,100,100,True,True,1.0494249930042652,4,0.00342068516666321,0.1549678605868917,0.06
112,100,100,True,True,1.049372232781026,5,0.0011315318085113283,0.031769243436322064,0.08
113,100,100,True,True,1.0495517667205883,3,0.004825568591564866,0.14789856213884978,0.06
114,100,100,True,True,1.052022730504496,4,0.004679953435788983,0.11341125501934514,0.07
