tick,max_outlier_persistence,persistent_outlier_count,candidate_count,isolated_candidate_count,blocked_candidate_count,in_contact_count,frontline_width,frontline_width_std
264,1,0,20,18,0,59,14.019566803314817,3.281234408414081
265,2,0,20,15,0,59,14.337552550848738,3.3506309939316323
266,3,0,20,13,0,58,13.909120630596496,3.2914462139554983
267,4,0,20,12,0,58,14.01361576325331,3.3287858399917822
268,0,0,20,11,0,57,14.790361616880352,3.533373863914856
269,0,0,20,15,0,57,14.328232715398542,3.332800089686196
270,0,0,20,16,0,57,14.46278627727303,3.431894021744016
271,0,0,20,16,0,56,14.737134775135123,3.5470082763206716
272,0,0,20,11,0,55,14.28527587368309,3.372943955503303
273,1,0,20,15,0,55,14.406747562335763,3.44780738462647
274,2,0,20,12,0,55,14.068269832902175,3.3418306583797595
275,2,0,20,12,0,54,14.591550747543156,3.45682874134737
276,3,0,20,14,0,53,14.027756781056128,3.3557469839259397
277,4,0,20,14,0,53,13.946520061822497,3.4443418896665317
278,5,0,20,15,0,53,13.830575878802502,3.2778040667903703
279,1,0,20,10,0,52,14.625234927879346,3.7161835840153636
280,2,0,20,13,0,51,14.357310203098027,3.6816605057578555
281,3,0,20,12,0,51,14.519456992111113,3.7050450356707247
282,4,0,20,14,0,51,14.584526174828977,3.7003666697190667
283,5,0,20,14,0,50,14.280889662601016,3.6463148044459524
284,6,0,20,16,0,50,14.254800258157491,3.7185746934593675
285,7,0,20,11,0,49,14.534033444967367,3.6119093628625487
286,8,0,20,14,0,49,14.364347650371007,3.6635823775678467
287,9,0,20,11,0,48,14.387690580224838,3.590605454140763
288,10,0,20,14,0,48,14.494117576390046,3.7136750363672073
289,11,0,20,14,0,48,14.538348254848994,3.554988895533914
290,12,0,20,13,0,47,13.978382671835329,3.4675601895851127
291,13,0,20,14,0,46,14.10815587329325,3.5392664114248604
292,14,0,20,15,0,46,14.200590004145514,3.5742601940680596
293,15,0,20,15,0,46,14.153842578657585,3.5952625961676072
294,16,0,20,12,0,46,14.119865570439323,3.5961597895748616
295,17,0,20,11,0,45,13.649453373859206,3.496380632983801
296,18,0,20,8,0,44,12.586945458995045,3.2468961832213776
297,19,0,20,10,0,44,12.559532137789887,3.304970640172446
298,20,1,20,12,0,44,12.679943438061297,3.2424528534150534
299,21,1,20,13,0,44,12.553995833770122,3.166649558155355
300,22,1,20,11,0,43,12.481398337761508,3.2933352407587684
