tick,fleet_id,unit_id,objective_reached_tick,x_pre,y_pre,x_post,y_post,realized_dx,realized_dy,realized_disp_norm,realized_axial,centroid_x_pre,centroid_y_pre,centroid_to_objective_distance_pre,within_stop_radius_pre,axis_to_objective_x,axis_to_objective_y,target_dir_x,target_dir_y,forward_gain_effective,target_contrib_dx,target_contrib_dy,target_contrib_norm,using_fixture_expected_position,expected_pos_x,expected_pos_y,cohesion_vector_x,cohesion_vector_y,cohesion_norm,cohesion_axial_raw,cohesion_axial_gated,cohesion_deadband_triggered,one_sided_axial_restore_gate_active,cohesion_contrib_dx,cohesion_contrib_dy,cohesion_contrib_norm,separation_dir_x,separation_dir_y,separation_norm,separation_contrib_dx,separation_contrib_dy,separation_contrib_norm,boundary_x,boundary_y,boundary_contrib_dx,boundary_contrib_dy,boundary_contrib_norm,step_magnitude_gate_active,step_magnitude_gain,pre_projection_total_dx,pre_projection_total_dy,pre_projection_total_norm,projection_dx,projection_dy,projection_disp_norm,late_clamp_active_for_tick,late_clamp_overshoot,late_clamp_dx,late_clamp_dy,late_clamp_disp_norm,dominant_contributor_label
420,A,A18,425,329.9757689556024,351.19261030280785,330.6830123099663,351.8995804844338,0.7072433543638681,0.706970181625934,1.0000000000000309,1.0000000000000309,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.5657946803351088,0.5655761484579175,0.8000000000000003,True,331.0836165876898,352.30002997932326,1.1078476320873847,1.1074196765154056,1.5664305652837316,0.0,0.0,False,False,0.14144867402874226,0.14139403316798993,0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.707243354363851,0.7069701816259073,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A19,425,329.50646764359635,353.29268758681155,330.21371099401523,353.99965777238396,0.707243350418878,0.706970185572402,0.9999999999999981,0.9999999999999981,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.7072433504188859,0.7069701855723967,1.0,True,329.669676216545,353.714516680161,0.16320857294863345,0.4218290933494586,0.4523016938725254,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433504188859,0.7069701855723967,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A2,425,353.2623739586438,329.2241258158307,353.9696173115741,329.9310959988907,0.7072433529302771,0.7069701830600366,1.0000000000000009,1.0000000000000009,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.5657946803351087,0.5655761484579174,0.8,True,353.70666252600654,329.66824276591893,0.4442885673627188,0.4441169500882438,0.6281975775541487,0.0,0.0,False,False,0.14144867259518284,0.14139403460210329,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433529302915,0.7069701830600206,0.9999999999999999,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A20,425,328.43405986915764,355.60227877603444,329.1413032195765,356.30924896160684,0.707243350418878,0.706970185572402,0.9999999999999981,0.9999999999999981,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.7072433504188859,0.7069701855723967,1.0,True,328.25573584540024,355.1290033809988,-0.17832402375739775,-0.4732753950356141,0.5057559263074883,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433504188859,0.7069701855723967,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A21,425,357.0769330791707,330.20933064470483,357.7841764313933,330.91630082847286,0.7072433522225765,0.7069701837680213,1.0000000000000087,1.0000000000000087,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.9429911338918476,0.9426269140965287,1.333333333333333,True,356.5350895979891,329.6676964362259,-0.5418434811816155,-0.5416342084789108,0.766134435914212,0.0,0.0,False,False,-0.23574778166925975,-0.23565673032853124,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433522225879,0.7069701837679976,0.9999999999999999,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A22,425,354.8896122376293,330.5932731176601,355.5968555880482,331.3002433032325,0.707243350418878,0.706970185572402,0.9999999999999981,0.9999999999999981,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.7072433504188859,0.7069701855723967,1.0,True,355.1211492268443,331.08218313706374,0.23153698921498744,0.4889100194036473,0.5409643097728499,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433504188859,0.7069701855723967,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A23,425,352.9750230413918,331.7647668492146,353.6822663944212,332.47173703217544,0.707243353029412,0.7069701829608448,0.9999999999999879,0.999999999999988,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.5657946803351087,0.5655761484579174,0.8,True,353.70720885569955,332.4966698379015,0.7321858143077407,0.7319029886868975,1.0352671401731546,0.0,0.0,False,False,0.14144867269433054,0.1413940345029173,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433530294392,0.7069701829608346,0.9999999999999999,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A24,425,351.27205179417,332.8903343294993,351.9792951478856,333.59730451177376,0.7072433537155689,0.7069701822744605,1.0000000000000147,1.0000000000000147,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.5657946803351088,0.5655761484579175,0.8000000000000003,True,352.29326848455474,333.91115653873925,1.0212166903847333,1.0208222092399524,1.4439395803141784,0.0,0.0,False,False,0.14144867338043784,0.14139403381654486,0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433537155467,0.7069701822744623,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A25,425,350.2720473790888,334.7185970812308,350.9792907319036,335.42556726440637,0.7072433528147712,0.7069701831755424,0.9999999999999695,0.9999999999999696,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.5657946803351087,0.5655761484579174,0.8,True,350.87932811340994,335.32564323957706,0.6072807343211366,0.6070461583462361,0.858658796403171,0.0,0.0,False,False,0.1414486724796788,0.14139403471765197,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433528147875,0.7069701831755693,0.9999999999999999,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
420,A,A26,425,347.8296988202169,335.1050729566182,348.5369421780585,335.81204313476496,0.7072433578416053,0.7069701781467757,0.9999999999999764,0.9999999999999762,344.51714277295133,344.5192604653296,7.752433761026221,False,0.7072433504188859,0.7069701855723967,0.7072433504188859,0.7069701855723967,1.0,0.5657946803351088,0.5655761484579175,0.8000000000000003,True,349.46538774226514,336.7401299404148,1.6356889220482458,1.6350569837966304,2.3127666527286075,0.0,0.0,False,False,0.1414486775065229,0.14139402968886522,0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.7072433578416318,0.7069701781467828,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,target
