tick,unit_id,fleet_id,chosen_candidate_source,chosen_displacement_norm,realistic_min_displacement_threshold
422,A8,A,prev_window_next_window,6.000000000000048,0.2
422,A9,A,prev_window_next_window,5.999999999999995,0.2
422,A10,A,prev_window_next_window,6.000000000000023,0.2
422,A11,A,prev_window_next_window,6.000000000000048,0.2
422,A12,A,prev_window_next_window,6.00000000000007,0.2
422,A13,A,prev_window_next_window,6.000000000000048,0.2
422,A14,A,prev_window_next_window,5.999999999999959,0.2
422,A15,A,prev_window_next_window,6.000000000000048,0.2
422,A16,A,prev_window_next_window,6.000000000000024,0.2
422,A17,A,prev_window_next_window,6.000000000000048,0.2
422,A18,A,prev_window_next_window,6.000000000000045,0.2
422,A19,A,prev_window_next_window,6.000000000000048,0.2
422,A20,A,prev_window_next_window,6.000000000000048,0.2
422,A21,A,prev_window_next_window,6.000000000000047,0.2
422,A22,A,prev_window_next_window,6.000000000000048,0.2
422,A23,A,prev_window_next_window,5.999999999999993,0.2
422,A24,A,prev_window_next_window,6.000000000000014,0.2
422,A25,A,prev_window_next_window,5.999999999999941,0.2
422,A26,A,prev_window_next_window,6.000000000000034,0.2
422,A27,A,prev_window_next_window,6.000000000000048,0.2
422,A28,A,prev_window_next_window,6.000000000000048,0.2
422,A29,A,prev_window_next_window,6.000000000000014,0.2
422,A30,A,prev_window_next_window,6.000000000000064,0.2
422,A31,A,prev_window_next_window,6.000000000000048,0.2
422,A32,A,prev_window_next_window,5.999999999999953,0.2
422,A33,A,prev_window_next_window,6.000000000000048,0.2
422,A34,A,prev_window_next_window,6.000000000000075,0.2
422,A35,A,prev_window_next_window,6.000000000000048,0.2
422,A36,A,prev_window_next_window,5.999999999999989,0.2
422,A37,A,prev_window_next_window,6.000000000000048,0.2
422,A38,A,prev_window_next_window,5.999999999999974,0.2
422,A39,A,prev_window_next_window,6.000000000000048,0.2
422,A40,A,prev_window_next_window,6.000000000000048,0.2
422,A41,A,prev_window_next_window,5.99999999999995,0.2
422,A42,A,prev_window_next_window,6.000000000000048,0.2
422,A43,A,prev_window_next_window,6.000000000000048,0.2
422,A44,A,prev_window_next_window,5.999999999999972,0.2
422,A45,A,prev_window_next_window,6.000000000000048,0.2
422,A46,A,prev_window_next_window,5.9999999999999964,0.2
422,A47,A,prev_window_next_window,6.000000000000048,0.2
422,A48,A,prev_window_next_window,6.000000000000048,0.2
422,A49,A,prev_window_next_window,6.000000000000008,0.2
422,A50,A,prev_window_next_window,5.999999999999954,0.2
422,A51,A,prev_window_next_window,6.000000000000048,0.2
422,A52,A,prev_window_next_window,5.999999999999987,0.2
422,A53,A,prev_window_next_window,6.000000000000048,0.2
422,A54,A,prev_window_next_window,5.999999999999992,0.2
422,A55,A,prev_window_next_window,6.000000000000048,0.2
422,A56,A,prev_window_next_window,6.0000000000000036,0.2
422,A57,A,prev_window_next_window,6.000000000000048,0.2
422,A58,A,prev_window_next_window,6.000000000000048,0.2
