tick,unit_id,fleet_id,x_pre,y_pre,x_post,y_post,realized_dx,realized_dy,realized_disp_norm,objective_reached_tick,centroid_x_pre,centroid_y_pre,centroid_to_objective_distance_pre,within_stop_radius_pre,axis_to_objective_x,axis_to_objective_y,target_dir_x,target_dir_y,forward_gain_effective,target_contrib_dx,target_contrib_dy,using_fixture_expected_position,expected_pos_x,expected_pos_y,cohesion_vector_x,cohesion_vector_y,cohesion_norm,cohesion_deadband_triggered,cohesion_contrib_dx,cohesion_contrib_dy,separation_dir_x,separation_dir_y,separation_norm,separation_contrib_dx,separation_contrib_dy,boundary_x,boundary_y,boundary_contrib_dx,boundary_contrib_dy,pre_projection_total_dx,pre_projection_total_dy,pre_projection_total_norm,projection_dx,projection_dy,projection_disp_norm,late_clamp_active_for_tick,late_clamp_overshoot,late_clamp_dx,late_clamp_dy,realized_minus_pre_projection_dx,realized_minus_pre_projection_dy,realized_minus_pre_projection_norm,dominant_contributor_label
422,A92,A,347.1523058611408,351.3952271821138,347.8595492115634,352.1021973676825,0.7072433504225728,0.7069701855687072,0.9999999999999991,425,345.9316294761469,345.9332008341153,5.752433761026464,False,0.7072433500089786,0.7069701859824623,0.7072433500089736,0.7069701859824672,1.0,0.9429911333452983,0.9426269146432897,True,346.63969231823535,350.88281162807215,-0.5126135429054557,-0.5124155540416382,0.7248050388855493,False,-0.2357477829227216,-0.23565672907458524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7072433504225768,0.7069701855687045,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,-3.9968028886505635e-15,2.6645352591003757e-15,4.803559250984066e-15,target
422,A93,A,347.1852487229827,354.256038297647,347.89249207445476,354.96300848216583,0.7072433514720728,0.7069701845188092,1.0000000000000044,425,345.9316294761469,345.9332008341153,5.752433761026464,False,0.7072433500089786,0.7069701859824623,0.7072433500089736,0.7069701859824672,1.0,0.9429911333452982,0.9426269146432895,True,345.2257519462704,352.29729832809005,-1.9594967767122853,-1.958739969556973,2.770611825262768,False,-0.23574778187322631,-0.23565673012448599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707243351472072,0.7069701845188036,0.9999999999999999,0.0,0.0,0.0,False,0.0,0.0,0.0,8.881784197001252e-16,5.662137425588298e-15,5.731375151869636e-15,target
422,A94,A,344.7473588310398,354.6469709459499,345.4546021816414,355.3539411313394,0.7072433506016296,0.7069701853895367,0.9999999999999677,425,345.9316294761469,345.9332008341153,5.752433761026464,False,0.7072433500089786,0.7069701859824623,0.7072433500089736,0.7069701859824672,1.0,0.9429911333452983,0.9426269146432897,True,343.81181157430547,353.711785028108,-0.9355472567343099,-0.9351859178418636,1.3228081382093253,False,-0.23574778274364938,-0.23565672925372666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7072433506016489,0.706970185389563,0.9999999999999999,0.0,0.0,0.0,False,0.0,0.0,0.0,-1.9317880628477724e-14,-2.631228568361621e-14,3.2642256200703245e-14,target
422,A95,A,343.21385552045456,355.94194088607895,343.9210988710015,356.64891107152323,0.7072433505469462,0.7069701854442769,0.9999999999999929,425,345.9316294761469,345.9332008341153,5.752433761026464,False,0.7072433500089786,0.7069701859824623,0.7072433500089736,0.7069701859824672,1.0,0.9429911333452982,0.9426269146432895,True,342.3978712023405,355.12627172812597,-0.8159843181140332,-0.815669157952982,1.1537532589959392,False,-0.23574778279836264,-0.2356567291989921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7072433505469355,0.7069701854442975,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1.0658141036401503e-14,-2.0539125955565396e-14,2.3139828551015798e-14,target
422,A96,A,342.38314578806126,357.939432966568,343.09038913893534,358.64640315168504,0.7072433508740801,0.7069701851170294,1.000000000000002,425,345.9316294761469,345.9332008341153,5.752433761026464,False,0.7072433500089786,0.7069701859824623,0.7072433500089736,0.7069701859824672,1.0,0.9429911333452983,0.9426269146432897,True,340.98393083037564,356.54075842814393,-1.399214957685615,-1.3986745384240749,1.9784066726148484,False,-0.23574778247121475,-0.2356567295262666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7072433508740836,0.7069701851170231,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,-3.552713678800501e-15,6.217248937900877e-15,7.160723346098895e-15,target
422,A97,A,340.195260614302,358.58027378359276,340.90250396476915,359.2872439691169,0.707243350467138,0.7069701855241419,1.0000000000000113,425,345.9316294761469,345.9332008341153,5.752433761026464,False,0.7072433500089786,0.7069701859824623,0.7072433500089736,0.7069701859824672,1.0,0.9429911333452982,0.9426269146432895,True,339.5699904584107,357.9552451281619,-0.6252701558913145,-0.6250286554308673,0.8840947844875382,False,-0.23574778287818604,-0.23565672911913793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7072433504671122,0.7069701855241517,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,2.5868196473766147e-14,-9.769962616701378e-15,2.7651686356117773e-14,target
422,A98,A,339.5705869646354,360.78372236945336,340.2778303155208,361.4906925545591,0.7072433508853919,0.7069701851057175,1.000000000000005,425,345.9316294761469,345.9332008341153,5.752433761026464,False,0.7072433500089786,0.7069701859824623,0.7072433500089736,0.7069701859824672,1.0,0.9429911333452983,0.9426269146432897,True,338.15605008644576,359.3697318281798,-1.414536878189665,-1.413990541273563,2.0000709563837145,False,-0.23574778245988817,-0.23565672953759753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7072433508854101,0.7069701851056922,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,-1.8207657603852567e-14,2.531308496145357e-14,3.118126145114878e-14,target
422,A99,A,337.6753369971489,361.71708536801447,338.38258034774947,362.42405555340514,0.7072433506005495,0.7069701853906736,1.0000000000000075,425,345.9316294761469,345.9332008341153,5.752433761026464,False,0.7072433500089786,0.7069701859824623,0.7072433500089736,0.7069701859824672,1.0,0.9429911333452982,0.9426269146432895,True,336.7421097144808,360.78421852819775,-0.9332272826680992,-0.932866839816711,1.3195278329560547,False,-0.23574778274474364,-0.23565672925263184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7072433506005545,0.7069701853906577,0.9999999999999999,0.0,0.0,0.0,False,0.0,0.0,0.0,-4.9960036108132044e-15,1.587618925213974e-14,1.6643720655220574e-14,target
423,A1,A,357.70303977674973,330.56234424470387,358.41028312651946,331.2693144309257,0.7072433497697261,0.706970186221838,1.0000000000000218,425,346.6388728272931,346.6401710189605,4.752433761026227,False,0.7072433497697237,0.7069701862218097,0.7072433497697237,0.7069701862218097,1.0,0.7072433497697237,0.7069701862218097,True,357.2423329664286,330.3746666284485,-0.4607068103211418,-0.18767761625537105,0.49746723783539637,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7072433497697237,0.7069701862218097,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,2.4424906541753444e-15,2.8310687127941492e-14,2.841585413553367e-14,target
423,A10,A,343.3899507987264,341.97856342202846,344.09719415199146,342.6855336047536,0.7072433532650848,0.7069701827251151,1.000000000000012,425,346.6388728272931,346.6401710189605,4.752433761026227,False,0.7072433497697237,0.7069701862218097,0.7072433497697237,0.7069701862218097,1.0,0.565794679815779,0.5655761489774478,True,344.51686961443596,343.1050469243035,1.1269188157095869,1.1264835022750503,1.5933960895201673,False,0.14144867344929224,0.1413940337476638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7072433532650713,0.7069701827251116,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1.354472090042691e-14,3.552713678800501e-15,1.4002901083489727e-14,target
