tick,unit_id,fleet_id,x,y,effective_heading_x,effective_heading_y,realistic_heading_x,realistic_heading_y,angle_delta_deg_effective_vs_realistic
421,A17,A,333.5935378366337,352.2740722942921,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A18,A,331.3902556639389,352.6065506664511,0.7072433539726117,0.7069701820172978,0.707243353786888,0.7069701822030932,0.0
421,A19,A,330.92095434423777,354.70662795815275,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A2,A,354.6768606642199,330.6380661822354,0.7072433526457732,0.706970183344649,0.707243352512378,0.7069701834780957,0.0
421,A20,A,329.84854656979905,357.01621914737564,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A21,A,358.491419783317,331.6232710125399,0.7072433519236886,0.7069701840670125,0.7072433517585098,0.7069701842322551,0.0
421,A22,A,356.3040989382707,332.0072134890013,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A23,A,354.3895097471212,333.1787072154658,0.7072433527000197,0.7069701832903814,0.7072433525303086,0.7069701834601582,0.0
421,A24,A,352.68653850122547,334.30427469442407,0.7072433533398678,0.7069701826502863,0.7072433531511982,0.7069701828390286,0.0
421,A25,A,351.6865340844035,336.13253744789694,0.7072433524999128,0.7069701834905658,0.7072433523367042,0.7069701836538375,0.0
421,A26,A,349.24418553524976,336.51901331356237,0.7072433571912601,0.7069701787974058,0.7072433568964749,0.7069701790923046,0.0
421,A27,A,349.0904661853299,339.15368446218343,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A28,A,348.34576177784743,341.15312347492636,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A29,A,346.20279408099066,341.9624392846512,0.7072433522728102,0.7069701837177559,0.7072433521180177,0.7069701838726085,0.0
421,A3,A,351.9688876013192,330.7590201860716,0.7072433590880143,0.7069701768999186,0.7072433587598022,0.7069701772282575,0.0
421,A30,A,344.0971941481093,342.68553360869265,0.707243353671627,0.7069701823183986,0.7072433534734998,0.7069701825166026,0.0
421,A31,A,343.61963195514784,345.17398840813263,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A32,A,341.60432501437515,345.8493892003449,0.7072433528089676,0.7069701831813916,0.7072433526359175,0.7069701833545085,0.0
421,A33,A,341.28947673618586,347.9540567105599,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A34,A,338.6957251338287,348.59767464523213,0.7072433529730143,0.7069701830172813,0.7072433527950104,0.7069701831953541,0.0
421,A35,A,337.79113017181726,350.70589247017466,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A36,A,335.80938420543947,351.368210444128,0.7072433531059737,0.7069701828842704,0.707243352924091,0.7069701830662234,1.2074182697257333e-06
421,A37,A,335.1425823851606,353.6351409787553,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A38,A,333.23686801156805,354.45244974846446,0.7072433526053085,0.7069701833851293,0.7072433524385905,0.7069701835519117,0.0
421,A39,A,332.4554844100269,356.3736580259464,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A4,A,351.25444102769995,332.87273035777565,0.7072433537527271,0.7069701822372675,0.7072433535739463,0.7069701824161171,0.0
421,A40,A,331.44942959146067,358.37907616003844,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A41,A,359.947061795165,333.07835079926247,0.7072433515654737,0.7069701844253657,0.7072433513733896,0.7069701846175243,0.0
421,A42,A,357.77979576326777,333.50720743905873,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A43,A,356.68707524923127,335.60582842674035,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A44,A,354.4785483192775,336.0955923449491,0.7072433521992123,0.7069701837913824,0.7072433520169885,0.7069701839736766,0.0
421,A45,A,353.52945541536405,337.8792407369152,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A46,A,351.4481614843306,338.7221378788378,0.7072433525610928,0.706970183429362,0.7072433523709553,0.7069701836195732,0.0
421,A47,A,350.47288542721765,340.5997153536225,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A48,A,349.7561464773904,342.57927444853857,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A49,A,347.6191159675206,343.37821413189477,0.7072433519078893,0.7069701840828182,0.7072433517309697,0.7069701842598057,0.0
421,A5,A,349.7001870050508,334.1469576157151,0.7072433542365983,0.706970181753209,0.7072433540427288,0.7069701819471537,0.0
421,A50,A,345.81964971877557,344.40732387490135,0.7072433525061642,0.7069701834843117,0.7072433523172911,0.7069701836732578,1.2074182697257333e-06
421,A51,A,345.5989102363761,346.67386051307517,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A52,A,343.36739623733064,347.6117794411656,0.7072433519202218,0.7069701840704806,0.7072433517430846,0.7069701842476863,0.0
421,A53,A,342.5932607906425,349.5402189861212,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A54,A,340.1780562682872,350.07943323938906,0.7072433524784868,0.7069701835119998,0.7072433522902389,0.7069701837003206,8.537736462515939e-07
421,A55,A,339.5720198481805,352.74871496165304,0.7072433502225517,0.7069701857688069,0.7072433500855618,0.7069701859058496,0.0
421,A56,A,337.4182842143885,352.9764890200442,0.7072433523529725,0.7069701836375629,0.7072433521675329,0.706970183823074,0.0
