run_id,movement_model,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,runtime_decision_source_effective,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,precontact_ar_p90_A,precontact_ar_max_A,precontact_wedge_p10_A,precontact_wedge_min_A,precontact_split_p90_A,overall_ar_p90_A,overall_wedge_p50_A,determinism_digest
precontact_FR8_MB2_PD5_vs_bittenfeld_v3b2,v3b2,8,2,5,bittenfeld,5,v2,B,457,0,19,105,113,363,158,2.3054851412525847,2.347275200553695,0.5744856633006442,0.5239331934024672,1.7452245467563854,2.194447712847982,1.0,3eaa78bf55d605e30a8d7c7b222e54356e0f6507be0df0f3612b08cf2c09ccbb
precontact_FR8_MB2_PD5_vs_bittenfeld_v3b3,v3b3,8,2,5,bittenfeld,5,v2,A,397,27,0,105,112,326,169,2.2996446744795334,2.3515662789478204,0.5726538940356881,0.542820263748284,1.738848482621054,2.238317557587215,0.9301413327375379,e74f02079c1f385ea1f0025066fceb0aa6bb8e8c8cbd98864e7ee1cac67217c1
precontact_FR8_MB2_PD5_vs_bittenfeld_v3b4,v3b4,8,2,5,bittenfeld,5,v2,A,409,22,0,105,113,351,217,2.110311268957039,2.1862687152412863,0.609778704171028,0.5775019051388184,1.7365451062773163,2.046329702973541,0.9454558667581109,7914ccdd02065e1dd3cc4d9d63fab45a9fd4b47d855e3a0235d20d518ccd0205
precontact_FR8_MB2_PD5_vs_bittenfeld_v3b5,v3b5,8,2,5,bittenfeld,5,v2,A,418,22,0,106,114,280,165,2.0174476593608626,2.1862687152412863,0.6392810411713592,0.5821073498164753,1.7354961700806295,1.9678106915309348,0.9253825500767399,ad25e2e146db0fcfc12c8e0f373f6062931a0299e1d6cb9c6af8b764ab21f6bb
precontact_FR8_MB2_PD5_vs_muller_v3a,v3a,8,2,5,muller,6,v2,B,474,0,11,105,113,124,217,2.181102757214745,2.2763811858091416,0.6495125109488276,0.6282193061257215,1.738349640572736,2.2953395762604334,0.9620838166426022,be66c18bb3ff450b7ae9e968898ce9ccd0bf62db6b29286a829dbacef51c805c
precontact_FR8_MB2_PD5_vs_muller_v3b1,v3b1,8,2,5,muller,6,v2,A,394,30,0,102,112,186,187,2.453037200404592,2.576118195581528,0.5817017257809263,0.56716165028337,1.7536415698331156,2.2251933515887212,0.82144780339679,05de416174f4ff85156649cc444437c863bb29faf12d9c50a93259a85f61302c
precontact_FR8_MB2_PD5_vs_muller_v3b2,v3b2,8,2,5,muller,6,v2,B,373,0,29,103,115,219,162,2.3205312986419213,2.3631430476516266,0.5689147274343012,0.5347462027001896,1.7387588018270481,2.32102270444669,0.9132048127275353,28b1abd1d66804d391704899fa283c840583030e25f573f2d7cc7eaa7cf42035
precontact_FR8_MB2_PD5_vs_muller_v3b3,v3b3,8,2,5,muller,6,v2,A,435,17,0,103,115,193,162,2.2896115618831603,2.353724479933655,0.5921763434552555,0.5621659560834454,1.7463072590658044,2.1445577575604036,0.9517396162506686,e727784ef65729e98dc3a13f9a3a8e992c07c2e08a60ba6519064537f7fa01e1
precontact_FR8_MB2_PD5_vs_muller_v3b4,v3b4,8,2,5,muller,6,v2,B,471,0,10,105,117,338,174,2.1010168355574965,2.1862687152412863,0.5800469125741542,0.5198665842646053,1.736451102169943,2.196262841888422,0.963194699647853,8168ab1caabfa951ba40106b13d71220d219b67e253197e39745758cd7097420
precontact_FR8_MB2_PD5_vs_muller_v3b5,v3b5,8,2,5,muller,6,v2,A,414,24,0,107,118,173,170,2.018374394280243,2.1862687152412863,0.6239980546191009,0.5913827711632671,1.735602087121418,1.9912794456026042,0.9704399281284375,93a4226bb1b2bd6033f900e5256e78f0786bab109f3742e3460f20c66822ecfb
