run_id,movement_model,movement_v3a_experiment,cell_FR,cell_MB,cell_PD,opponent_archetype_name,opponent_archetype_index,runtime_decision_source_effective,winner,end_tick,remaining_units_A,remaining_units_B,first_contact_tick,first_kill_tick,tactical_cut_tick_T,tactical_pocket_tick_T,precontact_ar_p90_A,precontact_ar_max_A,precontact_wedge_p10_A,precontact_wedge_min_A,precontact_split_p90_A,precontact_outlier_total_p90,precontact_persistent_outlier_p90,precontact_max_persistence_max,overall_ar_p90_A,overall_wedge_p50_A,determinism_digest
precontact_FR8_MB5_PD5_vs_reinhard_exp_a_reduced_centroid,v3a,exp_a_reduced_centroid,8,5,5,reinhard,1,v2,B,470,0,15,107,115,126,221,1.9756872667413117,2.194327974061379,0.7676759850295116,0.7388256165306857,1.7403747685627178,0.0,0.0,7.0,1.9261105145715038,0.8821113415364379,6a51331b2e16526cd7f01e0cd72c42b9361782994158d6b8925753637b28a2f4
precontact_FR8_MB5_PD5_vs_reinhard_exp_b_distance_capped,v3a,exp_b_distance_capped,8,5,5,reinhard,1,v2,A,523,7,0,106,114,125,195,2.164039242289266,2.235609192927716,0.6400080014777787,0.6260182009815315,1.736113013285425,4.0,1.0,40.0,1.9916217747937215,0.9346421551708177,ab42d29dc2a71985f459a489f1b8ff4baaa39a63b96fc8628e828c8d7b242fba
precontact_FR8_MB5_PD5_vs_reinhard_exp_c_frame_translation,v3a,exp_c_frame_translation,8,5,5,reinhard,1,v2,B,427,0,23,106,114,125,161,2.087385612409292,2.1874150586872716,0.6499840035037358,0.6298441919489328,1.7480930998073354,1.0,1.0,30.0,2.165272116149358,0.8602284583227633,2a483518d156fd9f68803ec14d6a14140e1b2ab29c06c8bb500d75f031159bca
precontact_FR8_MB5_PD5_vs_kircheis_base,v3a,base,8,5,5,kircheis,2,v2,A,583,3,0,104,114,292,204,2.2327962052063572,2.3352653219514767,0.623515308655681,0.5820240875183447,1.7268205384128472,7.0,5.1000000000000085,50.0,2.3003691820365244,0.9096977136394039,4c76ed0286fe4c609269ef10c45dcca137f9bdfbfe9cceaba094604833a623aa
precontact_FR8_MB5_PD5_vs_kircheis_exp_a_reduced_centroid,v3a,exp_a_reduced_centroid,8,5,5,kircheis,2,v2,B,396,0,22,106,114,125,162,1.980008990473049,2.194327974061379,0.7218353353740598,0.6926759663623302,1.7410390656166181,2.0,0.0,16.0,1.9829659901395174,1.0222792756119974,1684cb87b926de3410c0768fd981821ef7886a19d22dde9bffae3c7d178069bc
precontact_FR8_MB5_PD5_vs_kircheis_exp_b_distance_capped,v3a,exp_b_distance_capped,8,5,5,kircheis,2,v2,B,428,0,19,105,114,296,242,2.106581979883326,2.183843234534183,0.6247061382915848,0.6018888813438776,1.73728663566113,7.0,6.0,48.0,2.1139151595837045,1.0245769862284593,468c36607f044777ee85502c963c4e4245eb498a460a965d257d94873ff2cbc5
precontact_FR8_MB5_PD5_vs_kircheis_exp_c_frame_translation,v3a,exp_c_frame_translation,8,5,5,kircheis,2,v2,B,459,0,13,105,114,124,162,2.1144048487430727,2.1911946048473703,0.6714950355668917,0.6181217534041731,1.7263925930856876,5.0,3.0,37.0,2.0919085578121863,0.9542359196072143,655b5dbbe48fc63b9fa236f3c32faa7f2e505311648b15e6c9cce8de4899bcd9
precontact_FR8_MB5_PD5_vs_reuenthal_base,v3a,base,8,5,5,reuenthal,3,v2,A,456,12,0,109,117,138,137,1.998632175380719,2.1840683277974993,0.6623065810530685,0.6401557523346162,1.7292838771207224,1.0,0.0,24.0,2.033909556606372,0.880604998115436,2772e1d263ab267afb15aabb10c3f9f7d8139ab9e24e2ae749b9f6a6ab2a427a
precontact_FR8_MB5_PD5_vs_reuenthal_exp_a_reduced_centroid,v3a,exp_a_reduced_centroid,8,5,5,reuenthal,3,v2,B,491,0,14,110,118,129,135,1.9884699933307777,2.194327974061379,0.7572121888877688,0.7260187048883409,1.7254702672200568,0.0,0.0,0.0,2.011959749184093,0.9772847114292632,0900d165a584ce260bffaa10d13f7c6d87f3e05a1d975154396834901715c98d
precontact_FR8_MB5_PD5_vs_reuenthal_exp_b_distance_capped,v3a,exp_b_distance_capped,8,5,5,reuenthal,3,v2,B,428,0,19,110,118,135,138,2.051206285804383,2.183843234534183,0.6942997105536212,0.6773647503522827,1.7405809624018866,2.0,0.0,14.0,2.1648623664948836,0.8690732541345167,4e1b2c57d2c6ddf4478a89fcd452bd78a8948a2c1c02b6dd4732d389f6818577
