cell_FR,cell_MB,cell_PD,opponent_archetype_name,candidate_model,delta_precontact_ar_p90_A,delta_precontact_ar_max_A,delta_precontact_wedge_p10_A,delta_precontact_split_p90_A,delta_overall_ar_p90_A,delta_end_tick,delta_cut_tick_T
8,5,5,muller,v3b2,0.06209013730333757,0.0306967884404723,0.009109542975702323,-0.007537077318466201,0.15684066337993752,41.0,158.0
8,5,5,muller,v3b3,0.006802088718294463,-0.023073297890404465,-0.03029498190981772,-0.014963232316166142,0.09307067976174599,83.0,228.0
8,5,5,muller,v3b4,-0.09888977717408487,-0.09577217867072241,0.013085676788057943,-0.01672925467874875,0.10239149745354492,1.0,62.0
8,5,5,muller,v3b5,-0.1931323994938654,-0.09577217867072241,0.011908655589273343,-0.019018519193102712,-0.08099954764296191,-29.0,214.0
8,5,5,reinhard,v3b1,0.1463467173077304,0.09925678873340926,0.04167682677699325,4.7790419105187e-05,0.12983898223395496,17.0,293.0
8,5,5,reinhard,v3b2,-0.033170348780807934,-0.05139188766344516,-0.01924921243480704,-0.006196592564081893,0.02969620314927157,-75.0,60.0
8,5,5,reinhard,v3b3,-0.1145434178908653,-0.11349778740870464,0.044426558058506815,-0.011838542262888163,-0.11971687756113036,-57.0,122.0
8,5,5,reinhard,v3b4,-0.15979270224891318,-0.17194121221409864,0.00172603769089541,-0.006982722310290956,-0.05515565168260883,-34.0,201.0
8,5,5,reinhard,v3b5,-0.24048486303413652,-0.17194121221409864,0.013393208161861403,-0.008754362644566749,-0.16699733594054766,-83.0,-1.0
8,5,5,reuenthal,v3b1,0.05456757206403395,0.04962309942399301,0.06837177739748435,-0.01362538402734259,0.050121341132886243,80.0,-3.0
8,5,5,reuenthal,v3b2,0.0746851335396963,0.04679752024534922,0.03316049370971241,-0.0013107619448420316,0.020841258190348988,-60.0,-4.0
8,5,5,reuenthal,v3b3,0.02074452173092034,-0.01578594741693573,0.038382843938859934,0.003964135150418713,-0.03701961688413968,-58.0,-5.0
8,5,5,reuenthal,v3b4,0.0023104190259011226,0.0,-0.0042314507396957746,-0.008998354108310291,-0.032920538528058874,-29.0,-3.0
8,5,5,reuenthal,v3b5,-0.038091169309804496,0.0,-0.0016918219349680852,-0.007528309778371822,0.10059162349867723,-39.0,-5.0
8,8,5,bittenfeld,v3b1,0.21002879741914882,0.20105965049082464,-0.05559245155478221,0.013563627520343013,0.09886276881373357,4.0,156.0
8,8,5,bittenfeld,v3b2,-0.008232810640046662,-0.007651034041912919,-0.0457541220979224,-0.007876217736897173,-0.044257182418551366,104.0,212.0
8,8,5,bittenfeld,v3b3,-0.003798765871072529,-0.020644123777956658,-0.012655538434465208,0.0007547194963151149,0.05641814637044762,-59.0,194.0
8,8,5,bittenfeld,v3b4,-0.15533559033777378,-0.08346427444779048,0.0021485832937516713,-0.011292856069815338,-0.04723135664489675,0.0,-2.0
8,8,5,bittenfeld,v3b5,-0.21377943519763898,-0.08346427444779048,0.03139548335338549,-0.011442632986053303,-0.11898558274740267,-48.0,242.0
8,8,5,kircheis,v3b1,0.17223336457054872,0.20157166788830283,0.03743317268222379,-0.010186647371015933,-0.018089118361213963,-41.0,-51.0
8,8,5,kircheis,v3b2,0.01964100817544301,0.011981787356295293,0.01759013262732312,-0.019347481365500574,-0.11039378614992268,-37.0,-23.0
8,8,5,kircheis,v3b3,0.01741729534607872,0.0029354004567490044,0.04054874248151552,-0.034383855628677074,-0.152419798567065,-6.0,44.0
8,8,5,kircheis,v3b4,-0.12810273458324906,-0.06439599974481114,0.049414424211103536,-0.026435731410719754,-0.1346483396100866,-70.0,-26.0
8,8,5,kircheis,v3b5,-0.1919657211370649,-0.06439599974481114,0.07599625537943921,-0.02697911771857875,-0.23576448768850122,-37.0,-146.0
8,8,5,mittermeyer,v3b1,0.06499132377725525,0.1275247776879831,-0.02202521608525243,-0.004194371894209237,-0.004253184668588261,-30.0,188.0
8,8,5,mittermeyer,v3b2,-0.0064054278597374115,0.03840029178364279,-0.046605510432995656,-0.0012938698717659403,-0.05244801846036706,-42.0,-1.0
8,8,5,mittermeyer,v3b3,-0.02319405686731857,-0.009959143216243138,-0.04298290054974463,0.0036487698989700057,-0.03241757692658265,-48.0,0.0
8,8,5,mittermeyer,v3b4,-0.11094754562706788,-0.026522305591801576,0.015954843820838893,-0.0030154234527575152,-0.06857100370476243,-32.0,130.0
8,8,5,mittermeyer,v3b5,-0.18110122819854313,-0.026522305591801576,0.029194888814781716,-0.0038920004384797036,-0.09411611319804969,-43.0,-1.0
8,8,5,muller,v3b1,0.14797898277294674,0.21773218112844894,-0.025112456591194987,-0.00812069551650696,0.0999786248471577,-54.0,-215.0
8,8,5,muller,v3b2,0.043302998902958745,0.07485627135755157,-0.016752193976310892,-0.014088007931005286,0.005287872166574559,34.0,-74.0
8,8,5,muller,v3b3,0.059056607563601204,0.06407674934839802,0.010288705357422767,-0.023837999376164376,-0.02293248943270987,14.0,29.0
8,8,5,muller,v3b4,-0.10224585583389567,0.0,0.0069405264686647206,-0.016076598357322114,0.03552746692085984,164.0,23.0
8,8,5,muller,v3b5,-0.15273252900877687,0.0,0.009463823974614538,-0.008840419997180327,-0.2378746545541066,49.0,-154.0
8,8,5,reinhard,v3b1,0.08557884994404574,0.030470129012539537,-0.030727990656524984,0.004396319058355802,-0.006224466008373231,18.0,89.0
8,8,5,reinhard,v3b2,-0.01616832122924361,-0.08782991948741836,0.059794752029397435,-0.019682355876243562,0.02539555088135259,-32.0,163.0
8,8,5,reinhard,v3b3,-0.037403833004829856,-0.09880386040639921,0.020886661224856384,-0.016103234689058832,-0.020888186592393332,14.0,156.0
8,8,5,reinhard,v3b4,-0.15481568868485818,-0.15995510484225806,0.028528868289637632,-0.020763874883976463,-0.037300210364533015,112.0,157.0
8,8,5,reinhard,v3b5,-0.2146920464930746,-0.15995510484225806,0.07577076461712084,-0.020818149488456283,-0.14858178183950832,5.0,-52.0
8,8,5,reuenthal,v3b1,0.03120244056971977,0.043554322714742355,-0.00023081585713569108,0.008399184024040718,-0.3046561881835306,-25.0,1.0
8,8,5,reuenthal,v3b2,-0.04101111085522158,-0.004316795758094738,0.013170419998012384,-0.0034079327952791783,-0.37634653668317686,-174.0,2.0
8,8,5,reuenthal,v3b3,-0.061529634898109364,-0.05280230543984343,-0.02549422409751123,-0.002858345849361399,-0.38915722013373966,-114.0,1.0
8,8,5,reuenthal,v3b4,-0.04756354246853167,0.0,0.03410952826377078,-0.0023596982255171817,-0.2638119435649515,-88.0,2.0
8,8,5,reuenthal,v3b5,-0.10519479422324274,0.0,0.04858239804682929,-0.0023891443892920528,-0.36899249373569765,-18.0,1.0
