case_id,fr,mb,pd,tick,side,N_alive,LCC,C_conn,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
FR2_MB2_PD5,2.0,2.0,5.0,11,B,100,44,0.44,178.07620479395518,178.78975371252355,9.391703250650323,20.0,0.46958516253251614,1.0,0.44,0.05311582990171504,0.05086517230919119,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,12,A,100,50,0.5,22.57895445109375,21.91881612224066,9.45699134171131,20.0,0.4728495670855655,1.0,0.5,0.05915607018756952,0.01717000453929063,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,12,B,100,14,0.14,177.39608626673262,178.09633159225942,9.406099255783811,20.0,0.47030496278919054,1.0,0.14,0.01717000453929063,0.05915607018756952,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,13,A,100,45,0.45,23.254462256259266,22.60872915651352,9.473072901137545,20.0,0.47365364505687724,1.0,0.45,0.05281511430079533,0.023353458570841368,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,13,B,100,19,0.19,176.702546034178,177.40805304880598,9.398005894908332,20.0,0.4699002947454166,1.0,0.19,0.023353458570841368,0.05281511430079533,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,14,A,100,30,0.3,23.94416138090188,23.293507386726063,9.480161932578786,20.0,0.47400809662893933,1.0,0.3,0.035289236802523494,0.012083072661033256,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,14,B,100,10,0.1,176.0160148261176,176.71581441336122,9.402630416446657,20.0,0.47013152082233284,1.0,0.1,0.012083072661033256,0.035289236802523494,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,15,A,100,46,0.46,24.638548911666764,23.980027639672418,9.475613611860549,20.0,0.47378068059302747,1.0,0.46,0.053379132943624064,0.030760410273930394,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,15,B,100,25,0.25,175.32807190065145,176.02309511146188,9.395258712203704,20.0,0.46976293561018523,1.0,0.25,0.030760410273930394,0.053379132943624064,0.5555555555555556,1
FR2_MB2_PD5,2.0,2.0,5.0,16,A,100,23,0.23,25.32537792528252,24.671484254844913,9.471614570324958,20.0,0.4735807285162479,1.0,0.23,0.0270214094047595,0.03551491335162471,0.5555555555555556,1
