case_id,fr,mb,pd,tick,side,N_alive,LCC,C_conn,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
FR8_MB8_PD5,8.0,8.0,5.0,105,A,100,70,0.7,80.83378146268684,81.21472865382565,9.230343923636903,20.0,0.46151719618184517,1.0,0.7,0.07768377877003041,0.09354413566068653,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,105,B,100,77,0.77,119.10786342777737,119.0795935640415,9.335009648661005,20.0,0.4667504824330503,1.0,0.77,0.09354413566068653,0.07768377877003041,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,106,A,100,79,0.79,81.47921781498445,81.8856963582739,9.229235794217178,20.0,0.46146178971085894,1.0,0.79,0.08702647228164695,0.08365073398402934,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,106,B,100,68,0.68,118.4619241296599,118.39325250197005,9.353049185351722,20.0,0.4676524592675861,1.0,0.68,0.08365073398402934,0.08702647228164695,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,107,A,100,78,0.78,82.09929311147285,82.58905738920662,9.255767752918898,20.0,0.4627883876459449,1.0,0.78,0.08688193349980289,0.08356597470205929,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,107,B,100,71,0.71,117.85187578701047,117.67765029152172,9.353136212233316,20.0,0.4676568106116658,1.0,0.71,0.08356597470205929,0.08688193349980289,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,108,A,100,69,0.69,82.75945457949727,83.25321024620929,9.275954030392768,20.0,0.4637977015196384,1.0,0.69,0.077386075453587,0.09515762538688288,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,108,B,100,82,0.82,117.23455090027478,116.97136647258431,9.343654267585084,20.0,0.4671827133792542,1.0,0.82,0.09515762538688288,0.077386075453587,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,109,A,100,73,0.73,83.36089290525766,83.96441484541447,9.271950770352252,20.0,0.4635975385176126,1.0,0.73,0.0830861250044147,0.07870412483110312,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,109,B,100,69,0.69,116.63310091277872,116.27316001732777,9.310784447539799,20.0,0.46553922237698997,1.0,0.69,0.07870412483110312,0.0830861250044147,0.5555555555555556,1
