case_id,fr,mb,pd,tick,side,N_alive,LCC,C_conn,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
reference_alpha_AB,4.0,5.0,5.0,17,B,100,12,0.12,174.24879223547606,174.55725915902664,9.755436951662231,20.0,0.48777184758311154,1.0,0.12,0.013172608959236998,0.06906515548288084,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,18,A,100,41,0.41,26.502045237517645,25.877946392455193,8.97273186169396,20.0,0.448636593084698,1.0,0.41,0.06087557807205257,0.00894086754167489,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,18,B,100,8,0.08,173.58446457753655,173.84817792854363,9.764258001829619,20.0,0.48821290009148094,1.0,0.08,0.00894086754167489,0.06087557807205257,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,19,A,100,41,0.41,27.206921181467333,26.54367958709373,8.945111858954467,20.0,0.4472555929477234,1.0,0.41,0.0628795481366845,0.008927284543312375,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,19,B,100,8,0.08,172.90594146755654,173.14873352226445,9.77957969161179,20.0,0.4889789845805895,1.0,0.08,0.008927284543312375,0.0628795481366845,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,20,A,100,34,0.34,27.895213851182305,27.226026754767304,8.936381293970944,20.0,0.4468190646985472,1.0,0.34,0.05331502965994728,0.005534216466749009,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,20,B,100,5,0.05,172.22296102612887,172.446119043978,9.776206965482604,20.0,0.4888103482741302,1.0,0.05,0.005534216466749009,0.05331502965994728,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,21,A,100,49,0.49,28.571122938578927,27.91560549964383,8.919353684534967,20.0,0.4459676842267483,1.0,0.49,0.07733791925886857,0.012448858923938766,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,21,B,100,11,0.11,171.54081065717517,171.74447356402234,9.779553654453446,20.0,0.4889776827226723,1.0,0.11,0.012448858923938766,0.07733791925886857,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,22,A,100,40,0.4,29.277043921988984,28.589394769568408,8.902683361786135,20.0,0.4451341680893067,1.0,0.4,0.06588345687106978,0.013589330909540287,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,22,B,100,12,0.12,170.85906308768298,171.0384298290992,9.779076043916342,20.0,0.48895380219581713,1.0,0.12,0.013589330909540287,0.06588345687106978,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,23,A,100,32,0.32,29.967429179480828,29.275806832794636,8.88033017623582,20.0,0.444016508811791,1.0,0.32,0.052905210998796304,0.006700883542045122,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,23,B,100,6,0.06,170.20205822393964,170.3138274335679,9.777081361458825,20.0,0.48885406807294124,1.0,0.06,0.006700883542045122,0.052905210998796304,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,24,A,100,25,0.25,30.664972619814463,29.95233703263966,8.862485792593816,20.0,0.4431242896296908,1.0,0.25,0.04278799350069862,0.014449530287281909,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,24,B,100,13,0.13,169.53256645671857,169.60313020926117,9.775675400128872,20.0,0.4887837700064436,1.0,0.13,0.014449530287281909,0.04278799350069862,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,25,A,100,25,0.25,31.354403965765247,30.63907442979611,8.83869234843017,20.0,0.4419346174215085,1.0,0.25,0.04281773411215373,0.0067836739864206574,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,25,B,100,6,0.06,168.86550869925992,168.89892237500572,9.780272203035494,20.0,0.4890136101517747,1.0,0.06,0.0067836739864206574,0.04281773411215373,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,26,A,100,33,0.33,32.02790421628534,31.342442943704995,8.821979452822397,20.0,0.44109897264111986,1.0,0.33,0.0586409244887508,0.0316110548704267,0.5555555555555556,1
