case_id,fr,mb,pd,tick,side,N_alive,degenerate_n_lt_2,LCC_abs,C_conn_abs,LCC_rel,C_conn_rel,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,C_v3p1,d_nn_mean,d_ref,d_nn_p95,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
FR8_MB8_PD5,8.0,8.0,5.0,6,A,100,0,81,0.81,100,1.0,18.080454645213134,17.57219795175988,8.568460688244103,20.0,0.4284230344122052,1.0,0.81,1.0,1.7755299265107005,1.8098500305227982,2.000549440345826,0.1169597856159249,0.10211331734780504,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,6,B,100,0,67,0.67,100,1.0,181.89657183262455,182.56601129884734,8.536109320157815,20.0,0.4268054660078907,1.0,0.67,1.0,1.7844759436341502,1.844309258249659,2.060064928076551,0.10211331734780504,0.1169597856159249,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,7,A,100,0,81,0.81,100,1.0,18.70435225760182,18.19916327620405,8.466640283635089,20.0,0.4233320141817544,1.0,0.81,1.0,1.7646673253659733,1.8250007891748803,2.0624845177445033,0.12392469443471754,0.11165841875544147,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,7,B,100,0,69,0.69,100,1.0,181.26146851225622,181.9182776769898,8.432479333542584,20.0,0.4216239666771292,1.0,0.69,1.0,1.7970784263706472,1.8334410283110532,2.1038420693223796,0.11165841875544147,0.12392469443471754,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,8,A,100,0,65,0.65,100,1.0,19.334799452425397,18.84037190902114,8.408311371049075,20.0,0.42041556855245377,1.0,0.65,1.0,1.7826214466847605,1.8533211270943042,2.1006255892609333,0.10398394161807323,0.122543944385623,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,8,B,100,0,71,0.71,100,1.0,180.6439485112891,181.26996275481,8.346166269067545,20.0,0.41730831345337727,1.0,0.71,1.0,1.7958354665982785,1.868551239406089,2.141119654731699,0.122543944385623,0.10398394161807323,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,9,A,100,0,77,0.77,100,1.0,19.958412505549003,19.473157470912017,8.307583714756024,20.0,0.4153791857378012,1.0,0.77,1.0,1.7813199130000756,1.8271541158856912,2.1668249443058087,0.13311251253280032,0.1123707757904252,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,9,B,100,0,62,0.62,100,1.0,180.01784649662025,180.61593509254737,8.28467341711667,20.0,0.4142336708558335,1.0,0.62,1.0,1.7906554172631624,1.8282435751023995,2.113383611163953,0.1123707757904252,0.13311251253280032,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,10,A,100,0,67,0.67,100,1.0,20.613545011930942,20.10029204896437,8.237053771612327,20.0,0.41185268858061636,1.0,0.67,1.0,1.7812966683721105,1.8591830469432888,2.0532238272094654,0.12652962191099226,0.1134035151267897,0.5555555555555556,1
FR8_MB8_PD5,8.0,8.0,5.0,10,B,100,0,60,0.6,100,1.0,179.37468668959184,179.98466962578482,8.2258886029347,20.0,0.41129443014673506,1.0,0.6,1.0,1.8005850294357881,1.8675885097577773,2.1092465110655767,0.1134035151267897,0.12652962191099226,0.5555555555555556,1
