case_id,fr,mb,pd,tick,side,N_alive,degenerate_n_lt_2,LCC_abs,C_conn_abs,LCC_rel,C_conn_rel,centroid_x,centroid_y,R,R_ref,rho,C_scale,C_v3,C_v3p1,d_nn_mean,d_ref,d_nn_p95,cohesion_v2,enemy_cohesion_v2,collapse_threshold_theta,collapse_event_v2
reference_alpha_AB,4.0,5.0,5.0,25,A,100,0,25,0.25,100,1.0,31.354403965765247,30.63907442979611,8.83869234843017,20.0,0.4419346174215085,1.0,0.25,1.0,1.9640609248350749,1.9999999999999973,2.1242640751252244,0.04281773411215373,0.0067836739864206574,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,25,B,100,0,6,0.06,100,1.0,168.86550869925992,168.89892237500572,9.780272203035494,20.0,0.4890136101517747,1.0,0.06,1.0,2.0091445416926965,2.000166841768542,2.155882564823881,0.0067836739864206574,0.04281773411215373,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,26,A,100,0,33,0.33,100,1.0,32.02790421628534,31.342442943704995,8.821979452822397,20.0,0.44109897264111986,1.0,0.33,1.0,1.9691176439862437,1.9978099619791028,2.1370718106854625,0.0586409244887508,0.0316110548704267,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,26,B,100,0,28,0.28,100,1.0,168.19416332907028,168.18686193437145,9.768572756173114,20.0,0.4884286378086557,1.0,0.28,1.0,2.0100704494859696,1.9999999999999996,2.159084405468831,0.0316110548704267,0.0586409244887508,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,27,A,100,0,18,0.18,100,1.0,32.716105355046786,32.030801727015785,8.805627740410763,20.0,0.44028138702053815,1.0,0.18,1.0,1.9731991385483298,1.9853308460481678,2.122245415702615,0.03256027925595428,0.010180261584851968,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,27,B,100,0,9,0.09,100,1.0,167.51846200291212,167.4829581763798,9.770447638458878,20.0,0.4885223819229439,1.0,0.09,1.0,2.015961314235919,2.0009508224273826,2.1557622609964113,0.010180261584851968,0.03256027925595428,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,28,A,100,0,32,0.32,100,1.0,33.40511318432001,32.716907855778146,8.781807251151253,20.0,0.4390903625575627,1.0,0.32,1.0,1.9800995574196636,2.0009333252339507,2.107862849124193,0.06058954959671714,0.006743154835454179,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,28,B,100,0,6,0.06,100,1.0,166.8422286449547,166.76947773546289,9.761854317431567,20.0,0.4880927158715783,1.0,0.06,1.0,2.018089796724431,2.0118368844396435,2.1344677269244787,0.006743154835454179,0.06058954959671714,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,29,A,100,0,31,0.31,100,1.0,34.091373765931486,33.406320555123386,8.78002896473422,20.0,0.43900144823671094,1.0,0.31,1.0,1.9731465265096841,1.9999999999999947,2.1077854863268026,0.060368988411763636,0.0067177722221036795,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,29,B,100,0,6,0.06,100,1.0,166.1604580975767,166.07043864496723,9.773232287543474,20.0,0.4886616143771737,1.0,0.06,1.0,2.007525826519826,2.000064341635166,2.1621109985644016,0.0067177722221036795,0.060368988411763636,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,30,A,100,0,33,0.33,100,1.0,34.770462961336605,34.09437827021704,8.770599317031662,20.0,0.4385299658515831,1.0,0.33,1.0,1.9853565650124168,1.9999999999999958,2.1355818224869103,0.06578223996241261,0.007854625695314477,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,30,B,100,0,7,0.07,100,1.0,165.48195734159697,165.36668645216247,9.77067154992618,20.0,0.488533577496309,1.0,0.07,1.0,2.008160481855653,1.9999999999999993,2.109828612308984,0.007854625695314477,0.06578223996241261,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,31,A,100,0,12,0.12,100,1.0,35.46850666469611,34.77043553196046,8.764742073059265,20.0,0.43823710365296326,1.0,0.12,1.0,1.9967316041694898,1.9999999999999982,2.1938141894873993,0.024792114862381087,0.010137146933532737,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,31,B,100,0,9,0.09,100,1.0,164.80218785004737,164.66056632522276,9.771795582570615,20.0,0.48858977912853074,1.0,0.09,1.0,2.015354419257646,2.000000000000004,2.191080527583171,0.010137146933532737,0.024792114862381087,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,32,A,100,0,30,0.3,100,1.0,36.16074597914769,35.45246643745334,8.762743316978447,20.0,0.43813716584892237,1.0,0.3,1.0,2.0004286064185597,1.9999999999999993,2.204882927076582,0.06184922442023699,0.00795822711252181,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,32,B,100,0,7,0.07,100,1.0,164.11822303882363,163.95711179603316,9.780972836845201,20.0,0.48904864184226005,1.0,0.07,1.0,2.00695184615268,2.000016837788357,2.163563716509804,0.00795822711252181,0.06184922442023699,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,33,A,100,0,16,0.16,100,1.0,36.847468969284606,36.146887240588555,8.757842420393045,20.0,0.43789212101965225,1.0,0.16,1.0,2.0018534782147657,2.006870111441374,2.2150109773993525,0.03356921389173351,0.009125158432419123,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,33,B,100,0,8,0.08,100,1.0,163.4429118968618,163.25023103710993,9.776771733819565,20.0,0.48883858669097824,1.0,0.08,1.0,2.0102668003511748,1.9999999999999987,2.1582430053286465,0.009125158432419123,0.03356921389173351,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,34,A,100,0,17,0.17,100,1.0,37.54267850705369,36.82501268441228,8.749051240994893,20.0,0.43745256204974464,1.0,0.17,1.0,1.9911094460915557,2.000000000000003,2.225360583564135,0.03651484454543741,0.012597766351288953,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,34,B,100,0,11,0.11,100,1.0,162.76255120596926,162.5468427373404,9.765783230979139,20.0,0.48828916154895696,1.0,0.11,1.0,2.0154056803303577,2.0000000000000178,2.1568274438659616,0.012597766351288953,0.03651484454543741,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,35,A,100,0,24,0.24,100,1.0,38.23068701870382,37.50908095114465,8.73814243828211,20.0,0.43690712191410547,1.0,0.24,1.0,1.9968341880034675,2.000000000000006,2.2304964801019325,0.0529957983878655,0.014750746653137248,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,35,B,100,0,13,0.13,100,1.0,162.10125495641955,161.82486722979993,9.75587112496956,20.0,0.48779355624847803,1.0,0.13,1.0,2.015308393538971,2.0008342949791262,2.1527535984310564,0.014750746653137248,0.0529957983878655,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,36,A,100,0,26,0.26,100,1.0,38.925858811281344,38.188622214634655,8.734920283926783,20.0,0.4367460141963392,1.0,0.26,1.0,1.9856592981767835,2.0000000000000004,2.2340870579408465,0.059662913147029206,0.026375565661898137,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,36,B,100,0,23,0.23,100,1.0,161.40972971950558,161.12655351448407,9.7537098676741,20.0,0.48768549338370504,1.0,0.23,1.0,2.015749736455654,2.000705469050705,2.188319660096189,0.026375565661898137,0.059662913147029206,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,37,A,100,0,15,0.15,100,1.0,39.62723385408797,38.86172518059763,8.72543932869716,20.0,0.436271966434858,1.0,0.15,1.0,1.9897434851352327,2.0000000000000004,2.1759228680190317,0.03526547629430865,0.01864968186895366,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,37,B,100,0,16,0.16,100,1.0,160.73765634279917,160.41358534498397,9.748539544417586,20.0,0.4874269772208793,1.0,0.16,1.0,2.0153141331869766,2.0006399890475377,2.1927748639620614,0.01864968186895366,0.03526547629430865,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,38,A,100,0,20,0.2,100,1.0,40.318237062973786,39.5450792452568,8.724630124099205,20.0,0.43623150620496026,1.0,0.2,1.0,1.997652895369097,2.000088287172321,2.15878407540508,0.048215968563453004,0.009269883482169505,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,38,B,100,0,8,0.08,100,1.0,160.05893502313904,159.70617102785033,9.749024576730385,20.0,0.48745122883651926,1.0,0.08,1.0,2.021775338488306,2.0057565418144407,2.180155170448259,0.009269883482169505,0.048215968563453004,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,39,A,100,0,15,0.15,100,1.0,41.006761904184266,40.23441878683659,8.715224139385567,20.0,0.43576120696927834,1.0,0.15,1.0,1.996081078036265,2.002537851036371,2.199764008201501,0.03733014900038767,0.006963960916120504,0.5555555555555556,1
reference_alpha_AB,4.0,5.0,5.0,39,B,100,0,6,0.06,100,1.0,159.38466666492562,158.9892483319825,9.747234131555897,20.0,0.4873617065777949,1.0,0.06,1.0,2.0083966092855654,2.000638157273169,2.142579931419994,0.006963960916120504,0.03733014900038767,0.5555555555555556,1
